NLC,TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,"NUTS2 Spatial
Unit Code",NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,London Joint Station,"Entries
Full","Entries
Reduced","Entries
Season","Entries
Total","Exits
Full","Exits
Reduced","Exits
Season","Exits
Total","0910
Entries & Exits","0809
Entries & Exits",0910 interchanges,Check,Check Detail,Check Reason
1121,WTO,Water Orton,West Midlands,Warwickshire,North Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,,,"8,898","1,888","8,714","19,500","8,898","1,888","8,714","19,500","39,000","37,180",0,,,
7079,WBC,Waterbeach,East,Cambridgeshire,South Cambridgeshire,UKH1,East Anglia,First Capital Connect,,,,,"38,339","35,134","59,537","133,010","38,339","35,134","59,537","133,010","266,020","277,470",0,,,
5241,WTR,Wateringbury,South East,Kent,Tonbridge And Malling,UKJ4,Kent,Southeastern,,,,,"7,872","7,941","9,917","25,730","7,872","7,941","9,917","25,730","51,460","54,268",0,,,
5598,WAT,Waterloo,London,Greater London,Lambeth,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"7,156,173","13,081,998","22,961,852","43,199,799","7,155,936","13,081,151","22,961,005","43,197,867","86,397,666","87,930,076","5,466,424",,,
5158,WAE,Waterloo (East),London,Greater London,Lambeth,UKI1,Inner London,Southeastern,LONDON BR,,London Travelcard Area Station,,"311,228","875,427","2,064,425","3,248,822","311,219","875,421","2,064,500","3,248,882","6,497,704","6,707,128","799,913",,,
2133,WLO,Waterloo (Merseyside),North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,,,"290,174","115,115","105,919","511,208","290,174","115,115","105,919","511,208","1,022,416","1,136,872",0,,,
1455,WFH,Watford High Street,East,Hertfordshire,Watford,UKH2,Bedfordshire and Hertforshire,London Overground,,,,,"73,519","68,402","23,305","165,226","73,519","68,402","23,305","165,226","330,452","200,722",0,check,increase > 20% above mean,"London area station, Oyster PAYG data"
1402,WFJ,Watford Junction,East,Hertfordshire,Watford,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,,,"477,837","755,457","548,659","1,781,953","477,837","755,457","548,659","1,781,953","3,563,906","3,557,882","363,068",,,
1403,WFN,Watford North,East,Hertfordshire,Watford,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,,,"8,788","19,777","21,071","49,636","8,788","19,777","21,071","49,636","99,272","103,530",0,,,
7057,WTG,Watlington,East,Norfolk,Kings Lynn And West Norfolk,UKH1,East Anglia,First Capital Connect,,,,,"15,019","21,382","17,577","53,978","15,019","21,382","17,577","53,978","107,956","111,612",0,,,
6095,WAS,Watton-At-Stone,East,Hertfordshire,East Hertfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,,,"18,014","12,823","33,110","63,947","18,014","12,823","33,110","63,947","127,894","127,290",0,,,
3796,WNG,Waun-gron Park,Wales - Cymru,Cardiff - Caerdydd,Cardiff - Caerdydd,UKL2,East Wales,Arriva Trains Wales,,,,,"8,407","3,772","6,037","18,216","8,407","3,772","6,037","18,216","36,432","31,996",0,,,
8589,WAV,Wavertree Technology Park,North West,Merseyside,Liverpool,UKD5,Merseyside,Northern Rail,,Merseyside,,,"59,503","75,137","29,176","163,816","59,503","75,137","29,176","163,816","327,632","337,318",0,,,
6859,WEE,Weeley,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,,,"4,699","3,122","3,814","11,635","4,699","3,122","3,814","11,635","23,270","24,142",0,,,
8509,WET,Weeton,Yorkshire And The Humber,North Yorkshire,Harrogate,UKE2,North Yorkshire,Northern Rail,,,,,"13,289","11,439","6,312","31,040","13,289","11,439","6,312","31,040","62,080","64,516",0,,,
6073,WMG,Welham Green,East,Hertfordshire,Welwyn Hatfield,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,,,"24,506","16,315","31,789","72,610","24,506","16,315","31,789","72,610","145,220","153,116",0,,,
5128,WLI,Welling,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station,,"154,242","167,408","753,727","1,075,377","154,242","167,408","753,727","1,075,377","2,150,754","2,216,932",0,,,
1940,WEL,Wellingborough,East Midlands,Northamptonshire,Wellingborough,UKF2,"Leicestershire, Rutland and Northamptonshire",East Midlands Trains,,,,,"68,939","147,633","228,802","445,374","68,939","147,633","228,802","445,374","890,748","964,034",483,,,
4690,WLN,Wellington,West Midlands,Telford And Wrekin,Telford And Wrekin,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,,,"114,169","72,340","80,175","266,684","114,169","72,340","80,175","266,684","533,368","495,368",0,,,
4434,WLP,Welshpool,Wales - Cymru,Powys - Powys,Powys - Powys,UKL2,East Wales,Arriva Trains Wales,,,,,"32,575","17,378",749,"50,702","32,575","17,378",749,"50,702","101,404","95,778",0,,,
