NLC,TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,"NUTS2 Spatial
Unit Code",NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,London Joint Station,"Entries
Full","Entries
Reduced","Entries
Season","Entries
Total","Exits
Full","Exits
Reduced","Exits
Season","Exits
Total","1011
Entries & Exits","0910
Entries & Exits",1011 interchanges,Check,Check Detail,Check Reason
5598,WAT,Waterloo,London,Greater London,Lambeth,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"7,910,462","13,226,618","24,739,216","45,876,296","7,910,185","13,225,666","24,738,235","45,874,086","91,750,382","86,397,666","5,772,501",,,
5426,VIC,Victoria,London,Greater London,Westminster,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"6,764,308","11,950,686","18,072,513","36,787,507","6,764,042","11,949,930","18,072,013","36,785,985","73,573,492","70,224,543","4,800,979",,,
6965,LST,Liverpool Street,London,Greater London,City Of London,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"4,857,109","6,305,384","16,720,719","27,883,212","4,857,779","6,306,435","16,721,997","27,886,211","55,769,423","51,596,155","2,122,967",,,
5148,LBG,London Bridge,London,Greater London,Southwark,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"3,965,183","5,361,273","16,413,099","25,739,555","3,964,915","5,361,247","16,412,414","25,738,576","51,478,131","48,723,068","7,346,732",,,
5143,CHX,Charing Cross,London,Greater London,Westminster,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"2,708,113","5,078,859","10,823,861","18,610,833","2,708,125","5,079,119","10,824,221","18,611,465","37,222,298","36,459,945","1,044,729",,,
1444,EUS,Euston,London,Greater London,Camden,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"2,606,043","9,371,296","5,064,592","17,041,931","2,604,734","9,367,473","5,059,275","17,031,482","34,073,413","30,068,092","1,808,443",,,
3087,PAD,Paddington,London,Greater London,Westminster,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"2,667,239","8,120,829","5,312,116","16,100,184","2,667,239","8,120,812","5,312,081","16,100,132","32,200,316","29,104,198","1,490,595",,,
6121,KGX,King's Cross,London,Greater London,Camden,UKI1,Inner London,Network Rail,LONDON BR,,London Travelcard Area Station,,"2,160,821","7,253,798","3,713,041","13,127,660","2,160,821","7,253,250","3,712,913","13,126,984","26,254,644","24,817,616","2,150,243",,,
9813,GLC,Glasgow Central,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,Network Rail,GLASGOW BR,Strathclyde,,,"3,787,861","4,180,129","4,507,507","12,475,497","3,787,861","4,180,122","4,507,507","12,475,490","24,950,987","23,809,949","2,641,171",,,
1127,BHM,Birmingham New Street,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,Network Rail,BIRMINGHAM BR,West Midlands,,,"2,721,070","5,191,290","4,426,100","12,338,460","2,722,384","5,195,199","4,430,589","12,348,172","24,686,632","25,267,757","4,319,983",,,
8487,LDS,Leeds,Yorkshire And The Humber,West Yorkshire,Leeds,UKE4,West Yorkshire,Network Rail,,West Yorkshire,,,"3,000,791","5,060,369","4,184,648","12,245,808","3,000,791","5,060,369","4,184,648","12,245,808","24,491,616","21,978,372","2,110,935",,,
