Station,Rank,Station Entries,Station Exits,"Prioritised for investment, by band.",Station proritised as a geographical filler.,Current Accessibility,,,,,
,,,Station Exits,,,Step-free access,PA,CIS,Station staffing,Overall accessibility,
Tain,2166,"4,499","6,384",,,Part,,,None,None,
Battlesbridge,2167,"4,484","4,772",,,Full,จน,,None,Part,
Shireoaks,2168,"4,429","4,421",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Arrochar & Tar,2169,"4,426","3,236",,,No,,,None,None,
Normans Bay,2170,"4,400","4,647",,,No,,,None,None,
Gargrave,2171,"4,397","4,781",,,No,จน,จน,None,Part,
Wood End,2172,"4,383","5,316",,,No,,,None,None,
Llanwrtyd,2173,"4,380","4,369",,,No,,,None,None,
Deepdene,2174,"4,379","4,420",,,No,จน,จน,None,Part,
Ulceby,2175,"4,363","4,087",,,No,,,None,None,
Dean Wilts,2176,"4,317","4,493",,,Full,จน,,None,Part,
Bempton,2177,"4,289","4,469",,,Full,จน,,None,Part,
Corrour,2178,"4,286","5,601",,,No,,,None,None,
Mouldsworth,2179,"4,283","4,775",,,No,,,None,None,
Nunthorpe,2180,"4,254","3,898",,,Full,,,None,Part,
Penmaenmawr,2181,"4,243","4,407",,,Part,,,None,None,
Healing,2182,"4,240","3,884",,,No,,,None,None,
Rugeley Trent Valley,2183,"4,211","4,653",,,No,,,None,None,
Cefn Y Bedd,2184,"4,149","4,928",,,Part,,,None,None,
Drigg,2185,"4,149","4,103",,,Full,,,None,Part,
Blair Atholl,2186,"4,146","4,467",,,Full,จน,,None,Part,
Netherfield,2187,"4,124","4,390",,,No,,,None,None,
Wetheral,2188,"4,085","4,158",,,No,จน,,None,Part,
Llanfairfechan,2189,"4,083","4,234",,,Full,,,None,Part,
Shieldmuir,2190,"4,045","4,422",,,Full,จน,,None,Part,
Mobberley,2191,"4,040","4,827",,,Full,,,None,Part,
Entwistle,2192,"4,039","4,151",,,Full,,,None,Part,
Longport,2193,"4,037","4,176",,,No,,,None,None,
Armathwaite,2194,"4,008","4,332",,,No,จน,,None,Part,
Holton Heath,2195,"4,001","4,308",,,Part,จน,จน,None,Part,
Johnston Dyfed,2196,"3,993","4,341",,,Full,,,None,Part,
Avoncliff,2197,"3,987","3,941",,,No,จน,,None,Part,
Burton Joyce,2198,"3,956","4,139",,,Full,,,None,Part,
Wrenbury,2199,"3,950","3,950",,,Full,,,None,Part,
Kilgetty,2200,"3,949","4,177",,,Full,,,None,Part,
Strathcarron,2201,"3,932","3,910",,,Part,,,None,None,
Pleasington,2202,"3,929","4,372",,,Full,จน,,None,Part,
Harrington,2203,"3,924","4,109",,,No,,,None,None,
Umberleigh,2204,"3,913","4,038",,,Full,จน,,None,Part,
Sudbury & Harrow Road,2205,"3,898","3,841",,,Insufficient info provided by station operator,จน,,None,Part,
Gypsy Lane,2206,"3,892","3,371",,,Full,จน,จน,None,Part,
Yeoford,2207,"3,881","4,112",,,Full,จน,,None,Part,
Somerleyton,2208,"3,879","3,709",,,Full,,,None,Part,
Hartlebury,2209,"3,867","4,565",,,Full,,,None,Part,
Plockton,2210,"3,859","4,101",,,Full,,,None,Part,
Giggleswick,2211,"3,828","4,321",,,Full,จน,,None,Part,
Dent,2212,"3,713","3,971",,,Full,จน,,None,Part,
Stallingborough,2213,"3,694","3,731",,,Full,จน,,None,Part,
Long Preston,2214,"3,577","3,768",,,Full,,,None,Part,
Addiewell,2215,"3,561","3,994",,,Part,จน,,None,Part,
Arisaig,2216,"3,551","4,127",,,Part,,,None,None,
Ravensthorpe,2217,"3,544","4,103",,,No,จน,จน,None,Part,
Allerton,2218,"3,512","4,219",,,No,จน,,Full,Part,
Portlethen,2219,"3,506","3,672",,,Full,จน,,None,Part,
Hever,2220,"3,496","3,914",,,No,,,None,None,
Tyndrum Lower,2221,"3,390","3,547",,,Full,,,None,Part,
Dolwyddelan,2222,"3,372","3,306",,,Full,,,None,Part,
Builth Road,2223,"3,366","3,634",,,Full,,,None,Part,
Kennett,2224,"3,354","3,544",,,Part,,,None,None,
Appleford,2225,"3,319","3,838",,,No,จน,,None,Part,
Deganwy,2226,"3,296","3,675",,,Part,จน,,None,Part,
Taynuilt,2227,"3,288","4,249",,,Full,,,None,Part,
Maesteg (Ewenny Road),2228,"3,263","2,927",,,Full,,,None,Part,
Brampton Cumbria,2229,"3,256","3,748",,,No,,,None,None,
Llanfairpwll,2230,"3,256","3,267",,,Full,,,None,Part,
Ince Manchr,2231,"3,236","3,460",,,Full,,,None,Part,
Heysham,2232,"3,209","3,579",,,Full,,,None,Part,
Menheniot,2233,"3,194","3,360",,,Full,จน,,None,Part,
Wootton Wawen,2234,"3,191","3,726",,,Full,,,None,Part,
Fiskerton,2235,"3,189","3,274",,,Full,,,None,Part,
Beltring,2236,"3,170","3,759",,,No,,,None,None,
Burneside,2237,"3,163","3,050",,,Full,,,None,Part,
Ardrossan Town,2238,"3,157","3,975",,,Full,จน,,None,Part,
Lelant,2239,"3,134","3,779",,,No,,,None,None,
Silecroft,2240,"3,090","3,271",,,Full,,,None,Part,
Etruria,2241,"3,078","3,488",,,No,,,None,None,
Southease,2242,"3,055","3,170",,,No,,,None,None,
Heighington,2243,"3,023","4,233",,,Full,จน,,None,Part,
Morfa Mawddach,2244,"2,990","3,408",,,Full,,,None,Part,
Prees,2245,"2,977","3,217",,,Full,,,None,Part,
Roughton Road,2246,"2,972","3,410",,,No,,,None,None,
Pinhoe,2247,"2,961","2,560",,,Part,จน,จน,None,Part,
Saltmarshe,2248,"2,886","2,568",,,Full,,,None,Part,
Widdrington,2249,"2,879","2,602",,,Full,จน,,None,Part,
Atherstone Warks,2250,"2,809","2,970",,,Part,,,None,None,
Ancaster,2251,"2,805","3,350",,,Part,,,None,None,
Faygate,2252,"2,747","2,889",,,No,,,None,None,
Westerfield,2253,"2,744","3,039",,,Full,,จน,None,Part,
Yetminster,2254,"2,704","2,789",,,Full,จน,,None,Part,
Parton,2255,"2,694","2,310",,,No,จน,,None,Part,
Barlaston,2256,"2,684","3,018",,,Full,,,None,Part,
St Budeaux Va Rd,2257,"2,612","2,839",,,Full,จน,,None,Part,
Green Road,2258,"2,585","2,737",,,Full,,,None,Part,
Invergordon,2259,"2,580","4,489",,,Full,,,None,Part,
Wrexham Central,2260,"2,565","3,411",,,Full,จน,,None,Part,
Clapham North Yorks,2261,"2,542","2,747",,,No,จน,,None,Part,
Broughty Ferry,2262,"2,536","2,701",,,Full,,,None,Part,
Barrhill,2263,"2,524","3,019",,,Part,,,None,None,
Danzey,2264,"2,516","2,872",,,Part,,,None,None,
Farnborough Nort,2265,"2,478","2,402",,,Full,จน,จน,None,Part,
Ashurst,2266,"2,470","2,588",,,No,,,None,None,
Spean Bridge,2267,"2,444","2,636",,,Full,,,None,Part,
Bardon Mill,2268,"2,441","2,360",,,Full,จน,,None,Part,
Lapford,2269,"2,426","2,486",,,Full,จน,,None,Part,
Bleasby,2270,"2,411","2,144",,,Full,,,None,Part,
Shipton,2271,"2,407","2,650",,,Full,จน,,None,Part,
Bridge Of Orchy,2272,"2,367","2,549",,,No,,,None,None,
South Greenford,2273,"2,355","4,663",,,Full,จน,,None,Part,
Llangadog,2274,"2,341","2,430",,,Full,,,None,Part,
Commondale,2275,"2,339","2,417",,,Full,,,None,Part,
Haddiscoe,2276,"2,338","2,622",,,Full,,,None,Part,
Dove Holes,2277,"2,331","2,578",,,Full,จน,,None,Part,
Three Oaks,2278,"2,330","3,161",,,No,,,None,None,
Llandybie,2279,"2,327","2,417",,,Full,,,None,Part,
Talsarnau,2280,"2,326","2,480",,,Full,,,None,Part,
Darnall,2281,"2,311","2,486",,,Full,จน,,None,Part,
Winchelsea,2282,"2,298","2,901",,,Full,,,None,Part,
Ulleskelf,2283,"2,290","2,363",,,Full,,,None,Part,
Norton Bridge,2284,"2,288","2,505",,,No,,,None,None,
Grimsby Docks,2285,"2,272","2,533",,,Full,,,None,Part,
Yorton,2286,"2,251","1,921",,,No,,,None,None,
Acton Bridge,2287,"2,243","2,364",,,No,,,None,None,
Morchard Road,2288,"2,205","2,471",,,Full,จน,,None,Part,
Drayton Green,2289,"2,155","3,884",,,No,จน,,None,Part,
Bucknell,2290,"2,144","2,177",,,Full,,,None,Part,
Brampton Suffolk,2291,"2,103","2,354",,,Part,,,None,None,
Brundall Gardens,2292,"2,085","2,696",,,No,,,None,None,
Dockyard Devonpt,2293,"2,042","2,028",,,No,จน,,None,Part,
Kings Nympton,2294,"2,029","1,984",,,Full,จน,,None,Part,
Brora,2295,"2,021","2,003",,,Part,,,None,None,
Fairfield,2296,"1,985","2,279",,,No,,,None,None,
Newtonmore,2297,"1,977","2,207",,,Full,,,None,Part,
Flimby,2298,"1,971","1,988",,,No,,,None,None,
Warnham,2299,"1,971","2,132",,,No,,,None,None,
Lairg,2300,"1,969","2,357",,,Part,,,None,None,
Pantyffynnon,2301,"1,965","1,951",,,Full,,,None,Part,
Broomfleet,2302,"1,912","1,817",,,Full,จน,,None,Part,
Strines,2303,"1,909","1,965",,,Full,จน,,None,Part,
Helmsdale,2304,"1,851","2,121",,,Part,,,None,None,
Parson Street,2305,"1,845","2,087",,,No,จน,,None,Part,
Saundersfoot,2306,"1,841","2,088",,,Full,,,None,Part,
Manorbier,2307,"1,779","1,928",,,Full,,,None,Part,
Garelochead,2308,"1,778","2,090",,,No,,,None,None,
Ashley,2309,"1,774","2,094",,,Full,,,None,Part,
Roy Bridge,2310,"1,742","1,894",,,No,,,None,None,
Ty Croes,2311,"1,725","1,787",,,Full,,,None,Part,
Great Ayton,2312,"1,700","1,669",,,Full,,,None,Part,
Swale,2313,"1,679","1,896",,,No,,,None,None,
Glenfinnan,2314,"1,671","1,996",,,Part,,,None,None,
Morar,2315,"1,614","1,934",,,Full,,,None,Part,
Penally,2316,"1,543","1,969",,,Full,,,None,Part,
Kempston Hardwk,2317,"1,539","1,613",,,Full,จน,,None,Part,
Knucklas,2318,"1,538","1,651",,,Full,,,None,Part,
Swinderby,2319,"1,527","1,374",,,Full,,,None,Part,
Llandanwg,2320,"1,515","1,622",,,Full,,,None,Part,
Little Kimble,2321,"1,467","2,467",,,Full,จน,,None,Part,
Clarbeston Road,2322,"1,438","1,415",,,Full,,,None,Part,
Broome,2323,"1,418","1,411",,,No,,,None,None,
Salhouse,2324,"1,409","1,594",,,Part,,,None,None,
Smallbrook Junction,2325,"1,398","1,597",,,Part,,,None,None,
Althorpe Humber,2326,"1,380","1,403",,,No,,,None,None,
Moss Side,2327,"1,379","1,698",,,Full,,,None,Part,
Ffairfach,2328,"1,373","1,196",,,Full,,,None,Part,
New Lane,2329,"1,356","1,347",,,Full,,,None,Part,
Ardgay,2330,"1,349","1,154",,,Part,,,None,None,
St Andrews Road,2331,"1,341","1,680",,,No,จน,,None,Part,
Butlins Pnychain,2332,"1,336","1,447",,,Full,,,None,Part,
Tulloch,2333,"1,326","1,513",,,Full,,,None,Part,
Barrow Haven,2334,"1,324","1,779",,,Full,จน,,None,Part,
Manea,2335,"1,311","1,265",,,Full,,,None,Part,
Polesworth,2336,"1,296","1,341",,,No,,,None,None,
Seaburn,2337,"1,293","2,237",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Bodorgan,2338,"1,287","1,453",,,Part,,,None,None,
Alness,2339,"1,284","2,433",,,Full,,,None,Part,
Connel Ferry,2340,"1,270","1,416",,,Full,,,None,Part,
Pegswood,2341,"1,265","1,152",,,Full,,,None,Part,
Pontarddulais,2342,"1,229","1,256",,,Full,,,None,Part,
Sleights,2343,"1,219","1,263",,,Full,,,None,Part,
Havenhouse,2344,"1,218","1,287",,,Full,,,None,Part,
Marton,2345,"1,205","1,322",,,No,,,None,None,
Banavie,2346,"1,196","1,722",,,Full,,,None,Part,
Lamphey,2347,"1,183","1,188",,,Full,,,None,Part,
Claverdon,2348,"1,168","1,552",,,Full,,,None,Part,
Llangamarch,2349,"1,165","1,248",,,Full,,,None,Part,
Pevensey Bay,2350,"1,154","1,322",,,No,,,None,None,
Longcross,2351,"1,145","1,153",,,Part,จน,จน,None,Part,
Dalmally,2352,"1,119","1,211",,,Full,,,None,Part,
Arram,2353,"1,096","1,058",,,Full,จน,,None,Part,
Achnasheen,2354,"1,088","1,059",,,Part,,,None,None,
Ruswarp,2355,"1,072",931,,,Full,,,None,Part,
Garth,2356,"1,068","1,201",,,Full,,,None,Part,
Blaydon,2357,"1,066","1,084",,,No,,,None,None,
Wennington,2358,"1,042",963,,,No,จน,,None,Part,
Bescar Lane,2359,"1,020","1,131",,,Full,,,None,Part,
Hoscar,2360,"1,019","1,023",,,Full,,,None,Part,
Eccles Road,2361,"1,014","1,075",,,No,,,None,None,
Ascott U Wych,2362,"1,003","1,047",,,Part,จน,,None,Part,
Bearley,2363,989,994,,,Full,,,None,Part,
Loch Awe,2364,987,"1,072",,,Full,,,None,Part,
Finstock,2365,984,815,,,Part,จน,,None,Part,
Causeland,2366,976,"1,123",,,Full,จน,,None,Part,
Corpach,2367,970,994,,,Full,,,None,Part,
Dalwhinnie,2368,929,"1,137",,,Part,,,None,None,
Pensarn,2369,928,906,,,Full,,,None,Part,
Tal-y-Cafn,2370,922,"1,057",,,Full,,,None,Part,
Llanwrda,2371,912,931,,,Full,,,None,Part,
Harling Road,2372,905,931,,,Full,,,None,Part,
Hawarden Bridge,2373,888,972,,,No,,,None,None,
Peartree,2374,876,942,,,Full,,,None,Part,
Culrain,2375,865,891,,,Full,,,None,Part,
Combe Oxon,2376,834,714,,,Full,จน,,None,Part,
Lochailort,2377,818,889,,,Full,,,None,Part,
Wressle,2378,818,786,,,Full,จน,จน,None,Part,
Chetnole,2379,815,891,,,No,จน,,None,Part,
Rogart,2380,805,698,,,Full,,,None,Part,
Thornford,2381,775,930,,,No,จน,,None,Part,
Dolgarrog,2382,771,723,,,Full,,,None,Part,
Ardlui,2383,758,811,,,No,,,None,None,
Chathill,2384,758,724,,,Full,,,None,Part,
Ince & Elton,2385,751,350,,,No,,,None,None,
Pont Y Pant,2386,734,"1,021",,,Full,,,None,Part,
Carrbridge,2387,722,809,,,Part,,,None,None,
Forsinard,2388,716,716,,,No,,,None,None,
Braystones,2389,685,951,,,No,,,None,None,
Cynghordy,2390,673,925,,,No,,,None,None,
Bordesley,2391,665,773,,,Part,,,None,None,
Manors,2392,656,753,,,No,,,None,None,
Fearn,2393,653,"1,256",,,Full,,,None,Part,
Swineshead,2394,645,872,,,Full,,,None,Part,
Invergowrie,2395,644,701,,,Part,,,None,None,
Battersby,2396,627,687,,,No,จน,,None,Part,
Kildale,2397,627,746,,,Full,จน,,None,Part,
Tonfanau,2398,624,587,,,Full,,,None,Part,
Doleham,2399,608,846,,,Full,จน,จน,None,Part,
Dolau,2400,601,676,,,Full,,,None,Part,
Snaith,2401,601,656,,,Full,จน,จน,None,Part,
Georgemas Jn,2402,583,546,,,No,,,None,None,
Copplestone,2403,579,652,,,Full,จน,,None,Part,
Hopton Heath,2404,575,592,,,No,,,None,None,
Sandplace,2405,574,632,,,Full,จน,,None,Part,
Newton St Cyres,2406,561,586,,,No,จน,,Full,Part,
Stromeferry,2407,558,608,,,Full,,,None,Part,
St Keyne,2408,553,597,,,Full,จน,,None,Part,
Berney Arms,2409,532,573,,,Part,,,None,None,
Llangenech,2410,525,535,,,No,,,None,None,
Monifieth,2411,521,510,,,Full,,,None,Part,
Thurgarton,2412,497,512,,,Full,,,None,Part,
Cilmeri,2413,474,501,,,Full,,,None,Part,
Pen Y Bont,2414,472,540,,,Full,,,None,Part,
Quintrel Downs,2415,456,423,,,Full,จน,,None,Part,
St Budeaux Ferry Road,2416,455,532,,,Full,จน,,None,Part,
Burnley Barracks,2417,450,620,,,Full,จน,,None,Part,
Luxulyan,2418,436,569,,,No,จน,,None,Part,
Llanbister Road,2419,434,474,,,No,,,None,None,
Llangynllo,2420,419,459,,,Full,,,None,Part,
Styal,2421,412,341,,,Full,จน,,None,Part,
Balmossie,2422,411,386,,,Part,,,None,None,
Bugle,2423,408,428,,,No,จน,,None,Part,
St Columb Road,2424,408,405,,,Full,จน,,None,Part,
Chapelton Devon,2425,407,327,,,No,จน,,None,Part,
Kinbrace,2426,394,360,,,Full,,,None,Part,
Thornton Abbey,2427,389,401,,,Full,จน,,None,Part,
Acklington,2428,386,341,,,Full,,,None,Part,
East Boldon,2429,377,"1,191",,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Dovey Junction,2430,372,432,,,Full,,,None,Part,
Llandecwyn,2431,351,407,,,No,,,None,None,
Breich,2432,333,358,,,Part,,,None,None,
Whitley Bridge,2433,331,365,,,Full,,,None,Part,
Springfield,2434,330,395,,,No,,,None,None,
Brockley,2435,300,607,3,,No,จน,จน,Part,Part,
Portsmouth Arms,2436,292,322,,,Full,จน,,None,Part,
Wakefield Kirkgate,2437,284,327,,,Full,,,None,Part,
Achnashellach,2438,282,382,,,Full,,,None,Part,
Hubberts Bridge,2439,282,323,,,Full,,,None,Part,
Loch Eil Out Bnd,2440,277,334,,,Full,,,None,Part,
Tygwyn,2441,271,322,,,Full,,,None,Part,
Bynea,2442,268,282,,,No,,,None,None,
Roche,2443,268,306,,,Full,จน,,None,Part,
Nethertown,2444,262,294,,,No,,,None,None,
Elton & Orston,2445,256,279,,,Full,,,None,Part,
Duirinish,2446,243,276,,,Full,,,None,Part,
Beasdale,2447,242,247,,,Full,,,None,Part,
Hensall,2448,229,247,,,Full,จน,จน,None,Part,
Abererch,2449,221,277,,,Full,,,None,Part,
Eastrington,2450,218,189,,,Full,,,None,Part,
Thorpe Culvert,2451,202,230,,,Full,,,None,Part,
Stanlow & Thornton,2452,195,187,,,No,,,None,None,
South Bank,2453,187,243,,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Rawcliffe,2454,180,94,,,Full,จน,จน,None,Part,
Maidstone Barrac,2455,175,177,,,No,,,None,None,
Bedford St Johns,2456,167,543,,,Full,จน,,None,Part,
Locheilside,2457,167,157,,,Full,,,None,Part,
Lochluichart,2458,154,148,,,Full,,,None,Part,
Duncraig,2459,143,145,,,Full,,,None,Part,
Roman Bridge,2460,142,179,,,Full,,,None,Part,
Salwick,2461,138,130,,,Full,,,None,Part,
Invershin,2462,136,151,,,Full,,,None,Part,
Moorgate,2463,128,704,,,Part,จน,จน,Full,Part,
Ardwick,2464,121,160,,,No,,,None,None,
Dorchester West,2465,111,131,,,Full,จน,,None,Part,
New Clee,2466,107,351,,,Full,จน,จน,None,Part,
Attadale,2467,106,110,,,No,,,None,None,
Scotscalder,2468,105,103,,,Full,,,None,Part,
Redcar Br Steel,2469,102,95,,,No,จน,,None,Part,
Achanalt,2470,98,88,,,Full,,,None,Part,
Brigg,2471,88,116,,,No,,,None,None,
Dunrobin Castle,2472,84,107,,,Full,,,None,Part,
Spooner Row,2473,84,53,,,Full,,,None,Part,
Lakenheath,2474,78,112,,,Full,,,None,Part,
Rauceby,2475,77,130,,,Full,,,None,Part,
Dorking West,2476,76,78,,,Full,จน,จน,None,Part,
Pilning,2477,73,137,,,No,จน,,None,Part,
Clifton Down,2478,64,111,,,Full,จน,,None,Part,
Kirton Lindsey,2479,64,69,,,Full,,,None,Part,
Thorne South,2480,56,191,,,Full,จน,จน,None,Part,
Helensburgh Upp,2481,54,94,,,Full,,,None,Part,
Coombe,2482,49,22,,,Full,จน,,None,Part,
Sugar Loaf,2483,45,54,,,No,,,None,None,
Kildonan,2484,44,45,,,No,,,None,None,
Dunston,2485,41,62,,,Full,,,None,Part,
Altnabreac,2486,38,55,,,Full,,,None,Part,
Falls Of Cruacha,2487,32,36,,,No,,,None,None,
Upper Tyndrum,2488,30,23,,,No,,,None,None,
Teesside Airport,2489,25,31,,,No,จน,จน,None,Part,
Buckenham,2490,15,33,,,Part,,,None,None,
Pontefract Baghill,2491,15,21,,,Full,,,None,Part,
Shippea Hill,2492,11,18,,,No,,,None,None,
Watford West,2493,10,16,,,Insufficient info provided by station operator,,,Insufficient info provided by station operator,Unknown,
Golf St,2494,9,9,,,No,,,None,None,
Gainsborough Central,2495,5,3,,,Full,,,None,Part,
Barry Links,2496,3,5,,,Part,,,None,None,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
