NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources
1149,SAD,Sandwell & Dudley,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,,West Midlands,," 65,357 "," 147,344 "," 137,344 "," 350,045 "," 65,357 "," 147,344 "," 137,344 "," 350,045 "," 700,090 "," 595,906 ", -   ,1,0,"Main portion of increase due to improved demand estimation in Centro area (extra 63,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",
5026,SDW,Sandwich,South East,Kent,Dover,UKJ4,Kent,Southeastern,,,," 35,029 "," 56,502 "," 87,620 "," 179,151 "," 35,029 "," 56,502 "," 87,620 "," 179,151 "," 358,302 "," 294,160 ", -   ,1,0,Introduction of high speed services in October 2011 is likely to be primary cause of increase,http://www.bbc.co.uk/news/uk-england-kent-13248962
6172,SDY,Sandy,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 58,474 "," 83,253 "," 89,212 "," 230,939 "," 58,474 "," 83,253 "," 89,212 "," 230,939 "," 461,878 "," 444,122 ", -   ,0,0,,
2388,SNK,Sankey For Penketh,North West,Warrington,Warrington,UKD2,Cheshire,Northern Rail,,,," 23,041 "," 25,572 "," 11,265 "," 59,878 "," 23,041 "," 25,572 "," 11,265 "," 59,878 "," 119,756 "," 99,652 ", -   ,1,0,Continues high growth from previous year,
9549,SQH,Sanquhar,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,," 4,938 "," 8,747 ", 532 ," 14,217 "," 4,938 "," 8,747 ", 532 ," 14,217 "," 28,434 "," 25,212 ", -   ,1,0,Cause of large increase not clear,
4270,SRR,Sarn,Wales - Cymru,Bridgend - Pen-Y-Bont Ar Ogwr,Bridgend - Pen-Y-Bont Ar Ogwr,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 16,320 "," 1,047 "," 5,399 "," 22,766 "," 16,320 "," 1,047 "," 5,399 "," 22,766 "," 45,532 "," 41,278 ", -   ,1,0,Cause of large increase not clear,
4108,SDF,Saundersfoot,Wales - Cymru,Pembrokeshire - Sir Benfro,Pembrokeshire - Sir Benfro,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 2,324 "," 1,529 ", -   ," 3,853 "," 2,324 "," 1,529 ", -   ," 3,853 "," 7,706 "," 6,236 ", -   ,0,0,Cause of demand increase not clear,
3056,SDR,Saunderton,South East,Buckinghamshire,Wycombe,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,," 9,867 "," 3,582 "," 14,323 "," 27,772 "," 9,867 "," 3,582 "," 14,323 "," 27,772 "," 55,544 "," 51,080 ", -   ,0,0,,
6806,SAW,Sawbridgeworth,East,Hertfordshire,East Hertfordshire,UKH2,Bedfordshire and Hertforshire,National Express East Anglia,,,," 56,962 "," 54,548 "," 129,864 "," 241,374 "," 56,962 "," 54,548 "," 129,864 "," 241,374 "," 482,748 "," 452,304 ", -   ,0,0,,
6328,SXY,Saxilby,East Midlands,Lincolnshire,West Lindsey,UKF3,Lincolnshire,East Midlands Trains,,,," 21,138 "," 4,148 "," 4,230 "," 29,516 "," 21,138 "," 4,148 "," 4,230 "," 29,516 "," 59,032 "," 54,100 ", -   ,0,0,,
7224,SAX,Saxmundham,East,Suffolk,Suffolk Coastal,UKH1,East Anglia,National Express East Anglia,,,," 18,908 "," 40,927 "," 1,365 "," 61,200 "," 18,908 "," 40,927 "," 1,365 "," 61,200 "," 122,400 "," 112,874 ", -   ,0,0,,
8185,SCA,Scarborough,Yorkshire And The Humber,North Yorkshire,Scarborough,UKE2,North Yorkshire,First TransPennine Express,,,," 120,451 "," 289,208 "," 43,347 "," 453,006 "," 120,451 "," 289,208 "," 43,347 "," 453,006 "," 906,012 "," 857,430 "," 2,043 ",0,0,,
8672,SCT,Scotscalder,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 70 , 37 , -   , 107 , 70 , 37 , -   , 107 , 214 , 246 , -   ,0,0,,
