Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Penzance, Cornwall , South West ,Wessex Trains,3526,"59,957","142,841","2,227","205,025","52,911","142,836","2,227","197,974","403,000","2,132",Growth
Dunblane, Stirling , Scotland ,First ScotRail,8713,"53,306","109,611","35,030","197,947","63,577","102,897","35,030","201,504","399,451",,Growth
Gourock, Inverclyde , Scotland ,First ScotRail,9635,"83,548","57,219","58,607","199,374","82,252","57,231","58,607","198,090","397,465",,Growth
Virginia Water, Surrey , South East ,South West Trains,5676,"60,015","80,305","59,319","199,639","58,201","79,467","59,319","196,987","396,626","48,947",Growth
Saltaire, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8561,"91,709","86,063","15,693","193,465","100,504","86,534","15,693","202,731","396,197",,Growth
Ash Vale, Surrey , South East ,South West Trains,5547,"45,208","55,089","96,429","196,726","46,596","55,513","96,429","198,538","395,265","114,642",Growth
Selby, North Yorkshire , Yorkshire and the Humber ,Northern Rail,8201,"50,979","60,411","86,036","197,426","50,685","60,411","86,036","197,132","394,559","33,851",Growth
Huyton, Merseyside , North West and Merseysid ,Northern Rail,2160,"77,240","118,189","1,396","196,825","78,232","116,994","1,396","196,622","393,447","9,147",Growth
Sawbridgeworth, Hertfordshire , Eastern ,WAGN,6806,"42,714","45,083","107,392","195,189","44,348","45,519","107,392","197,259","392,448",,Growth
Wrexham General, Wrexham , Wales ,Northern Rail,4487,"101,563","85,046","9,351","195,960","101,552","84,830","9,351","195,733","391,693","1,541",Growth
Sandy, Bedfordshire , Eastern ,WAGN,6172,"35,549","64,051","94,628","194,228","38,705","64,113","94,628","197,446","391,673",,Growth
Wadhurst, East Sussex , South East ,South Eastern,5231,"23,474","53,753","116,949","194,176","23,007","57,233","116,949","197,189","391,365",,Growth
Heathrow Airport, Greater London , London ,Great Western,5564,"150,592","50,088","13,817","214,497","106,740","55,880","13,817","176,437","390,933",,Decline
Worksop, Nottinghamshire , East Midlands ,Northern Rail,6574,"75,974","83,835","37,137","196,946","72,454","83,900","37,137","193,491","390,438","12,784",Growth
Aintree, Merseyside , North West and Merseysid ,Merseyrail,2125,"92,630","101,479","2,352","196,461","87,887","101,531","2,352","191,770","388,230",,Growth
Queen's Road Peckham, Greater London , London ,Southern,5424,"55,736","40,728","103,055","199,519","44,386","40,753","103,055","188,194","387,713",,Decline
Blackwater, Hampshire , South East ,Great Western,5625,"46,433","89,681","55,286","191,400","46,979","93,345","55,286","195,610","387,010",,Growth
Grimsby Town, North East Lincolnshire , Yorkshire and the Humber ,Northern Rail,6280,"49,694","130,575","10,984","191,253","52,063","131,232","10,984","194,279","385,532","6,339",Growth
West Ealing, Greater London , London ,Great Western,3188,"36,634","44,157","110,982","191,773","38,169","43,966","110,982","193,117","384,890",297,Decline
Marks Tey, Essex , Eastern ,one,6863,"18,725","37,934","135,155","191,814","18,191","39,177","135,155","192,523","384,337","269,572",Growth
Hendon, Greater London , London ,Thameslink,1522,"32,147","53,036","101,200","186,384","38,455","57,159","101,200","196,815","383,198",,Decline
Clarkston, East Renfrewshire , Scotland ,First ScotRail,9792,"66,490","52,170","62,139","180,799","88,005","52,169","62,139","202,313","383,112",,Growth
King's Langley, Hertfordshire , Eastern ,Silverlink,1392,"51,358","56,401","82,344","190,103","53,366","56,948","82,344","192,658","382,760",,Growth
Kentish Town, Greater London , London ,Thameslink,1553,"54,085","44,102","93,536","191,723","42,764","54,539","93,536","190,838","382,561",,Growth
Oxshott, Surrey , South East ,South West Trains,5602,"42,023","47,473","100,546","190,042","44,003","47,691","100,546","192,240","382,283",,Growth
Borough Green & Wrotham, Kent , South East ,South Eastern,5130,"33,161","59,647","97,400","190,208","31,975","61,815","97,400","191,190","381,399",,Decline
Brixton, Greater London , London ,South Eastern,5081,"24,252","36,804","120,298","181,355","41,978","37,552","120,298","199,828","381,182",,Growth
Northallerton, North Yorkshire , Yorkshire and the Humber ,Northern Rail,7996,"53,712","101,240","33,864","188,816","57,612","100,331","33,864","191,807","380,622",,Growth
St.James' Street, Greater London , London ,WAGN,6973,"37,333","35,026","121,895","194,253","28,578","34,873","121,895","185,345","379,599",,Decline
Port Glasgow, Inverclyde , Scotland ,First ScotRail,9667,"72,542","61,350","53,458","187,350","77,086","61,326","53,458","191,870","379,221","3,160",Growth
Berwick-Upon-Tweed, Northumberland , North East ,GNER,7791,"23,463","146,099","19,778","189,340","24,100","145,510","19,778","189,388","378,727",482,Growth
Rock Ferry, Merseyside , North West and Merseysid ,Merseyrail,2189,"77,663","110,367",632,"188,662","78,059","110,354",632,"189,045","377,706",,Growth
Filton Abbey Wood, South Gloucestershire , South West ,Wessex Trains,3235,"89,484","14,420","85,801","189,705","87,716","14,330","85,801","187,847","377,552",,Decline
Baldock, Hertfordshire , Eastern ,WAGN,6084,"41,995","56,294","86,328","184,617","48,549","57,784","86,328","192,661","377,278",,Growth
Newark North Gate, Nottinghamshire , East Midlands ,GNER,6499,"55,205","68,147","75,854","199,206","41,395","60,717","75,854","177,966","377,172","188,371",Growth
Swanwick, Hampshire , South East ,South West Trains,5920,"56,333","52,682","78,119","187,134","58,418","53,043","78,119","189,580","376,714",,Growth
Largs, North Ayrshire , Scotland ,First ScotRail,9521,"82,487","68,416","40,901","191,804","75,005","68,407","40,901","184,313","376,116",,Decline
Dorchester South, Dorset , South West ,South West Trains,5961,"59,240","109,099","18,535","186,874","60,809","109,802","18,535","189,146","376,021",,Growth
MetroCentre, Tyne and Wear , North East ,Northern Rail,7725,"63,609","121,687","3,705","189,001","61,406","121,831","3,705","186,942","375,943",,Growth
Pengam, Caerphilly , Wales ,Arriva Trains Wales,4021,"46,910","80,066","67,022","193,998","34,400","80,075","67,022","181,497","375,494",,Growth
Bridlington, East Riding of Yorkshire , Yorkshire and the Humber ,Northern Rail,8049,"49,183","109,123","28,050","186,356","51,619","109,202","28,050","188,871","375,227",67,Growth
Mansfield Town, Nottinghamshire , East Midlands ,Central Trains,1727,"63,472","94,706","25,482","183,660","70,675","94,982","25,482","191,139","374,799",,Growth
Goring-By-Sea, West Sussex , South East ,Southern,5272,"31,351","60,194","95,516","187,061","31,414","60,247","95,516","187,177","374,238",,Growth
North Camp, Surrey , South East ,Great Western,5636,"51,705","72,400","63,040","187,145","49,819","74,033","63,040","186,892","374,036",,Growth
Great Malvern, Hereford and Worcester , West Midlands ,Central Trains,4892,"81,626","57,877","42,739","182,242","89,477","59,456","42,739","191,672","373,914",,Decline
Ewell East, Surrey , South East ,Southern,5415,"45,206","30,652","105,973","181,831","55,057","30,738","105,973","191,768","373,598",,Decline
Arbroath, Angus , Scotland ,First ScotRail,9079,"64,289","87,948","33,298","185,535","66,461","87,925","33,298","187,684","373,219",171,Growth
Stourbridge Junction, West Midlands , West Midlands ,Central Trains,4646,"68,762","107,205","13,408","189,375","62,801","104,925","13,408","181,134","370,509","266,275",Growth
Hebden Bridge, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8524,"77,560","89,148","17,490","184,198","79,887","86,862","17,490","184,239","368,436","5,247",Growth
Carpenders Park, Hertfordshire , Eastern ,Silverlink,1442,"54,164","68,163","65,519","187,846","42,045","71,084","65,519","178,648","366,494",,Growth
Birchwood, Cheshire , North West and Merseysid ,Northern Rail,2304,"86,566","56,360","41,123","184,049","84,810","56,319","41,123","182,252","366,301",,Growth
King's Norton, West Midlands , West Midlands ,Central Trains,1109,"83,896","87,703","5,414","177,013","95,689","88,159","5,414","189,262","366,275",,Growth
West Kirby, Merseyside , North West and Merseysid ,Merseyrail,2201,"95,219","95,521",735,"191,475","78,139","95,378",735,"174,252","365,727",,Growth
Stonehaven, Aberdeenshire , Scotland ,First ScotRail,8964,"50,289","72,889","48,722","171,899","70,278","72,952","48,722","191,951","363,851",,Growth
Earley, Berkshire , South East ,South West Trains,5694,"65,317","58,155","60,259","183,731","59,530","59,007","60,259","178,796","362,528",,Growth
Hornsey, Greater London , London ,WAGN,6015,"51,215","34,655","97,937","183,807","46,075","34,669","97,937","178,681","362,488",,Decline
North Berwick, East Lothian , Scotland ,First ScotRail,9358,"46,719","84,615","47,191","178,525","51,667","84,624","47,191","183,482","362,006",,Growth
Chertsey, Surrey , South East ,South West Trains,5553,"50,862","37,426","91,422","179,710","52,029","37,555","91,422","181,006","360,715",,Growth
Cathcart, Glasgow City , Scotland ,First ScotRail,9795,"65,771","45,244","62,613","173,628","78,610","45,242","62,613","186,465","360,093","1,096",Growth
Otford, Kent , South East ,South Eastern,5071,"32,832","44,525","100,335","177,692","36,610","45,127","100,335","182,072","359,765","31,063",Growth
Gillingham (Dorset), Dorset , South West ,South West Trains,5796,"44,461","90,134","43,732","178,327","41,820","95,296","43,732","180,848","359,176",,Growth
Goring & Streatley, Oxfordshire , South East ,Great Western,3033,"38,894","67,500","71,884","178,278","38,622","69,419","71,884","179,925","358,203",,Growth
Acton Central, Greater London , London ,Silverlink,1404,"55,615","45,458","80,666","181,739","50,731","45,007","80,666","176,404","358,142",,Decline
Pangbourne, Oxfordshire , South East ,Great Western,3036,"48,281","59,015","70,412","177,708","48,588","61,022","70,412","180,022","357,731",,Growth
Pulborough, West Sussex , South East ,Southern,5468,"28,281","54,138","95,122","177,541","29,192","55,654","95,122","179,968","357,509",,Growth
Warwick, Warwickshire , West Midlands ,Central Trains,4600,"58,296","82,416","35,512","176,224","61,587","84,082","35,512","181,181","357,405",,Growth
Christchurch, Dorset , South West ,South West Trains,5879,"54,345","75,406","48,778","178,529","53,480","75,850","48,778","178,108","356,637",,Growth
Redcar Central, Redcar and Cleveland , North East ,Northern Rail,7950,"54,481","98,596","22,435","175,512","59,967","98,501","22,435","180,903","356,415",,Growth
Sunbury, Surrey , South East ,South West Trains,5608,"42,450","50,038","84,485","176,973","44,551","50,223","84,485","179,259","356,232",,Decline
Billingshurst, West Sussex , South East ,Southern,5464,"27,315","56,889","93,548","177,752","26,713","58,002","93,548","178,263","356,015",,Growth
Eden Park, Greater London , London ,South Eastern,5056,"28,527","31,785","118,336","178,648","23,602","35,101","118,336","177,039","355,687",,Growth
Clapton, Greater London , London ,WAGN,6926,"44,468","44,504","92,185","181,156","37,675","44,505","92,185","174,365","355,521","5,130",Decline
London Road Brighton, Brighton and Hove , South East ,Southern,5281,"42,711","89,426","48,354","180,491","35,062","90,340","48,354","173,756","354,247",,Growth
Totnes, Devon , South West ,Great Western,3558,"44,534","118,325","12,742","175,601","47,682","117,555","12,742","177,979","353,580",,Growth
Crofton Park, Greater London , London ,South Eastern,5078,"38,506","31,598","110,889","180,992","29,290","31,831","110,889","172,009","353,002",,Decline
Brunswick, Merseyside , North West and Merseysid ,Merseyrail,3623,"84,948","86,227",367,"171,542","94,644","86,301",367,"181,312","352,854",,Growth
Winnersh, Berkshire , South East ,South West Trains,5697,"49,724","53,375","73,993","177,092","47,443","54,174","73,993","175,610","352,702",,Growth
Stansted Mountfitchet, Essex , Eastern ,WAGN,6833,"40,356","47,600","85,886","173,842","44,711","47,828","85,886","178,425","352,267","8,097",Decline
Warwick Parkway, Warwickshire , West Midlands ,Chiltern,8530,"45,248","98,318","33,092","176,658","43,152","99,244","33,092","175,488","352,146",,Growth
London Road Guildford, Surrey , South East ,South West Trains,5632,"39,444","29,810","104,191","173,445","43,551","29,213","104,191","176,955","350,401",,Growth
Waddon, Greater London , London ,Southern,5392,"31,160","23,041","121,351","175,551","29,979","23,155","121,351","174,484","350,035",,Growth
Leuchars, Fife , Scotland ,First ScotRail,9188,"34,099","127,755","9,742","171,596","40,836","127,513","9,742","178,091","349,687",,Growth
Hooton, Cheshire , North West and Merseysid ,Merseyrail,2193,"76,854","93,926","1,521","172,301","81,169","93,921","1,521","176,611","348,913","14,578",Growth
Paignton, Devon , South West ,Wessex Trains,3427,"36,325","111,185","26,030","173,540","34,945","111,224","26,030","172,199","345,738",,Growth
Clydebank, West Dunbartonshire , Scotland ,First ScotRail,9855,"46,693","45,631","73,206","165,530","60,397","45,625","73,206","179,228","344,759",,Growth
Knebworth, Hertfordshire , Eastern ,WAGN,6088,"44,697","42,177","81,205","168,079","50,977","43,743","81,205","175,925","344,003",,Growth
New Brighton, Merseyside , North West and Merseysid ,Merseyrail,2152,"72,680","97,856",374,"170,910","74,646","97,800",374,"172,820","343,730",,Growth
Camberley, Surrey , South East ,South West Trains,5682,"64,658","70,422","35,208","170,288","63,029","75,110","35,208","173,347","343,634",,Growth
Kenley, Greater London , London ,Southern,5419,"26,573","30,372","116,680","173,625","21,378","30,714","116,680","168,772","342,398",,Growth
Bournville, West Midlands , West Midlands ,Central Trains,1112,"69,293","93,554","5,766","168,613","74,471","93,306","5,766","173,543","342,156",,Growth
Shanklin, Isle of Wight , South East ,Island Line,5529,"121,970","29,154","21,900","173,024","117,722","29,180","21,900","168,802","341,826",,Growth
Gospel Oak, Greater London , London ,Silverlink,1409,"69,556","39,383","72,279","181,218","48,945","38,538","72,279","159,762","340,980","12,289",Decline
Harlesden, Greater London , London ,Silverlink,1521,"71,495","49,175","65,896","186,566","39,888","48,059","65,896","153,843","340,409",,Decline
Hexham, Northumberland , North East ,Northern Rail,7506,"45,416","96,377","20,838","162,631","59,427","96,387","20,838","176,652","339,283","2,402",Growth
Romsey, Hampshire , South East ,Wessex Trains,5943,"49,303","70,674","48,127","168,104","51,671","71,272","48,127","171,070","339,174",,Growth
Shepperton, Surrey , South East ,South West Trains,5605,"39,945","56,929","74,072","170,946","36,740","57,066","74,072","167,878","338,823",,Growth
Hampstead Heath, Greater London , London ,Silverlink,1413,"48,676","41,793","75,954","166,422","50,460","41,293","75,954","167,707","334,129",,Decline
Garrowhill, Glasgow City , Scotland ,First ScotRail,9904,"59,837","49,412","56,328","165,577","62,660","49,411","56,328","168,399","333,976",,Growth
Dumfries, Dumfries and Galloway , Scotland ,First ScotRail,9490,"15,988","149,447","2,691","168,126","15,473","147,509","2,691","165,673","333,800",309,Growth
White Hart Lane, Greater London , London ,WAGN,6956,"31,044","66,455","65,851","163,350","36,230","66,629","65,851","168,710","332,061",,Growth
Leasowe, Merseyside , North West and Merseysid ,Merseyrail,2237,"74,234","89,059",526,"163,819","78,672","89,040",526,"168,238","332,056",,Growth
Beeston, Nottinghamshire , East Midlands ,Central Trains,1625,"85,698","45,058","34,568","165,324","86,030","44,729","34,568","165,327","330,651","4,306",Decline
Menston, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8574,"66,745","85,737","13,616","166,098","64,079","86,475","13,616","164,170","330,269",,Growth
Wellington, Shropshire , West Midlands ,Central Trains,4690,"81,923","53,637","28,356","163,916","81,574","56,369","28,356","166,299","330,215",,Growth
Brimsdown, Greater London , London ,WAGN,6810,"43,497","33,797","86,144","163,438","45,550","33,522","86,144","165,216","328,654",,Decline
Harringay, Greater London , London ,WAGN,6012,"42,057","35,137","89,965","167,158","35,787","35,235","89,965","160,986","328,145",,Decline
Burley Park, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8500,"94,171","55,610","12,933","162,714","94,948","56,665","12,933","164,546","327,259",,Growth
Arlesey, Bedfordshire , Eastern ,WAGN,6171,"29,882","46,289","83,323","159,494","37,549","46,741","83,323","167,613","327,106",,Growth
Dalmeny, Edinburgh City , Scotland ,First ScotRail,9415,"39,983","41,923","78,495","160,401","45,989","41,884","78,495","166,368","326,769",,Growth
Hunt's Cross, Merseyside , North West and Merseysid ,Merseyrail,2235,"90,858","66,842","6,530","164,230","91,027","64,472","6,530","162,029","326,258","60,622",Growth
Apsley, Hertfordshire , Eastern ,Silverlink,1430,"40,655","56,614","65,179","162,448","41,111","56,975","65,179","163,265","325,714",,Growth
Ashton-Under-Lyne, Greater Manchester , North West and Merseysid ,Northern Rail,2790,"32,382","99,089","29,988","161,459","27,935","105,416","29,988","163,339","324,797",,Growth
Bearsden, East Dunbartonshire , Scotland ,First ScotRail,9966,"73,308","42,061","44,485","159,854","78,200","42,063","44,485","164,748","324,602",,Growth
Thornaby, Stockton-on-Tees , North East ,Northern Rail,7976,"59,014","72,914","28,151","160,079","61,455","72,836","28,151","162,442","322,520","37,310",Growth
Worcester Foregate Street, Hereford and Worcester , West Midlands ,Central Trains,4893,"66,494","91,395","25,979","183,868","25,927","84,223","25,979","136,129","319,996","189,564",Decline
Montrose, Angus , Scotland ,First ScotRail,9080,"43,021","87,677","26,834","157,532","47,125","87,581","26,834","161,540","319,072",,Growth
Wivenhoe, Essex , Eastern ,one,6860,"13,956","50,878","94,248","159,082","13,383","51,826","94,248","159,457","318,540",552,Growth
Teignmouth, Devon , South West ,Wessex Trains,3430,"39,866","74,820","42,008","156,694","45,014","74,816","42,008","161,838","318,532",,Growth
Stoke Mandeville, Buckinghamshire , South East ,Chiltern,1467,"28,362","39,698","90,535","158,595","29,666","39,656","90,535","159,857","318,451",,Growth
Kenton, Greater London , London ,Silverlink,1399,"48,773","57,461","54,824","161,057","44,070","58,354","54,824","157,247","318,304",,Decline
Bearsted, Kent , South East ,South Eastern,5091,"22,393","34,054","101,560","158,007","23,912","33,680","101,560","159,152","317,160",,Growth
West Horndon, Essex , Eastern ,c2c,7466,"38,689","20,843","99,695","159,227","37,373","20,853","99,695","157,921","317,147",,Growth
Harlington, Bedfordshire , Eastern ,Thameslink,1533,"26,928","45,447","85,735","158,110","26,880","45,622","85,735","158,237","316,348",,Decline
Runcorn, Cheshire , North West and Merseysid ,Virgin West Coast,2291,"67,509","85,467","6,482","159,458","66,508","83,568","6,482","156,558","316,017","1,236",Decline
Turkey Street, Greater London , London ,WAGN,6952,"32,100","38,665","87,468","158,232","31,536","38,666","87,468","157,669","315,901",,Growth
Porth," Rhondda, Cynon, Taff", Wales ,Arriva Trains Wales,3870,"41,796","68,570","49,355","159,721","37,751","68,576","49,355","155,682","315,402",,Growth
Hatch End, Greater London , London ,Silverlink,1398,"29,785","56,374","66,276","152,434","32,035","64,601","66,276","162,912","315,346",,Growth
Diss, Norfolk , Eastern ,one,7348,"45,755","72,810","30,661","149,226","49,905","84,344","30,661","164,910","314,136",,Decline
West Brompton, Greater London , London ,Silverlink,8875,"31,452","39,065","84,930","155,447","31,348","42,001","84,930","158,279","313,725",,Growth
Rye House, Hertfordshire , Eastern ,WAGN,6820,"41,327","35,737","76,582","153,646","46,160","36,347","76,582","159,089","312,736",,Growth
Hartlepool, Hartlepool , North East ,Northern Rail,8009,"54,579","82,611","17,866","155,056","57,200","82,597","17,866","157,663","312,719",1,Growth
Sleaford, Lincolnshire , East Midlands ,Central Trains,6362,"51,312","49,715","56,215","157,242","49,441","49,630","56,215","155,286","312,528","28,465",Growth
Saltcoats, North Ayrshire , Scotland ,First ScotRail,9547,"59,274","59,402","34,120","152,796","65,233","59,377","34,120","158,730","311,525",,Growth
Deptford, Greater London , London ,South Eastern,5145,"36,129","37,030","76,916","150,075","47,158","37,163","76,916","161,236","311,311",,Decline
Sydenham Hill, Greater London , London ,South Eastern,5085,"31,731","38,289","86,081","156,101","29,558","38,494","86,081","154,133","310,234",,Decline
Wallasey Grove Road, Merseyside , North West and Merseysid ,Merseyrail,2154,"70,441","78,008",345,"148,794","82,936","77,974",345,"161,255","310,050",,Growth
Chessington North, Greater London , London ,South West Trains,5582,"27,077","39,911","90,197","157,185","22,527","40,042","90,197","152,766","309,951",,Growth
Moorfields, Merseyside , North West and Merseysid ,Merseyrail,2226,"176,132","49,409","2,200","227,741","30,853","48,219","2,200","81,272","309,014","646,774",Decline
Marple, Greater Manchester , North West and Merseysid ,Northern Rail,2830,"37,195","92,712","24,820","154,727","32,906","95,983","24,820","153,709","308,436",,Growth
Burley-In-Wharfedale, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8565,"65,586","71,502","10,185","147,273","76,630","74,195","10,185","161,010","308,283",,Growth
Dalreoch, West Dunbartonshire , Scotland ,First ScotRail,9864,"36,183","30,077","85,139","151,399","37,238","30,075","85,139","152,452","303,851",,Decline
Hertford East, Hertfordshire , Eastern ,WAGN,6818,"52,127","39,627","73,915","165,669","24,903","38,918","73,915","137,736","303,404",,Growth
St.Margaret's (Hertfordshire), Hertfordshire , Eastern ,WAGN,6821,"34,028","33,997","81,187","149,212","38,010","34,293","81,187","153,490","302,701",,Growth
Theobalds Grove, Hertfordshire , Eastern ,WAGN,6949,"31,036","30,301","90,510","151,847","30,073","30,258","90,510","150,841","302,689",,Growth
East Worthing, West Sussex , South East ,Southern,5283,"19,465","28,052","96,582","144,099","32,789","29,064","96,582","158,435","302,534",,Growth
Dorridge, West Midlands , West Midlands ,Central Trains,4525,"49,483","83,379","17,461","150,323","50,074","84,389","17,461","151,924","302,247",,Growth
Greenock Central, Inverclyde , Scotland ,First ScotRail,9681,"58,948","56,492","35,376","150,816","59,266","56,465","35,376","151,107","301,923",508,Growth
Lower Sydenham, Greater London , London ,South Eastern,5053,"23,739","28,861","97,626","150,226","21,934","32,097","97,626","151,657","301,883",,Decline
Bromborough, Merseyside , North West and Merseysid ,Merseyrail,2190,"65,189","80,913",714,"146,816","73,325","80,945",714,"154,984","301,801",,Growth
Loughborough Junction, Greater London , London ,South Eastern,5082,"46,649","27,432","81,078","155,159","37,361","27,585","81,078","146,024","301,183",,Decline
Poulton-Le-Fylde, Lancashire , North West and Merseysid ,Northern Rail,2671,"77,148","55,457","18,638","151,243","75,737","55,329","18,638","149,704","300,947",,Growth
Hairmyres, South Lanarkshire , Scotland ,First ScotRail,9810,"65,250","39,224","43,149","147,623","70,611","39,219","43,149","152,979","300,602",,Growth
Fazakerley, Merseyside , North West and Merseysid ,Merseyrail,2126,"68,153","78,921",755,"147,829","73,040","78,928",755,"152,723","300,552",,Growth
Queen's Park (Glasgow), Glasgow City , Scotland ,First ScotRail,9822,"51,672","48,786","41,005","141,463","69,038","48,791","41,005","158,834","300,297",,Decline
Seaforth & Litherland, Merseyside , North West and Merseysid ,Merseyrail,2250,"57,353","91,496",784,"149,633","58,361","91,515",784,"150,660","300,292",,Growth
Homerton, Greater London , London ,Silverlink,6979,"49,615","36,675","68,733","155,023","39,688","36,679","68,733","145,099","300,122",,Growth
Merthyr Tydfil, Merthyr Tydfil , Wales ,Arriva Trains Wales,3855,"45,847","86,082","24,763","156,692","32,483","86,146","24,763","143,392","300,084",,Growth
Byfleet & New Haw, Surrey , South East ,South West Trains,5689,"48,053","37,532","60,611","146,196","55,801","37,431","60,611","153,843","300,040",,Growth
East Tilbury, Essex , Eastern ,c2c,7471,"44,249","44,022","64,361","152,632","37,892","44,040","64,361","146,293","298,925",,Decline
Torquay, Devon , South West ,Wessex Trains,3434,"28,083","102,121","17,981","148,185","29,905","102,423","17,981","150,309","298,494",324,Growth
Retford, Nottinghamshire , East Midlands ,GNER,6511,"58,444","63,919","26,533","148,896","58,855","64,115","26,533","149,503","298,398","75,268",Growth
Horsley, Surrey , South East ,South West Trains,5562,"33,193","40,173","74,074","147,440","35,572","40,377","74,074","150,023","297,462",,Growth
Todmorden, West Yorkshire , Yorkshire and the Humber ,Northern Rail,2677,"58,152","67,578","21,344","147,074","60,934","68,038","21,344","150,316","297,391",,Growth
Radyr, Cardiff , Wales ,Arriva Trains Wales,3874,"46,353","53,921","50,257","150,531","41,386","53,944","50,257","145,587","296,118","13,730",Growth
Birmingham Snow Hill, West Midlands , West Midlands ,Central Trains,1006,"107,463","90,623","1,756","199,842","14,016","80,324","1,756","96,096","295,937","216,908",Growth
Edinburgh Park, Edinburgh City , Scotland ,First ScotRail,9395,"72,887","15,104","59,981","147,972","71,555","15,754","59,981","147,290","295,263",,
North Wembley, Greater London , London ,Silverlink,1422,"48,478","42,967","61,853","153,297","37,209","42,686","61,853","141,748","295,046",,Decline
Warminster, Wiltshire , South West ,Wessex Trains,5505,"42,127","80,110","22,381","144,618","46,901","80,567","22,381","149,849","294,468","15,233",Growth
Scunthorpe, North Lincolnshire , Yorkshire and the Humber ,Northern Rail,6456,"47,966","81,937","15,949","145,852","49,468","81,653","15,949","147,070","292,921","2,954",Growth
Patterton, East Renfrewshire , Scotland ,First ScotRail,9775,"27,428","23,271","93,288","143,987","32,358","23,271","93,288","148,917","292,905",,Growth
Castleford, West Yorkshire , Yorkshire and the Humber ,Northern Rail,8359,"58,104","84,066","3,009","145,179","58,308","86,343","3,009","147,660","292,839","5,322",Growth
Marlow, Buckinghamshire , South East ,Great Western,3021,"34,839","61,231","51,465","147,535","35,442","58,074","51,465","144,981","292,516",,Growth
Westbury, Wiltshire , South West ,Wessex Trains,5712,"45,537","67,119","31,838","144,494","48,255","67,827","31,838","147,920","292,415","158,763",Growth
Longbridge, West Midlands , West Midlands ,Central Trains,1110,"68,440","74,672","5,179","148,291","64,294","74,605","5,179","144,078","292,370",,Growth
