Station Name, County, Region,TOC, NLC Code, Entries Standard, Entries Reduced, Entries Season,Total Entries, Exits Standard, Exits Reduced, Exits Season,Total Exits, All Entries & Exits 0405,Interchanges,Change
Roby, Merseyside , North West and Merseysid ,Northern Rail,2261,"19,164","26,129",516,"45,809","19,554","25,093",516,"45,163","90,971",,Growth
Clapham High Street, Greater London , London ,Southern,5301,"17,019","5,694","18,062","40,774","26,274","5,729","18,062","50,065","90,840",,Decline
Kinghorn, Fife , Scotland ,First ScotRail,9142,"12,579","16,303","17,032","45,914","11,541","16,307","17,032","44,880","90,794",,Growth
St.Erth, Cornwall , South West ,Wessex Trains,3537,"19,004","25,832",734,"45,570","18,538","25,699",734,"44,971","90,541","85,652",Growth
Brunstane, Suffolk , Eastern ,Northern Rail,8807,"22,988","9,188","12,435","44,611","23,792","9,187","12,435","45,414","90,025",,Growth
Rugeley Town, Staffordshire , West Midlands ,Central Trains,1135,"14,265","29,744",479,"44,488","13,445","31,290",479,"45,214","89,703",0,Growth
Machynlleth, Powys , Wales ,Central Trains,4422,"9,996","33,236","1,021","44,253","11,186","33,077","1,021","45,284","89,537","37,231",Growth
Arnside, Cumbria , North West and Merseysid ,Northern Rail,1963,"20,706","14,704","8,182","43,592","22,491","14,917","8,182","45,590","89,182",,Growth
Dumbreck, Glasgow City , Scotland ,First ScotRail,9622,"17,098","16,477","6,631","40,206","25,795","16,473","6,631","48,899","89,106",,Growth
Smethwick Galton Bridge, West Midlands , West Midlands ,Central Trains,1114,"23,531","19,947",647,"44,125","24,021","19,989",647,"44,657","88,782","473,108",Decline
Thatto Heath, Merseyside , North West and Merseysid ,Northern Rail,2264,"17,064","26,882",519,"44,465","17,441","26,335",519,"44,295","88,760",,Growth
Newmarket, Cambridgeshire , Eastern ,one,7038,"11,505","13,136","18,034","42,675","14,718","13,294","18,034","46,046","88,721",,Growth
Wylam, Northumberland , North East ,Northern Rail,7514,"11,876","25,556","4,142","41,574","17,193","25,539","4,142","46,874","88,449",,Growth
Bentley, Hampshire , South East ,South West Trains,5624,"8,707","9,565","25,370","43,642","9,239","9,723","25,370","44,332","87,973",,Growth
Busby, East Renfrewshire , Scotland ,First ScotRail,9791,"16,140","10,860","14,065","41,065","21,897","10,864","14,065","46,826","87,892",,Decline
Bosham, West Sussex , South East ,Southern,5254,"13,057","7,243","22,751","43,051","14,701","7,381","22,751","44,833","87,884",,Decline
Pluckley, Kent , South East ,South Eastern,5225,"4,705","8,381","30,343","43,429","5,201","8,906","30,343","44,449","87,878",,Growth
Salfords, Surrey , South East ,Southern,5380,"8,294","6,592","27,905","42,791","10,097","7,002","27,905","45,004","87,795",,Growth
Stevenston, North Ayrshire , Scotland ,First ScotRail,9553,"19,141","16,278","6,935","42,354","22,196","16,281","6,935","45,412","87,766",,Growth
Kirkhill, South Lanarkshire , Scotland ,First ScotRail,9771,"18,296","13,525","10,376","42,197","21,640","13,520","10,376","45,536","87,733",,Growth
Cononley, North Yorkshire , Yorkshire and the Humber ,Northern Rail,8470,"21,777","6,274","13,159","41,210","26,980","6,251","13,159","46,390","87,600",,Growth
Prestwick Internat'nl Airport, South Ayrshire , Scotland ,First ScotRail,9544,"15,259","11,518","1,966","28,743","44,943","11,639","1,966","58,548","87,292",,Growth
Parbold, Lancashire , North West and Merseysid ,Northern Rail,2402,"15,262","24,066","4,699","44,027","14,188","24,301","4,699","43,188","87,215",,Growth
Berwick (Sussex), East Sussex , South East ,Southern,5323,"5,386","15,850","21,933","43,169","4,913","17,071","21,933","43,917","87,086",,Growth
