NLC,TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,"NUTS2 Spatial
Unit Code",NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,London Joint Station,"Entries
Full","Entries
Reduced","Entries
Season","Entries
Total","Exits
Full","Exits
Reduced","Exits
Season","Exits
Total","0809
Entries & Exits","0708
Entries & Exits","0809
Interchanges",Check,Check Detail,Check Reason
8282,THC,Thurnscoe,Yorkshire And The Humber,South Yorkshire,Barnsley,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,,"9,103","13,428","7,140","29,671","9,103","13,428","7,140","29,671","59,342","51,008",0,,,
8677,THS,Thurso,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"11,822","9,903",0,"21,725","11,822","9,903",0,"21,725","43,450","37,064",0,,,
7356,TRS,Thurston,East,Suffolk,Mid Suffolk,UKH1,East Anglia,National Express East Anglia,,,,,"10,607","7,334","2,163","20,104","10,607","7,334","2,163","20,104","40,208","38,387",0,,,
7462,TIL,Tilbury Town,East,Thurrock,Thurrock,UKH3,Essex,c2c,,,,,"142,013","112,001","156,941","410,955","142,013","112,001","156,941","410,955","821,910","833,700","2,625",,,
1035,THL,Tile Hill,West Midlands,West Midlands,Coventry,UKG3,West Midlands,London Midland Trains,,West Midlands,,,"31,905","46,828","73,058","151,791","31,905","46,828","73,058","151,791","303,582","142,142",0,Check,Growth of more than 28%,PTE Urban Area Station
3154,TLH,Tilehurst,South East,Reading,Reading,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,,,,,"40,738","55,071","122,872","218,681","40,738","55,071","122,872","218,681","437,362","401,353",0,,,
1159,TIP,Tipton,West Midlands,West Midlands,Sandwell,UKG3,West Midlands,London Midland Trains,,West Midlands,,,"22,600","41,691","44,879","109,170","22,600","41,691","44,879","109,170","218,340","126,768",0,Check,Growth of more than 28%,PTE Urban Area Station
4025,TIR,Tir-Phil,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"5,063","6,133","2,340","13,536","5,063","6,133","2,340","13,536","27,072","25,437",0,,,
5798,TIS,Tisbury,South West,Wiltshire,Salisbury,UKK1,Gloucestershire,South West Trains,,,,,"28,113","41,607","38,738","108,458","28,113","41,607","38,738","108,458","216,916","211,128",0,,,
3474,TVP,Tiverton Parkway,South West,Devon,Mid Devon,UKK4,Devon,First Great Western,,,,,"23,776","138,122","10,082","171,980","23,776","138,122","10,082","171,980","343,960","303,982",0,,,
2677,TOD,Todmorden,Yorkshire And The Humber,West Yorkshire,Calderdale,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,,,"61,708","86,303","60,171","208,182","61,708","86,303","60,171","208,182","416,364","340,098",0,,,PTE Urban Area Station
5573,TOL,Tolworth,London,Greater London,Kingston Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station,,"43,320","57,704","135,246","236,270","43,320","57,704","135,246","236,270","472,540","513,302",0,,,
