NLC,TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,"NUTS2 Spatial
Unit Code",NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,London Joint Station,"Entries
Full","Entries
Reduced","Entries
Season","Entries
Total","Exits
Full","Exits
Reduced","Exits
Season","Exits
Total","0809
Entries & Exits","0708
Entries & Exits","0809
Interchanges",Check,Check Detail,Check Reason
5131,ABW,Abbey Wood,London,Greater London,Greenwich,UKI2,Outer London,Southeastern,,,London Travelcard Area Station,,"196,743","348,317","969,528","1,514,588","196,743","348,317","969,528","1,514,588","3,029,176","3,096,498",0,,,
3813,ABE,Aber,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"24,043","22,754","49,293","96,090","24,043","22,754","49,293","96,090","192,180","183,136",0,,,
3801,ACY,Abercynon,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"29,464","42,031","25,587","97,082","29,464","42,031","25,587","97,082","194,164","383,236","28,775",Check,Decline of more than 12% ,
3982,ABA,Aberdare,Wales - Cymru,Rhondda Cynon Taff - Rhondda Cynon Taf,Rhondda Cynon Taff - Rhondda Cynon Taf,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"67,730","117,510","67,762","253,002","67,730","117,510","67,762","253,002","506,004","471,586",0,,,
8976,ABD,Aberdeen,Scotland,Aberdeen City,Aberdeen City,UKM5,North Eastern Scotland,First ScotRail,,,,,"424,687","681,147","178,571","1,284,405","424,687","681,147","178,571","1,284,405","2,568,810","2,470,281","162,526",,,
9090,AUR,Aberdour,Scotland,Fife,Fife,UKM2,Eastern Scotland,First ScotRail,,,,,"18,696","28,067","17,274","64,037","18,696","28,067","17,274","64,037","128,074","121,724",0,,,
4435,AVY,Aberdovey,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"9,774","2,895",40,"12,709","9,774","2,895",40,"12,709","25,418","25,093",0,,,
4440,ABH,Abererch,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,599,30,0,629,599,30,0,629,"1,258","1,261",0,,,
3602,AGV,Abergavenny,Wales - Cymru,Monmouthshire - Sir Fynwy,Monmouthshire - Sir Fynwy,UKL2,East Wales,Arriva Trains Wales,,,,,"44,257","90,701","23,035","157,993","44,257","90,701","23,035","157,993","315,986","309,871",0,,,
2448,AGL,Abergele & Pensarn,Wales - Cymru,Conwy - Conwy,Conwy - Conwy,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"9,262","21,979","3,907","35,148","9,262","21,979","3,907","35,148","70,296","64,015",0,,,
4303,AYW,Aberystwyth,Wales - Cymru,Ceredigion - Sir Ceredigion,Ceredigion - Sir Ceredigion,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"62,526","73,085","1,094","136,705","62,526","73,085","1,094","136,705","273,410","269,070",0,,,
2552,ACR,Accrington,North West,Lancashire,Hyndburn,UKD4,Lancashire,Northern Rail,,,,,"81,108","37,397","19,321","137,826","81,108","37,397","19,321","137,826","275,652","259,944",0,,,
8600,AAT,Achanalt,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,97,18,0,115,97,18,0,115,230,208,0,,,
8601,ACN,Achnasheen,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"1,058",543,0,"1,601","1,058",543,0,"1,601","3,202","2,974",0,,,
8602,ACH,Achnashellach,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,232,91,0,323,232,91,0,323,646,655,0,,,
7662,ACK,Acklington,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,,,219,15,155,389,219,15,155,389,778,948,0,Check,"Ignore - Less than 15,000 E&X",
7286,ACL,Acle,East,Norfolk,Broadland,UKH1,East Anglia,National Express East Anglia,,,,,"9,952","12,442","2,988","25,382","9,952","12,442","2,988","25,382","50,764","53,214",0,,,
4529,ACG,Acocks Green,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,,,"39,724","49,261","102,864","191,849","39,724","49,261","102,864","191,849","383,698","161,363",0,Check,Growth of more than 28%,PTE Urban Area Station
2287,ACB,Acton Bridge,North West,Cheshire,Vale Royal,UKD2,Cheshire,London Midland Trains,,,,,"2,574",897,"3,769","7,240","2,574",897,"3,769","7,240","14,480","11,373",0,,,
1404,ACC,Acton Central,London,Greater London,Ealing,UKI2,Outer London,London Overground,,,London Travelcard Area Station,,"33,635","62,010","460,426","556,071","33,635","62,010","460,426","556,071","1,112,142","1,373,736",0,Check,Decline of more than 12% ,Change to London Overground in November 2007. Switch to PAYG Oyster away from TOC tickets produces decline.
3000,AML,Acton Main Line,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station,,"20,587","20,344","127,123","168,054","20,587","20,344","127,123","168,054","336,108","393,785",0,Check,Decline of more than 12% ,Oyster extended to West Drayton and Greenford in September 2008.  Switching to Oyster PAYG away from train operator tickets is reason for decline.
1036,ADD,Adderley Park,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,,,"3,689","5,275","6,066","15,030","3,689","5,275","6,066","15,030","30,060","20,395",0,Check,Growth of more than 28%,PTE Urban Area Station
9310,ADW,Addiewell,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,,,"3,148","2,488","1,870","7,506","3,148","2,488","1,870","7,506","15,012","13,459",0,,,
5550,ASN,Addlestone,South East,Surrey,Runnymede,UKJ2,Surrey and East & West Sussex,South West Trains,,,,,"59,394","45,950","96,020","201,364","59,394","45,950","96,020","201,364","402,728","387,906",0,,,
5160,ADM,Adisham,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,,,"4,110","7,435","12,956","24,501","4,110","7,435","12,956","24,501","49,002","55,873",0,Check,Decline of more than 12% ,
2939,ADC,Adlington (Cheshire),North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,,"3,850","3,004","1,258","8,112","3,850","3,004","1,258","8,112","16,224","15,974",0,,,
2641,ADL,Adlington (Lancashire),North West,Lancashire,Chorley,UKD4,Lancashire,Northern Rail,,,,,"23,737","10,189","11,637","45,563","23,737","10,189","11,637","45,563","91,126","94,043",0,,,
8353,AWK,Adwick,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,,,"55,553","29,218","42,222","126,993","55,553","29,218","42,222","126,993","253,986","160,541",0,Check,Growth of more than 28%,PTE Urban Area Station
2255,AIG,Aigburth,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,,,"100,167","182,463","98,051","380,681","100,167","182,463","98,051","380,681","761,362","265,442",0,Check,Growth of more than 28%,PTE Urban Area Station
2350,ANS,Ainsdale,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,,,"111,734","276,106","111,379","499,219","111,734","276,106","111,379","499,219","998,438","345,791",0,Check,Growth of more than 28%,PTE Urban Area Station
2125,AIN,Aintree,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,,,"143,925","334,804","146,973","625,702","143,925","334,804","146,973","625,702","1,251,404","473,143",0,Check,Growth of more than 28%,PTE Urban Area Station
9695,AIR,Airbles,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"24,019","19,146","10,597","53,762","24,019","19,146","10,597","53,762","107,524","94,205",0,,,PTE Urban Area Station
9759,ADR,Airdrie,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"168,201","142,173","223,318","533,692","168,201","142,173","223,318","533,692","1,067,384","988,115",0,,,PTE Urban Area Station
5132,AYP,Albany Park,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station,,"62,735","65,552","356,393","484,680","62,735","65,552","356,393","484,680","969,360","964,636",0,,,
4614,ALB,Albrighton,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,,,"13,243","11,892","13,473","38,608","13,243","11,892","13,473","38,608","77,216","63,997",0,,,
2760,ALD,Alderley Edge,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,,"34,686","32,302","19,370","86,358","34,686","32,302","19,370","86,358","172,716","154,606",0,,,
3145,AMT,Aldermaston,South East,West Berkshire,West Berkshire,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,,,,,"9,434","9,159","13,807","32,400","9,434","9,159","13,807","32,400","64,800","61,587",0,,,
5623,AHT,Aldershot,South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,,"192,743","287,902","240,090","720,735","192,743","287,902","240,090","720,735","1,441,470","1,415,479","169,470",,,
5280,AGT,Aldrington,South East,Brighton And Hove,Brighton And Hove,UKJ2,Surrey and East & West Sussex,Southern,,,,,"15,781","25,500","34,183","75,464","15,781","25,500","34,183","75,464","150,928","149,340",0,,,
6025,AAP,Alexandra Palace,London,Greater London,Haringey,UKI2,Outer London,First Capital Connect,,,London Travelcard Area Station,,"66,906","100,743","361,207","528,856","66,906","100,743","361,207","528,856","1,057,712","1,310,940","7,346",Check,Decline of more than 12% ,
9905,AXP,Alexandra Parade,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"28,884","19,004","16,349","64,237","28,884","19,004","16,349","64,237","128,474","106,276",0,Check,Growth of more than 28%,PTE Urban Area Station
9861,ALX,Alexandria,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"56,353","55,482","54,816","166,651","56,353","55,482","54,816","166,651","333,302","298,266",0,Check,Growth of more than 28%,PTE Urban Area Station
1805,ALF,Alfreton,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,,,"35,637","30,677","13,111","79,425","35,637","30,677","13,111","79,425","158,850","134,946",0,,,
7520,ALW,Allen's West,North East,Stockton-On-Tees,Stockton-On-Tees,UKC1,Tees Valley and Durham,Northern Rail,,,,,"14,325","8,065","11,089","33,479","14,325","8,065","11,089","33,479","66,958","71,940",0,,,
9883,ALO,Alloa,Scotland,Clackmannan,Clackmannan,UKM2,Eastern Scotland,Northern Rail,,,,,"38,913","101,245","27,669","167,827","38,913","101,245","27,669","167,827","335,654",0,0,,,
8605,ASS,Alness,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"4,357","1,568",936,"6,861","4,357","1,568",936,"6,861","13,722","11,550",0,,,
7787,ALM,Alnmouth,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,,,"19,231","57,666","21,714","98,611","19,231","57,666","21,714","98,611","197,222","181,912",452,,,
6847,ALR,Alresford,East,Essex,Tendring,UKH3,Essex,National Express East Anglia,,,,,"4,707","4,678","16,059","25,444","4,707","4,678","16,059","25,444","50,888","46,833",0,,,
1223,ASG,Alsager,North West,Cheshire,Congleton,UKD2,Cheshire,East Midlands Trains,,,,,"10,774","4,849","2,048","17,671","10,774","4,849","2,048","17,671","35,342","36,529",0,,,
6869,ALN,Althorne,East,Essex,Maldon,UKH3,Essex,National Express East Anglia,,,,,"3,875","3,129","14,205","21,209","3,875","3,129","14,205","21,209","42,418","46,917",0,,,
6532,ALP,Althorpe,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,,,"1,519","2,282",652,"4,453","1,519","2,282",652,"4,453","8,906","9,853",0,,,
8606,ABC,Altnabreac,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,88,18,0,106,88,18,0,106,212,177,0,,,
5544,AON,Alton,South East,Hampshire,East Hampshire,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,,"72,658","108,626","144,053","325,337","72,658","108,626","144,053","325,337","650,674","625,926",0,,,
2806,ALT,Altrincham,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,,"33,302","57,084","40,055","130,441","33,302","57,084","40,055","130,441","260,882","282,958",0,,,
1198,ALV,Alvechurch,West Midlands,Worcestershire,Bromsgrove,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,,West Midlands,,,"33,218","13,204","21,102","67,524","33,218","13,204","21,102","67,524","135,048","94,129",0,Check,Growth of more than 28%,PTE Urban Area Station
1678,AMB,Ambergate,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,,,"5,956","5,937","1,041","12,934","5,956","5,937","1,041","12,934","25,868","19,807",0,Check,Growth of more than 28%,
5250,AMY,Amberley,South East,West Sussex,Horsham,UKJ2,Surrey and East & West Sussex,Southern,,,,,"4,632","12,870","6,783","24,285","4,632","12,870","6,783","24,285","48,570","40,397",0,,,
506,AMR,Amersham,South East,Buckinghamshire,Chiltern,UKJ1,Berkshire Buckinghamshire and Oxfordshire,London Underground,,,,,"62,392","171,121","296,370","529,883","62,392","171,121","296,370","529,883","1,059,766","1,510,922",0,Check,Decline of more than 12% ,Chiltern's travelcard sales have decreased as a result of Oyster PAYG extension to West Ruislip in January 2008.  The resulting decline in journeys made on rail tickets has been spread across all Chiltern stations as a result of the TfL infill in the MOIRA Volume Matrix.
4236,AMF,Ammanford,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,,,"5,480","2,768",5,"8,253","5,480","2,768",5,"8,253","16,506","14,782",0,,,
6358,ANC,Ancaster,East Midlands,Lincolnshire,South Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,,,"1,432",431,463,"2,326","1,432",431,463,"2,326","4,652","5,238",0,,,
9965,AND,Anderston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"86,014","26,487","168,452","280,953","86,014","26,487","168,452","280,953","561,906","428,595",0,Check,Growth of more than 28%,PTE Urban Area Station
5510,ADV,Andover,South East,Hampshire,Test Valley,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,,"96,854","219,918","218,682","535,454","96,854","219,918","218,682","535,454","1,070,908","1,041,364",809,,,
5397,ANY,Anerley,London,Greater London,Bromley,UKI2,Outer London,Southern,,,London Travelcard Area Station,,"29,633","44,576","119,570","193,779","29,633","44,576","119,570","193,779","387,558","407,730",0,,,
6909,AGR,Angel Road,London,Greater London,Enfield,UKI2,Outer London,National Express East Anglia,,,London Travelcard Area Station,,"3,815","2,286","10,096","16,197","3,815","2,286","10,096","16,197","32,394","37,330",0,Check,Decline of more than 12% ,
5267,ANG,Angmering,South East,West Sussex,Arun,UKJ2,Surrey and East & West Sussex,Southern,,,,,"63,311","160,724","115,204","339,239","63,311","160,724","115,204","339,239","678,478","659,931",0,,,
9451,ANN,Annan,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,,,"6,011","47,955","2,317","56,283","6,011","47,955","2,317","56,283","112,566","100,409",0,,,
9972,ANL,Anniesland,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"177,424","127,630","176,294","481,348","177,424","127,630","176,294","481,348","962,696","848,987",0,Check,Growth of more than 28%,PTE Urban Area Station
2662,AFV,Ansdell & Fairhaven,North West,Lancashire,Fylde,UKD4,Lancashire,Northern Rail,,,,,"10,869","5,533","1,870","18,272","10,869","5,533","1,870","18,272","36,544","36,242",0,,,
2052,APP,Appleby,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,,,"24,546","4,586","1,820","30,952","24,546","4,586","1,820","30,952","61,904","61,781",0,,,
5003,APD,Appledore,South East,Kent,Ashford,UKJ4,Kent,Southern,,,,,"3,341","5,175","7,912","16,428","3,341","5,175","7,912","16,428","32,856","31,457",0,,,
3109,APF,Appleford,South East,Oxfordshire,Vale Of White Horse,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,,,,,"1,746","2,270","1,370","5,386","1,746","2,270","1,370","5,386","10,772","8,138",0,Check,"Ignore - Less than 15,000 E&X",
2396,APB,Appley Bridge,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,,,"17,017","65,841","20,220","103,078","17,017","65,841","20,220","103,078","206,156","178,291",0,,,
1430,APS,Apsley,East,Hertfordshire,Dacorum,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,,,"44,014","64,813","89,232","198,059","44,014","64,813","89,232","198,059","396,118","405,780",0,,,
9079,ARB,Arbroath,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,,,"77,106","87,474","40,501","205,081","77,106","87,474","40,501","205,081","410,162","427,820",117,,,
8613,ARD,Ardgay,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"2,814",444,0,"3,258","2,814",444,0,"3,258","6,516","5,851",0,,,
9962,AUI,Ardlui,Scotland,Argyll And Bute,Argyll And Bute,UKM6,Highlands and Islands,First ScotRail,,,,,725,207,174,"1,106",725,207,174,"1,106","2,212","1,870",0,,,
9453,ADS,Ardrossan Harbour,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,,,"29,180","14,905","7,260","51,345","29,180","14,905","7,260","51,345","102,690","85,251",0,Check,Growth of more than 28%,PTE Urban Area Station
9569,ASB,Ardrossan South Beach,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,,,"31,637","33,014","45,275","109,926","31,637","33,014","45,275","109,926","219,852","201,388",203,,,PTE Urban Area Station
9455,ADN,Ardrossan Town,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,,,"3,874","3,516","2,954","10,344","3,874","3,516","2,954","10,344","20,688","15,153",0,Check,Growth of more than 28%,PTE Urban Area Station
2960,ADK,Ardwick,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,,131,88,68,287,131,88,68,287,574,479,0,,,
9961,AGS,Argyle Street,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"152,117","109,960","112,362","374,439","152,117","109,960","112,362","374,439","748,878","606,397",0,Check,Growth of more than 28%,PTE Urban Area Station
8821,ARG,Arisaig,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"1,934","1,160",0,"3,094","1,934","1,160",0,"3,094","6,188","7,290",0,Check,"Ignore - Less than 15,000 E&X",
6171,ARL,Arlesey,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,,,"49,970","60,847","96,118","206,935","49,970","60,847","96,118","206,935","413,870","398,128",0,,,
2054,AWT,Armathwaite,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,,,"3,184",491,"1,458","5,133","3,184",491,"1,458","5,133","10,266","8,057",0,,,
1963,ARN,Arnside,North West,Cumbria,South Lakeland,UKD1,Cumbria,First TransPennine Express,,,,,"19,097","24,731","7,329","51,157","19,097","24,731","7,329","51,157","102,314","105,084",0,,,
8045,ARR,Arram,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,,,249,560,540,"1,349",249,560,540,"1,349","2,698","2,825",0,,,
9963,ART,Arrochar & Tarbet,Scotland,Argyll And Bute,Argyll And Bute,UKM6,Highlands and Islands,First ScotRail,,,,,"2,056","2,396",567,"5,019","2,056","2,396",567,"5,019","10,038","9,569",0,,,
5251,ARU,Arundel,South East,West Sussex,Arun,UKJ2,Surrey and East & West Sussex,Southern,,,,,"22,011","66,191","42,945","131,147","22,011","66,191","42,945","131,147","262,294","265,511",0,,,
5666,ACT,Ascot,South East,Windsor And Maidenhead,Windsor And Maidenhead,UKJ1,Berkshire Buckinghamshire and Oxfordshire,South West Trains,,,,,"165,908","241,730","132,897","540,535","165,908","241,730","132,897","540,535","1,081,070","1,045,853","258,213",,,
3003,AUW,Ascott-Under-Wychwood,South East,Oxfordshire,West Oxfordshire,UKJ1,Berkshire Buckinghamshire and Oxfordshire,First Great Western,,,,,457,68,905,"1,430",457,68,905,"1,430","2,860","2,499",0,,,
5641,ASH,Ash,South East,Surrey,Guildford,UKJ2,Surrey and East & West Sussex,South West Trains,,,,,"36,619","45,346","58,885","140,850","36,619","45,346","58,885","140,850","281,700","272,414","33,826",,,
5547,AHV,Ash Vale,South East,Surrey,Guildford,UKJ2,Surrey and East & West Sussex,South West Trains,,,,,"51,270","66,432","120,577","238,279","51,270","66,432","120,577","238,279","476,558","471,787","142,833",,,
2941,ABY,Ashburys,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,,"8,454","10,413","14,396","33,263","8,454","10,413","14,396","33,263","66,526","45,418",0,Check,Growth of more than 28%,PTE Urban Area Station
4700,ASC,Ashchurch,South West,Gloucestershire,Tewkesbury,UKK1,Gloucestershire,First Great Western,,,,,"14,136","13,605","5,954","33,695","14,136","13,605","5,954","33,695","67,390","58,212",0,,,
9953,ASF,Ashfield,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"11,955","9,747","4,818","26,520","11,955","9,747","4,818","26,520","53,040","43,850",0,Check,Growth of more than 28%,PTE Urban Area Station
5667,AFS,Ashford (Middlesex),South East,Surrey,Spelthorne,UKJ2,Surrey and East & West Sussex,South West Trains,,,,,"102,398","106,226","290,726","499,350","102,398","106,226","290,726","499,350","998,700","928,868",0,,,
5004,AFK,Ashford International,South East,Kent,Ashford,UKJ4,Kent,Southeastern,,,,,"252,096","484,544","642,793","1,379,433","252,096","484,544","642,793","1,379,433","2,758,866","2,819,499","421,523",,,
2850,ASY,Ashley,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,,,757,"1,119",494,"2,370",757,"1,119",494,"2,370","4,740","3,870",0,,,
5347,AHD,Ashtead,South East,Surrey,Mole Valley,UKJ2,Surrey and East & West Sussex,Southern,,,,,"113,813","142,482","267,817","524,112","113,813","142,482","267,817","524,112","1,048,224","1,035,665",0,,,
2790,AHN,Ashton-Under-Lyne,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,,"36,632","115,763","73,039","225,434","36,632","115,763","73,039","225,434","450,868","344,041",0,Check,Growth of more than 28%,PTE Urban Area Station
5398,AHS,Ashurst,South East,Kent,Tunbridge Wells,UKJ4,Kent,Southern,,,,,"2,285","2,984","4,817","10,086","2,285","2,984","4,817","10,086","20,172","17,360",0,,,
5906,ANF,Ashurst New Forest,South East,Hampshire,New Forest,UKJ3,Hampshire and Isle of Wight,South West Trains,,,,,"12,361","14,276","17,613","44,250","12,361","14,276","17,613","44,250","88,500","82,733",0,,,
6083,AWM,Ashwell & Morden,East,Cambridgeshire,South Cambridgeshire,UKH1,East Anglia,First Capital Connect,,,,,"13,202","8,175","37,077","58,454","13,202","8,175","37,077","58,454","116,908","104,417",0,,,
1953,ASK,Askam,North West,Cumbria,Barrow-In-Furness,UKD1,Cumbria,Northern Rail,,,,,"5,111","11,533","4,971","21,615","5,111","11,533","4,971","21,615","43,230","66,066",0,Check,Decline of more than 12% ,Cumbrian Coast Line.  Assume reduction in service at Sellafield/Millon/Askam/Maryport.
6233,ALK,Aslockton,East Midlands,Nottinghamshire,Rushcliffe,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,,,"5,382","1,974","1,811","9,167","5,382","1,974","1,811","9,167","18,334","21,473",0,Check,Decline of more than 12% ,
2095,ASP,Aspatria,North West,Cumbria,Allerdale,UKD1,Cumbria,Northern Rail,,,,,"9,266","2,305","2,199","13,770","9,266","2,305","2,199","13,770","27,540","25,715",0,,,
1380,APG,Aspley Guise,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,,,"1,571","2,380","3,074","7,025","1,571","2,380","3,074","7,025","14,050","11,880",0,,,
1004,AST,Aston,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,,,"40,636","70,859","59,156","170,651","40,636","70,859","59,156","170,651","341,302","206,324","42,559",Check,Growth of more than 28%,PTE Urban Area Station
1074,ATH,Atherstone,West Midlands,Warwickshire,North Warwickshire,UKG1,Herefordshire Worcestershire and Warwickshire,London Midland Trains,,West Midlands,,,"2,229","1,407","1,679","5,315","2,229","1,407","1,679","5,315","10,630","4,757",0,Check,"Ignore - Less than 15,000 E&X",PTE Urban Area Station
2584,ATN,Atherton,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,,,"32,184","78,200","74,217","184,601","32,184","78,200","74,217","184,601","369,202","239,276",0,Check,Growth of more than 28%,PTE Urban Area Station
8608,ATT,Attadale,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,170,66,0,236,170,66,0,236,472,469,0,,,
1624,ATB,Attenborough,East Midlands,Nottinghamshire,Broxtowe,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,,,"13,076","1,542","4,091","18,709","13,076","1,542","4,091","18,709","37,418","37,566",0,,,
7367,ATL,Attleborough,East,Norfolk,Breckland,UKH1,East Anglia,National Express East Anglia,,,,,"24,385","34,976","17,671","77,032","24,385","34,976","17,671","77,032","154,064","151,389",0,,,
9457,AUK,Auchinleck,Scotland,East Ayrshire,East Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,,,"7,753","7,191","2,935","17,879","7,753","7,191","2,935","17,879","35,758","35,729",0,,,
7017,AUD,Audley End,East,Essex,Uttlesford,UKH3,Essex,National Express East Anglia,,,,,"73,161","104,411","205,232","382,804","73,161","104,411","205,232","382,804","765,608","773,805","2,527",,,
2215,AUG,Aughton Park,North West,Lancashire,West Lancashire,UKD4,Lancashire,Merseyrail,,Merseyside,,,"19,960","25,935","16,473","62,368","19,960","25,935","16,473","62,368","124,736","85,699",0,Check,Growth of more than 28%,PTE Urban Area Station (Within Merseyrail area)
8610,AVM,Aviemore,Scotland,Highland,Highland,UKM6,Highlands and Islands,First ScotRail,,,,,"27,266","32,275","1,004","60,545","27,266","32,275","1,004","60,545","121,090","115,431",86,,,
3265,AVF,Avoncliff,South West,Wiltshire,West Wiltshire,UKK1,Gloucestershire,First Great Western,,,,,"3,203","2,972","1,712","7,887","3,203","2,972","1,712","7,887","15,774","15,256",0,,,
3200,AVN,Avonmouth,South West,Bristol City Of,Bristol City Of,UKK1,Gloucestershire,First Great Western,,,,,"18,869","1,482","10,623","30,974","18,869","1,482","10,623","30,974","61,948","44,468",0,Check,Growth of more than 28%,"Improved service introduced in 2008, on Severn Beach to Bristol Temple Meads line."
5714,AXM,Axminster,South West,Devon,East Devon,UKK4,Devon,South West Trains,,,,,"16,899","83,007","6,889","106,795","16,899","83,007","6,889","106,795","213,590","205,870",0,,,
1492,AYS,Aylesbury,South East,Buckinghamshire,Aylesbury Vale,UKJ1,Berkshire Buckinghamshire and Oxfordshire,Chiltern Railways,,,,,"159,983","180,817","205,738","546,538","159,983","180,817","205,738","546,538","1,093,076","1,129,973","4,291",,,
