 RODS report3h created at 13:28:09 on 29-03-2017,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,
Originating National Rail/DLR stations,,,,,,,,,,,,
,,,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Day
Arrivals at,,to line/direction,,from NR/DLR Origin,,    - 7am ,  7am-10am,  10am-4pm,  4pm-7pm ,  7pm-10pm,  10pm+   ,total
508,Archway                       ,Northern       ,S,0,Not stated                    ,0,35,0,0,0,0,35
508,Archway                       ,Northern       ,S,1510,Bedford St Johns              ,0,0,48,0,0,0,48
508,Archway                       ,Northern       ,S,3115,Oxford                        ,0,0,6,0,0,0,6
508,Archway                       ,Northern       ,S,6972,Silver Street                 ,0,0,0,10,0,0,10
511,Baker Street                  ,Bakerloo       ,N,0,Not stated                    ,0,0,10,0,0,0,10
511,Baker Street                  ,Bakerloo       ,S,0,Not stated                    ,0,9,102,65,147,0,323
511,Baker Street                  ,Bakerloo       ,S,3054,High Wycombe                  ,5,30,0,0,0,0,35
511,Baker Street                  ,Bakerloo       ,S,1463,Great Missenden               ,2,9,0,0,0,0,11
511,Baker Street                  ,Bakerloo       ,S,3053,Haddenham & Tme Pky           ,0,51,0,0,0,0,51
511,Baker Street                  ,Bakerloo       ,S,5685,Woking                        ,0,0,6,0,0,0,6
511,Baker Street                  ,Bakerloo       ,S,4527,Solihull                      ,0,0,0,41,0,0,41
511,Baker Street                  ,Circle         ,I,3054,High Wycombe                  ,0,0,0,0,4,0,4
511,Baker Street                  ,Circle         ,O,0,Not stated                    ,31,117,267,0,0,0,416
511,Baker Street                  ,Circle         ,O,3053,Haddenham & Tme Pky           ,0,0,61,0,0,0,61
511,Baker Street                  ,Circle         ,O,3054,High Wycombe                  ,0,96,0,0,0,0,96
511,Baker Street                  ,Circle         ,O,3055,Princes Risborough            ,0,68,103,0,0,0,171
511,Baker Street                  ,Circle         ,O,1466,Wendover                      ,0,0,81,0,0,0,81
511,Baker Street                  ,Circle         ,O,1492,Aylesbury                     ,0,0,2,0,0,0,2
511,Baker Street                  ,Circle         ,O,3047,Beaconsfield                  ,2,3,131,0,0,0,136
511,Baker Street                  ,Circle         ,O,3061,Seer Green                    ,0,11,0,0,0,0,11
511,Baker Street                  ,Circle         ,O,3104,Bicester Town                 ,0,0,115,0,0,0,115
511,Baker Street                  ,Circle         ,O,3051,Gerrards Cross                ,0,0,0,0,61,0,61
511,Baker Street                  ,Circle         ,O,5520,Basingstoke                   ,0,0,30,0,0,0,30
511,Baker Street                  ,Circle         ,O,6691,Sheffield                     ,0,0,5,0,0,0,5
511,Baker Street                  ,Hammersmith & C,E,0,Not stated                    ,24,158,75,17,0,0,274
511,Baker Street                  ,Hammersmith & C,E,3047,Beaconsfield                  ,6,35,84,0,0,0,124
511,Baker Street                  ,Hammersmith & C,E,1492,Aylesbury                     ,0,37,0,0,0,0,37
511,Baker Street                  ,Hammersmith & C,E,3053,Haddenham & Tme Pky           ,3,1,0,0,0,0,4
511,Baker Street                  ,Hammersmith & C,E,4502,Banbury                       ,1,5,0,0,0,0,6
511,Baker Street                  ,Hammersmith & C,E,3054,High Wycombe                  ,21,43,0,0,0,0,64
511,Baker Street                  ,Hammersmith & C,E,3104,Bicester Town                 ,0,0,6,0,0,0,6
511,Baker Street                  ,Hammersmith & C,E,4597,Leamington Spa                ,0,0,0,19,0,0,19
511,Baker Street                  ,Hammersmith & C,W,4502,Banbury                       ,0,0,29,0,0,0,29
511,Baker Street                  ,Hammersmith & C,W,0,Not stated                    ,2,33,61,9,0,0,106
511,Baker Street                  ,Hammersmith & C,W,1463,Great Missenden               ,0,0,3,0,0,0,3
511,Baker Street                  ,Hammersmith & C,W,4597,Leamington Spa                ,0,1,0,0,0,0,1
511,Baker Street                  ,Jubilee        ,N,3055,Princes Risborough            ,0,10,0,0,0,0,10
511,Baker Street                  ,Jubilee        ,N,0,Not stated                    ,0,8,28,0,0,0,36
511,Baker Street                  ,Jubilee        ,N,3054,High Wycombe                  ,0,0,0,9,0,0,9
511,Baker Street                  ,Jubilee        ,S,0,Not stated                    ,25,618,760,53,32,0,1489
