 RODS report3h created at 13:28:09 on 29-03-2017,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,
Originating National Rail/DLR stations,,,,,,,,,,,,
,,,,,,Early     ,AM peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,Day
Arrivals at,,to line/direction,,from NR/DLR Origin,,    - 7am ,  7am-10am,  10am-4pm,  4pm-7pm ,  7pm-10pm,  10pm+   ,total
574,Euston                        ,Northern       ,S,2521,Prestatyn                     ,0,0,35,0,0,0,35
574,Euston                        ,Northern       ,S,2201,West Kirby                    ,0,0,0,25,0,0,25
574,Euston                        ,Northern       ,S,6823,Waltham Cross                 ,0,0,0,0,0,0,0
574,Euston                        ,Northern       ,S,1857,Kettering                     ,0,0,0,0,0,0,0
574,Euston                        ,Northern       ,S,1563,How Wood                      ,0,1,0,0,0,0,1
574,Euston                        ,Northern       ,S,4690,Wellington Telford West       ,0,0,1,0,0,0,1
574,Euston                        ,Northern       ,S,5235,High Brooms                   ,0,16,0,0,0,0,16
574,Euston                        ,Victoria       ,N,1373,Leighton Buzzard              ,0,5,48,0,0,0,53
574,Euston                        ,Victoria       ,N,1402,Watford Junction              ,7,40,11,381,13,7,460
574,Euston                        ,Victoria       ,N,1378,Milton Keynes Cent            ,11,70,37,114,26,2,260
574,Euston                        ,Victoria       ,N,1415,Kilburn High Road             ,0,0,45,35,0,0,81
574,Euston                        ,Victoria       ,N,1087,Rugby                         ,3,26,12,12,9,0,62
574,Euston                        ,Victoria       ,N,1243,Crewe                         ,0,46,23,2,3,12,85
574,Euston                        ,Victoria       ,N,2739,Blackpool North               ,0,0,0,3,0,0,4
574,Euston                        ,Victoria       ,N,1215,Birmingham International      ,0,0,12,27,0,0,39
574,Euston                        ,Victoria       ,N,2246,Liverpool Lime Street         ,0,0,16,5,2,0,23
574,Euston                        ,Victoria       ,N,0,Not stated                    ,0,0,114,57,292,2,465
574,Euston                        ,Victoria       ,N,2968,Manchester Piccadilly         ,0,19,75,160,16,2,272
574,Euston                        ,Victoria       ,N,1127,Birmingham New Street         ,0,0,143,55,49,15,262
574,Euston                        ,Victoria       ,N,2363,Wigan North Western           ,0,0,28,0,0,0,29
574,Euston                        ,Victoria       ,N,6965,Liverpool Street (London) Br  ,0,0,0,0,16,0,16
574,Euston                        ,Victoria       ,N,1268,Stafford                      ,0,26,202,0,0,0,228
574,Euston                        ,Victoria       ,N,1451,South Hampstead               ,0,0,69,0,0,0,69
574,Euston                        ,Victoria       ,N,1395,Bushey                        ,6,17,0,23,0,0,47
574,Euston                        ,Victoria       ,N,1360,Bletchley                     ,0,5,8,0,0,0,13
574,Euston                        ,Victoria       ,N,2737,Blackburn                     ,0,0,0,0,5,0,5
574,Euston                        ,Victoria       ,N,9726,Hamilton Central              ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,N,1030,Coventry                      ,0,15,0,23,4,0,43
574,Euston                        ,Victoria       ,N,1069,Northampton                   ,17,114,14,47,0,0,192
574,Euston                        ,Victoria       ,N,1562,St Albans Abbey               ,0,4,0,0,0,0,4
574,Euston                        ,Victoria       ,N,2341,St.Helens Central             ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,N,1314,Stoke-on-Trent                ,0,0,2,0,0,0,2
574,Euston                        ,Victoria       ,N,1390,Berkhamsted                   ,0,20,17,15,14,0,66
574,Euston                        ,Victoria       ,N,1323,Tamworth High Level           ,0,0,1,0,0,0,1
574,Euston                        ,Victoria       ,N,2090,Oxenholme                     ,0,0,21,0,0,0,21
574,Euston                        ,Victoria       ,N,1261,Sandbach                      ,0,0,18,0,0,0,18
574,Euston                        ,Victoria       ,N,2040,Workington                    ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,N,5435,Streatham Hill                ,0,0,50,0,0,0,50
574,Euston                        ,Victoria       ,N,1391,Hemel Hempstead               ,2,44,0,5,0,0,51
574,Euston                        ,Victoria       ,N,2485,Llandudno Junction            ,0,0,0,21,0,0,21
574,Euston                        ,Victoria       ,N,2685,Lancaster                     ,0,0,0,0,26,11,37
574,Euston                        ,Victoria       ,N,2102,Penrith                       ,0,0,0,0,6,0,6
574,Euston                        ,Victoria       ,N,2640,Carnforth                     ,0,0,0,0,2,0,2
574,Euston                        ,Victoria       ,N,1216,Walsall                       ,0,0,5,0,0,0,5
574,Euston                        ,Victoria       ,N,1430,Apsley                        ,0,1,0,2,0,0,3
574,Euston                        ,Victoria       ,N,5569,Raynes Park                   ,0,1,0,0,0,0,1
574,Euston                        ,Victoria       ,N,3087,Paddington London             ,0,0,0,9,0,0,9
574,Euston                        ,Victoria       ,N,1364,Wolverton                     ,0,14,0,0,0,0,14
574,Euston                        ,Victoria       ,N,4477,Ruabon                        ,0,55,0,0,0,0,55
574,Euston                        ,Victoria       ,N,8801,Pitlochry                     ,2,25,0,0,0,0,27
574,Euston                        ,Victoria       ,N,2771,Stockport                     ,0,7,0,0,1,0,8
574,Euston                        ,Victoria       ,N,4434,Welshpool                     ,0,0,5,0,0,0,5
574,Euston                        ,Victoria       ,N,2946,Buxton                        ,0,22,0,0,0,0,22
574,Euston                        ,Victoria       ,N,2753,Preston                       ,0,0,14,0,0,0,14
574,Euston                        ,Victoria       ,N,1978,Windermere                    ,0,0,78,0,0,0,78
574,Euston                        ,Victoria       ,N,1218,Wolverhampton                 ,0,0,13,0,0,0,13
574,Euston                        ,Victoria       ,N,2437,Holyhead                      ,0,0,7,0,0,0,7
574,Euston                        ,Victoria       ,N,4641,Old Hill                      ,0,0,0,133,0,0,133
574,Euston                        ,Victoria       ,N,6941,Edmonton Green                ,0,82,0,0,0,0,82
574,Euston                        ,Victoria       ,N,6823,Waltham Cross                 ,0,41,0,0,0,0,41
574,Euston                        ,Victoria       ,N,9950,Glasgow Queen Street          ,0,0,0,6,0,0,6
574,Euston                        ,Victoria       ,N,2242,Liverpool Central             ,0,0,47,0,9,0,56
574,Euston                        ,Victoria       ,N,1392,Kings Langley                 ,0,19,0,0,56,0,75
574,Euston                        ,Victoria       ,N,9813,Glasgow Central               ,0,0,0,0,25,0,25
574,Euston                        ,Victoria       ,N,1455,Watford High Street           ,0,0,0,0,0,18,18
574,Euston                        ,Victoria       ,N,2412,Chester                       ,0,21,0,0,0,0,21
574,Euston                        ,Victoria       ,N,1393,Tring                         ,0,2,8,0,0,0,10
574,Euston                        ,Victoria       ,N,8827,Fort William                  ,1,9,0,0,0,0,11
574,Euston                        ,Victoria       ,N,1342,Uttoxeter                     ,0,0,0,0,1,0,1
574,Euston                        ,Victoria       ,N,1966,Kents Bank                    ,0,0,1,0,0,0,1
574,Euston                        ,Victoria       ,N,2471,Bangor                        ,0,0,0,0,2,0,2
574,Euston                        ,Victoria       ,N,1372,Cheddington                   ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,N,5428,Norbury                       ,0,0,7,0,0,0,7
574,Euston                        ,Victoria       ,N,1067,Long Buckby                   ,0,0,1,0,0,0,1
574,Euston                        ,Victoria       ,N,1077,Nuneaton                      ,0,25,0,0,0,0,25
574,Euston                        ,Victoria       ,N,1177,Lichfield City                ,0,0,0,18,0,0,18
574,Euston                        ,Victoria       ,N,2521,Prestatyn                     ,0,0,29,0,0,0,29
574,Euston                        ,Victoria       ,N,2384,Warrington Bank Quay          ,0,0,0,18,0,0,18
574,Euston                        ,Victoria       ,N,9614,Lockerbie                     ,0,0,0,0,0,10,10
574,Euston                        ,Victoria       ,S,1378,Milton Keynes Cent            ,127,715,600,173,55,1,1670
574,Euston                        ,Victoria       ,S,1373,Leighton Buzzard              ,48,290,24,49,0,0,411
574,Euston                        ,Victoria       ,S,1402,Watford Junction              ,14,294,715,292,10,36,1361
574,Euston                        ,Victoria       ,S,1360,Bletchley                     ,0,68,2,123,1,0,194
574,Euston                        ,Victoria       ,S,1380,Aspley Guise                  ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,S,1364,Wolverton                     ,9,26,5,0,0,0,40
574,Euston                        ,Victoria       ,S,1391,Hemel Hempstead               ,7,76,37,41,15,1,178
574,Euston                        ,Victoria       ,S,1390,Berkhamsted                   ,10,351,156,105,0,0,622
574,Euston                        ,Victoria       ,S,1395,Bushey                        ,10,159,105,5,1,0,281
574,Euston                        ,Victoria       ,S,1323,Tamworth High Level           ,0,1,0,0,0,0,1
574,Euston                        ,Victoria       ,S,1087,Rugby                         ,4,170,88,231,29,0,523
574,Euston                        ,Victoria       ,S,1393,Tring                         ,9,126,72,0,0,0,207
574,Euston                        ,Victoria       ,S,1069,Northampton                   ,39,394,113,8,42,31,627
574,Euston                        ,Victoria       ,S,1077,Nuneaton                      ,0,8,0,0,16,0,24
574,Euston                        ,Victoria       ,S,1430,Apsley                        ,0,126,4,4,0,0,134
574,Euston                        ,Victoria       ,S,2363,Wigan North Western           ,0,2,15,0,10,0,27
574,Euston                        ,Victoria       ,S,2412,Chester                       ,0,38,0,41,50,12,142
574,Euston                        ,Victoria       ,S,1398,Hatch End                     ,0,19,0,0,0,0,19
574,Euston                        ,Victoria       ,S,1415,Kilburn High Road             ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,S,3271,Bath Spa                      ,0,0,8,0,0,0,8
574,Euston                        ,Victoria       ,S,2871,Macclesfield                  ,0,1,68,0,3,0,73
574,Euston                        ,Victoria       ,S,2355,Freshfield                    ,0,0,1,0,0,0,1
574,Euston                        ,Victoria       ,S,2968,Manchester Piccadilly         ,0,120,305,266,334,0,1027
574,Euston                        ,Victoria       ,S,2246,Liverpool Lime Street         ,0,23,27,35,37,25,147
574,Euston                        ,Victoria       ,S,1127,Birmingham New Street         ,11,178,391,293,254,10,1138
574,Euston                        ,Victoria       ,S,1030,Coventry                      ,11,97,228,209,3,0,549
574,Euston                        ,Victoria       ,S,2753,Preston                       ,0,155,6,7,1,0,169
574,Euston                        ,Victoria       ,S,1314,Stoke-on-Trent                ,0,9,59,5,96,0,168
574,Euston                        ,Victoria       ,S,2739,Blackpool North               ,0,0,0,11,3,0,13
574,Euston                        ,Victoria       ,S,2786,Flowery Field                 ,0,0,0,0,2,0,2
574,Euston                        ,Victoria       ,S,2669,Layton                        ,0,0,0,0,1,0,1
574,Euston                        ,Victoria       ,S,2291,Runcorn                       ,10,31,0,0,7,0,48
574,Euston                        ,Victoria       ,S,0,Not stated                    ,8,71,127,50,161,0,418
574,Euston                        ,Victoria       ,S,1403,Watford North                 ,1,52,0,0,0,0,53
574,Euston                        ,Victoria       ,S,1392,Kings Langley                 ,1,28,19,0,0,32,80
574,Euston                        ,Victoria       ,S,1215,Birmingham International      ,17,136,113,75,4,0,345
574,Euston                        ,Victoria       ,S,1442,Carpenders Park               ,7,27,7,0,0,0,41
574,Euston                        ,Victoria       ,S,2794,Salford Crescent              ,0,0,3,0,0,0,3
574,Euston                        ,Victoria       ,S,1268,Stafford                      ,0,19,85,17,0,0,121
574,Euston                        ,Victoria       ,S,5881,New Milton                    ,0,1,0,0,0,0,1
574,Euston                        ,Victoria       ,S,1109,Kings Norton                  ,0,0,3,0,0,0,3
574,Euston                        ,Victoria       ,S,2118,Carlisle                      ,0,1,12,1,6,0,20
574,Euston                        ,Victoria       ,S,1045,Berkswell                     ,0,3,0,0,0,0,3
574,Euston                        ,Victoria       ,S,1042,Four Oaks                     ,0,13,0,0,0,0,13
574,Euston                        ,Victoria       ,S,1243,Crewe                         ,0,85,23,0,0,0,108
574,Euston                        ,Victoria       ,S,2771,Stockport                     ,0,90,67,0,32,106,296
574,Euston                        ,Victoria       ,S,4486,Wrexham Central               ,0,2,0,0,0,0,2
574,Euston                        ,Victoria       ,S,1292,Lichfield Trent Valley - High ,0,7,0,0,0,0,7
574,Euston                        ,Victoria       ,S,1372,Cheddington                   ,0,2,1,0,0,0,2
574,Euston                        ,Victoria       ,S,2390,Warrington Central            ,0,4,0,0,0,0,4
574,Euston                        ,Victoria       ,S,1218,Wolverhampton                 ,0,11,183,48,0,0,243
574,Euston                        ,Victoria       ,S,1954,Barrow-in-Furness             ,0,5,0,0,0,0,5
574,Euston                        ,Victoria       ,S,2090,Oxenholme                     ,0,18,53,0,20,0,91
574,Euston                        ,Victoria       ,S,2262,Southport                     ,0,2,0,0,0,0,2
574,Euston                        ,Victoria       ,S,4691,Telford Central               ,0,11,1,94,0,0,105
574,Euston                        ,Victoria       ,S,2745,Chorley                       ,0,0,3,0,0,0,3
574,Euston                        ,Victoria       ,S,2384,Warrington Bank Quay          ,0,71,10,12,50,0,142
574,Euston                        ,Victoria       ,S,2352,Birkdale                      ,0,0,1,0,0,0,1
574,Euston                        ,Victoria       ,S,2451,Colwyn Bay                    ,0,20,1,0,0,0,20
574,Euston                        ,Victoria       ,S,2685,Lancaster                     ,0,0,9,0,71,0,79
574,Euston                        ,Victoria       ,S,1132,Gravelly Hill                 ,0,0,53,0,0,0,53
574,Euston                        ,Victoria       ,S,4387,Shrewsbury                    ,0,0,79,0,0,0,79
574,Euston                        ,Victoria       ,S,1149,Sandwell and Dudley           ,9,80,30,0,0,0,118
574,Euston                        ,Victoria       ,S,2230,Hartford                      ,0,14,2,0,0,0,16
574,Euston                        ,Victoria       ,S,2102,Penrith                       ,0,0,60,0,21,0,81
574,Euston                        ,Victoria       ,S,1455,Watford High Street           ,0,34,21,0,50,0,105
574,Euston                        ,Victoria       ,S,2010,Ulverston                     ,0,0,3,0,0,0,3
574,Euston                        ,Victoria       ,S,5268,Brighton                      ,0,2,0,0,0,0,2
574,Euston                        ,Victoria       ,S,5253,Bognor Regis                  ,0,0,0,0,15,0,15
574,Euston                        ,Victoria       ,S,8437,Huddersfield                  ,0,0,12,0,0,0,12
574,Euston                        ,Victoria       ,S,5426,Victoria Br London            ,0,0,31,10,0,0,41
574,Euston                        ,Victoria       ,S,6183,Welwyn Garden City            ,0,0,0,2,0,0,2
574,Euston                        ,Victoria       ,S,6070,Hatfield                      ,0,0,0,3,0,0,3
574,Euston                        ,Victoria       ,S,9813,Glasgow Central               ,0,27,0,7,0,0,34
574,Euston                        ,Victoria       ,S,5568,Norbiton                      ,0,2,0,0,0,0,2
574,Euston                        ,Victoria       ,S,3562,Calstock                      ,0,0,0,1,0,0,1
574,Euston                        ,Victoria       ,S,2242,Liverpool Central             ,0,0,0,2,2,0,3
574,Euston                        ,Victoria       ,S,1112,Bournville                    ,0,0,0,0,2,0,2
574,Euston                        ,Victoria       ,S,2970,Manchester Victoria           ,0,0,0,0,7,0,7
574,Euston                        ,Victoria       ,S,1342,Uttoxeter                     ,0,0,0,0,2,0,2
574,Euston                        ,Victoria       ,S,1451,South Hampstead               ,0,0,0,0,7,0,7
574,Euston                        ,Victoria       ,S,4715,Bromsgrove                    ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,S,1291,Lichfield Trent Valley - Low  ,0,39,0,0,0,3,42
574,Euston                        ,Victoria       ,S,1195,Penkridge                     ,0,0,2,0,0,0,2
574,Euston                        ,Victoria       ,S,1322,Tamworth Low Level            ,0,10,0,0,0,0,10
574,Euston                        ,Victoria       ,S,4614,Albrighton                    ,0,47,0,0,0,0,47
574,Euston                        ,Victoria       ,S,4643,Stourbridge Town              ,0,42,0,0,0,0,42
574,Euston                        ,Victoria       ,S,2774,Wilmslow                      ,0,14,51,61,0,0,126
574,Euston                        ,Victoria       ,S,1067,Long Buckby                   ,4,12,0,0,0,0,16
574,Euston                        ,Victoria       ,S,1096,Barnt Green                   ,0,14,0,0,0,0,14
574,Euston                        ,Victoria       ,S,2565,Nelson                        ,0,0,40,0,0,0,40
574,Euston                        ,Victoria       ,S,2485,Llandudno Junction            ,0,0,3,0,0,0,3
574,Euston                        ,Victoria       ,S,1208,Redditch                      ,0,0,3,0,0,0,3
574,Euston                        ,Victoria       ,S,4303,Aberystwyth                   ,0,0,56,0,0,0,56
574,Euston                        ,Victoria       ,S,5309,Horsham                       ,0,0,25,0,0,0,25
574,Euston                        ,Victoria       ,S,2640,Carnforth                     ,0,0,0,39,0,0,39
574,Euston                        ,Victoria       ,S,2201,West Kirby                    ,0,0,0,81,0,0,81
574,Euston                        ,Victoria       ,S,5567,New Malden                    ,0,30,0,0,0,0,30
574,Euston                        ,Victoria       ,S,1562,St Albans Abbey               ,0,0,0,8,0,0,8
574,Euston                        ,Victoria       ,S,5073,St Mary Cray                  ,0,0,42,0,0,0,42
574,Euston                        ,Victoria       ,S,4518,Tyseley                       ,0,0,0,8,0,0,8
574,Euston                        ,Victoria       ,S,5384,Streatham Common              ,1,17,0,0,0,0,18
574,Euston                        ,Victoria       ,S,3333,Swindon                       ,0,0,0,0,9,0,9
574,Euston                        ,Victoria       ,S,2198,Port Sunlight                 ,0,0,0,0,33,0,33
574,Euston                        ,Victoria       ,S,2848,Knutsford                     ,0,0,0,0,167,0,167
574,Euston                        ,Victoria       ,S,1044,Sutton Coldfield              ,0,0,0,0,19,0,19
574,Euston                        ,Victoria       ,S,4422,Machynlleth                   ,0,0,0,0,2,0,2
574,Euston                        ,Victoria       ,S,5671,Sunningdale                   ,0,0,0,0,9,0,9
574,Euston                        ,Victoria       ,S,4365,Church Stretton               ,0,23,0,0,0,0,23
574,Euston                        ,Victoria       ,S,9145,Kirkcaldy                     ,0,0,0,0,0,0,1
574,Euston                        ,Victoria       ,S,1851,Melton Mowbray                ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,S,4504,University (Birmingham)       ,0,0,1,0,0,0,1
574,Euston                        ,Victoria       ,S,6133,Peterborough                  ,0,0,0,3,0,0,3
574,Euston                        ,Victoria       ,S,9673,Wemyss Bay                    ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,S,2961,Manchester Airport            ,0,0,0,0,0,0,0
574,Euston                        ,Victoria       ,S,1542,Elstree & Borehamwood         ,0,0,12,0,0,0,12
574,Euston                        ,Victoria       ,S,2862,Levenshulme                   ,0,0,12,0,0,0,12
574,Euston                        ,Victoria       ,S,2521,Prestatyn                     ,0,0,55,0,0,0,55
574,Euston                        ,Victoria       ,S,4487,Wrexham General               ,0,0,1,0,0,0,1
575,Euston Square                 ,Circle         ,I,1378,Milton Keynes Cent            ,1,21,97,19,0,0,138
575,Euston Square                 ,Circle         ,I,2774,Wilmslow                      ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,1373,Leighton Buzzard              ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,1402,Watford Junction              ,0,2,3,2,0,0,7
575,Euston Square                 ,Circle         ,I,1087,Rugby                         ,0,13,13,0,0,0,26
575,Euston Square                 ,Circle         ,I,6133,Peterborough                  ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,2384,Warrington Bank Quay          ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,9726,Hamilton Central              ,0,1,0,0,0,0,1
575,Euston Square                 ,Circle         ,I,1069,Northampton                   ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,5362,Forest Hill                   ,0,0,23,0,0,0,23
575,Euston Square                 ,Circle         ,I,2695,Morecambe                     ,0,0,0,5,0,0,5
575,Euston Square                 ,Circle         ,I,2599,Bolton                        ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,1215,Birmingham International      ,0,48,0,0,0,0,48
575,Euston Square                 ,Circle         ,I,2968,Manchester Piccadilly         ,0,0,36,1,0,0,38
575,Euston Square                 ,Circle         ,I,1177,Lichfield City                ,0,26,0,0,0,0,26
575,Euston Square                 ,Circle         ,I,1395,Bushey                        ,0,39,0,0,0,0,39
575,Euston Square                 ,Circle         ,I,1364,Wolverton                     ,0,0,11,0,0,0,11
575,Euston Square                 ,Circle         ,I,1390,Berkhamsted                   ,0,0,75,0,0,0,75
575,Euston Square                 ,Circle         ,I,7017,Audley End                    ,0,0,32,0,0,0,32
575,Euston Square                 ,Circle         ,I,1109,Kings Norton                  ,0,0,153,0,0,0,153
575,Euston Square                 ,Circle         ,I,6086,Hitchin                       ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,1360,Bletchley                     ,14,68,0,0,0,0,83
575,Euston Square                 ,Circle         ,I,1444,Euston Br                     ,0,0,49,0,0,0,49
575,Euston Square                 ,Circle         ,I,1243,Crewe                         ,0,0,10,0,0,0,10
575,Euston Square                 ,Circle         ,I,3047,Beaconsfield                  ,0,0,6,0,0,0,6
575,Euston Square                 ,Circle         ,I,2771,Stockport                     ,0,0,67,0,0,0,67
575,Euston Square                 ,Circle         ,I,0,Not stated                    ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,I,7443,Grays                         ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,O,1378,Milton Keynes Cent            ,0,95,0,0,0,0,96
575,Euston Square                 ,Circle         ,O,1373,Leighton Buzzard              ,0,29,59,0,0,0,88
575,Euston Square                 ,Circle         ,O,1444,Euston Br                     ,11,164,0,25,0,0,201
575,Euston Square                 ,Circle         ,O,1392,Kings Langley                 ,0,18,0,0,0,0,18
575,Euston Square                 ,Circle         ,O,0,Not stated                    ,0,10,221,0,0,0,231
575,Euston Square                 ,Circle         ,O,1069,Northampton                   ,0,29,16,0,0,0,45
575,Euston Square                 ,Circle         ,O,1364,Wolverton                     ,0,15,0,0,0,0,15
575,Euston Square                 ,Circle         ,O,1402,Watford Junction              ,0,22,6,26,0,0,53
575,Euston Square                 ,Circle         ,O,2246,Liverpool Lime Street         ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,O,1390,Berkhamsted                   ,1,41,10,0,0,0,52
575,Euston Square                 ,Circle         ,O,1395,Bushey                        ,0,84,0,0,0,0,84
575,Euston Square                 ,Circle         ,O,1291,Lichfield Trent Valley - Low  ,0,22,0,0,0,0,22
575,Euston Square                 ,Circle         ,O,1030,Coventry                      ,0,95,0,0,0,0,95
575,Euston Square                 ,Circle         ,O,1391,Hemel Hempstead               ,0,10,0,0,0,0,10
575,Euston Square                 ,Circle         ,O,1087,Rugby                         ,0,9,0,0,0,0,9
575,Euston Square                 ,Circle         ,O,2363,Wigan North Western           ,0,25,0,0,0,0,25
575,Euston Square                 ,Circle         ,O,1393,Tring                         ,0,0,55,0,0,0,55
575,Euston Square                 ,Circle         ,O,1127,Birmingham New Street         ,0,0,13,47,17,0,76
575,Euston Square                 ,Circle         ,O,7443,Grays                         ,2,8,0,0,0,0,9
575,Euston Square                 ,Circle         ,O,2871,Macclesfield                  ,0,0,0,0,4,0,4
575,Euston Square                 ,Circle         ,O,9813,Glasgow Central               ,0,0,0,0,38,0,38
575,Euston Square                 ,Circle         ,O,6872,Brentwood                     ,0,0,0,0,1,0,1
575,Euston Square                 ,Circle         ,O,1243,Crewe                         ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,O,1403,Watford North                 ,0,0,0,0,0,0,0
575,Euston Square                 ,Circle         ,O,2968,Manchester Piccadilly         ,0,0,40,0,0,0,40
575,Euston Square                 ,Circle         ,O,2771,Stockport                     ,0,0,0,0,0,0,0
575,Euston Square                 ,Hammersmith & C,E,1402,Watford Junction              ,18,46,16,8,0,0,89
575,Euston Square                 ,Hammersmith & C,E,1364,Wolverton                     ,0,10,0,0,0,0,10
575,Euston Square                 ,Hammersmith & C,E,1215,Birmingham International      ,1,17,0,0,0,0,18
575,Euston Square                 ,Hammersmith & C,E,1390,Berkhamsted                   ,8,68,0,0,0,0,76
575,Euston Square                 ,Hammersmith & C,E,1391,Hemel Hempstead               ,0,0,0,0,0,0,1
575,Euston Square                 ,Hammersmith & C,E,1373,Leighton Buzzard              ,0,113,2,0,0,0,115
575,Euston Square                 ,Hammersmith & C,E,1392,Kings Langley                 ,0,0,0,0,0,0,0
575,Euston Square                 ,Hammersmith & C,E,2753,Preston                       ,0,0,0,0,0,0,0
575,Euston Square                 ,Hammersmith & C,E,1069,Northampton                   ,0,0,1,0,0,0,1
575,Euston Square                 ,Hammersmith & C,E,1378,Milton Keynes Cent            ,5,61,1,0,0,0,67
575,Euston Square                 ,Hammersmith & C,E,1393,Tring                         ,3,8,0,0,0,0,11
575,Euston Square                 ,Hammersmith & C,E,1360,Bletchley                     ,8,48,0,0,0,0,56
575,Euston Square                 ,Hammersmith & C,E,1045,Berkswell                     ,0,24,0,0,0,0,24
575,Euston Square                 ,Hammersmith & C,E,1444,Euston Br                     ,4,53,0,0,0,0,56
575,Euston Square                 ,Hammersmith & C,E,1395,Bushey                        ,0,34,0,0,0,0,34
575,Euston Square                 ,Hammersmith & C,E,1243,Crewe                         ,0,22,0,0,0,0,22
575,Euston Square                 ,Hammersmith & C,E,1442,Carpenders Park               ,0,16,0,0,0,0,16
575,Euston Square                 ,Hammersmith & C,E,5191,Strood                        ,0,47,0,0,0,0,47
575,Euston Square                 ,Hammersmith & C,E,1434,Headstone Lane                ,0,0,1,0,0,0,1
575,Euston Square                 ,Hammersmith & C,E,2354,Formby                        ,0,0,25,0,0,0,25
575,Euston Square                 ,Hammersmith & C,E,2246,Liverpool Lime Street         ,0,0,34,0,0,0,34
575,Euston Square                 ,Hammersmith & C,E,2968,Manchester Piccadilly         ,0,0,2,0,0,0,2
575,Euston Square                 ,Hammersmith & C,E,1127,Birmingham New Street         ,0,0,4,29,11,0,43
575,Euston Square                 ,Hammersmith & C,E,1977,Staveley (Cumbria)            ,0,0,0,104,0,0,104
575,Euston Square                 ,Hammersmith & C,E,2771,Stockport                     ,0,0,0,0,0,5,5
575,Euston Square                 ,Hammersmith & C,E,2390,Warrington Central            ,0,0,0,0,0,0,0
575,Euston Square                 ,Hammersmith & C,E,1030,Coventry                      ,0,0,0,0,0,0,0
575,Euston Square                 ,Hammersmith & C,E,1268,Stafford                      ,0,0,28,0,0,0,28
575,Euston Square                 ,Hammersmith & C,E,2471,Bangor                        ,0,0,22,0,0,0,22
575,Euston Square                 ,Hammersmith & C,E,1035,Tile Hill                     ,0,0,0,13,0,0,13
575,Euston Square                 ,Hammersmith & C,W,1402,Watford Junction              ,0,60,96,0,0,0,156
575,Euston Square                 ,Hammersmith & C,W,1087,Rugby                         ,0,3,0,0,0,0,3
575,Euston Square                 ,Hammersmith & C,W,1444,Euston Br                     ,0,26,5,0,0,0,30
575,Euston Square                 ,Hammersmith & C,W,1069,Northampton                   ,0,43,124,0,0,0,167
575,Euston Square                 ,Hammersmith & C,W,1360,Bletchley                     ,28,22,0,0,0,0,50
575,Euston Square                 ,Hammersmith & C,W,6086,Hitchin                       ,0,0,0,0,0,0,0
575,Euston Square                 ,Hammersmith & C,W,1218,Wolverhampton                 ,0,8,0,0,0,0,8
575,Euston Square                 ,Hammersmith & C,W,1364,Wolverton                     ,0,16,0,0,0,0,16
575,Euston Square                 ,Hammersmith & C,W,0,Not stated                    ,0,0,2,0,0,0,2
575,Euston Square                 ,Hammersmith & C,W,2412,Chester                       ,0,0,1,0,0,0,1
575,Euston Square                 ,Hammersmith & C,W,2968,Manchester Piccadilly         ,0,0,5,83,0,0,87
575,Euston Square                 ,Hammersmith & C,W,1390,Berkhamsted                   ,0,0,30,0,0,0,30
575,Euston Square                 ,Hammersmith & C,W,2102,Penrith                       ,0,0,1,0,0,0,1
575,Euston Square                 ,Hammersmith & C,W,1373,Leighton Buzzard              ,17,56,49,0,0,0,122
575,Euston Square                 ,Hammersmith & C,W,1391,Hemel Hempstead               ,9,81,51,25,0,0,166
575,Euston Square                 ,Hammersmith & C,W,2246,Liverpool Lime Street         ,0,20,0,0,0,0,20
575,Euston Square                 ,Hammersmith & C,W,1243,Crewe                         ,0,70,3,0,0,0,73
575,Euston Square                 ,Hammersmith & C,W,1127,Birmingham New Street         ,0,18,4,3,0,0,24
575,Euston Square                 ,Hammersmith & C,W,5399,Balham - NR                   ,0,44,0,0,0,0,44
575,Euston Square                 ,Hammersmith & C,W,3187,Southall                      ,0,43,0,0,0,0,43
