 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
Journeys Entering from NR/DLR,,,,,,,,,,,
Entry Station,,Period,,Total,To Zone 1,2,3,4,5,6,7
513,Bank / Monument               ,Midday      ,All     ,30823,22117,4484,2372,864,626,284,76
513,Bank / Monument               ,PM Peak     ,NR      ,2700,1689,843,80,48,28,13,0
513,Bank / Monument               ,PM Peak     ,DLR     ,8573,5444,965,1722,409,33,0,0
513,Bank / Monument               ,PM Peak     ,All     ,64703,34887,14876,8550,3877,1440,1027,46
513,Bank / Monument               ,Evening     ,NR      ,1269,774,464,2,12,18,0,0
513,Bank / Monument               ,Evening     ,DLR     ,4802,2308,1634,777,7,76,0,0
513,Bank / Monument               ,Evening     ,All     ,26934,13359,8553,3295,1091,451,169,16
513,Bank / Monument               ,Late        ,NR      ,453,59,394,0,0,0,0,0
513,Bank / Monument               ,Late        ,DLR     ,3471,2371,678,284,109,0,28,0
513,Bank / Monument               ,Late        ,All     ,9432,5082,2940,746,538,66,61,0
514,Barking                       ,Early       ,NR      ,136,28,92,2,0,0,13,0
514,Barking                       ,Early       ,All     ,4511,1670,2136,390,71,123,120,0
514,Barking                       ,AM peak     ,NR      ,1101,159,380,140,141,163,119,0
514,Barking                       ,AM peak     ,All     ,9205,2768,4249,967,229,602,389,0
514,Barking                       ,Midday      ,NR      ,1201,249,293,138,19,163,339,0
514,Barking                       ,Midday      ,All     ,7348,2155,2891,516,242,691,688,165
514,Barking                       ,PM Peak     ,NR      ,1295,282,258,6,27,685,36,0
514,Barking                       ,PM Peak     ,All     ,6413,879,2664,1015,69,1364,422,0
514,Barking                       ,Evening     ,NR      ,1379,0,95,20,41,1086,137,0
514,Barking                       ,Evening     ,All     ,3306,376,1085,258,53,1267,266,0
514,Barking                       ,Late        ,NR      ,348,5,34,0,0,264,45,0
514,Barking                       ,Late        ,All     ,876,93,274,2,13,352,142,0
520,Bethnal Green                 ,Early       ,NR      ,88,45,5,38,0,0,0,0
520,Bethnal Green                 ,Early       ,All     ,839,493,236,69,39,0,2,0
520,Bethnal Green                 ,AM peak     ,NR      ,269,122,96,41,10,0,0,0
520,Bethnal Green                 ,AM peak     ,All     ,6899,5062,1266,218,264,10,78,0
520,Bethnal Green                 ,Midday      ,NR      ,86,22,30,0,34,0,0,0
520,Bethnal Green                 ,Midday      ,All     ,6628,4537,1236,187,440,145,83,0
520,Bethnal Green                 ,PM Peak     ,All     ,5383,1677,1762,810,849,157,128,0
520,Bethnal Green                 ,Evening     ,NR      ,276,86,189,0,0,0,0,0
520,Bethnal Green                 ,Evening     ,All     ,2355,499,844,417,322,64,124,84
520,Bethnal Green                 ,Late        ,All     ,1082,43,492,189,315,41,3,0
521,Blackfriars                   ,Early       ,NR      ,273,236,15,1,0,15,6,0
521,Blackfriars                   ,Early       ,All     ,313,255,29,2,5,15,6,0
521,Blackfriars                   ,AM peak     ,NR      ,3986,3540,404,11,9,17,3,0
521,Blackfriars                   ,AM peak     ,All     ,5122,4205,817,21,20,20,39,0
521,Blackfriars                   ,Midday      ,NR      ,1524,1164,261,0,1,98,0,0
521,Blackfriars                   ,Midday      ,All     ,5586,4204,753,275,119,146,89,0
521,Blackfriars                   ,PM Peak     ,NR      ,1222,529,567,117,9,0,0,0
521,Blackfriars                   ,PM Peak     ,All     ,11530,6043,2837,1707,444,250,247,2
521,Blackfriars                   ,Evening     ,NR      ,262,128,92,0,42,0,0,0
521,Blackfriars                   ,Evening     ,All     ,4146,2114,1247,326,375,21,27,36
521,Blackfriars                   ,Late        ,NR      ,57,53,4,0,0,0,0,0
521,Blackfriars                   ,Late        ,All     ,1029,558,252,136,21,0,45,16
522,Blackhorse Road               ,Early       ,NR      ,129,2,87,40,0,0,0,0
