NLC,Station,timePeriod,Total,Male,Female,Notstated,NotStated,cat0,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8
557,Debden,Early,78,0,0,78,78,0,0,0,0,0,0,0,0,0
557,Debden,AMpeak,999,337,468,193,193,0,200,71,193,63,102,75,101,0
557,Debden,Midday,801,183,598,21,21,0,131,6,139,47,387,19,48,2
557,Debden,PMPeak,1472,774,642,57,123,0,200,69,282,229,281,136,97,55
557,Debden,Evening,561,244,251,67,64,0,0,144,190,66,97,0,0,0
557,Debden,Late,27,27,0,0,0,0,0,0,0,0,27,0,0,0
557,Debden,Totalday,3938,1564,1959,415,479,0,531,290,804,405,895,230,246,57
558,DollisHill,Early,118,0,0,118,118,0,0,0,0,0,0,0,0,0
558,DollisHill,AMpeak,1030,344,514,172,172,0,56,57,265,180,166,134,0,0
558,DollisHill,Midday,1267,388,798,81,81,0,122,127,278,171,229,82,163,13
558,DollisHill,PMPeak,2113,426,1682,5,72,0,118,358,345,443,688,31,50,7
558,DollisHill,Evening,1151,446,678,27,27,0,22,198,521,151,232,0,0,0
558,DollisHill,Late,666,385,215,67,67,0,120,0,126,64,147,141,0,0
558,DollisHill,Totalday,6346,1989,3887,470,538,0,439,741,1535,1010,1462,389,214,20
560,EalingBroadway,Early,541,9,2,530,530,0,9,2,0,0,0,0,0,0
560,EalingBroadway,AMpeak,4672,1712,2018,941,889,40,341,507,1306,486,738,197,164,4
560,EalingBroadway,Midday,5907,2146,3359,402,348,0,481,1209,1009,819,1230,415,179,217
560,EalingBroadway,PMPeak,14484,5530,8567,386,493,51,745,2781,3084,2811,3522,560,257,178
560,EalingBroadway,Evening,6510,2597,3497,416,377,0,143,815,2155,1505,1338,105,38,34
560,EalingBroadway,Late,2521,1009,765,746,737,0,10,365,786,138,443,10,30,1
560,EalingBroadway,Totalday,34635,13004,18209,3421,3374,91,1731,5680,8340,5759,7271,1287,668,434
561,EalingCommon,Early,82,4,0,78,78,0,0,0,0,0,4,0,0,0
561,EalingCommon,AMpeak,977,239,567,171,161,0,49,72,114,111,321,118,0,30
561,EalingCommon,Midday,773,447,281,44,44,0,67,68,130,34,67,112,173,77
561,EalingCommon,PMPeak,1727,490,1038,199,166,66,65,110,655,304,269,77,11,5
561,EalingCommon,Evening,974,483,445,46,35,0,5,55,273,196,289,67,22,33
561,EalingCommon,Late,421,156,149,117,118,0,0,87,69,71,13,50,13,0
561,EalingCommon,Totalday,4953,1818,2481,655,603,66,186,392,1239,717,964,424,219,144
562,Earl'sCourt,Early,770,0,1,768,768,0,0,0,0,0,2,0,0,0
562,Earl'sCourt,AMpeak,6401,2002,3563,836,865,0,44,766,1684,1290,1309,278,72,93
562,Earl'sCourt,Midday,7499,3237,3372,890,995,0,334,1334,1432,955,1338,424,377,309
562,Earl'sCourt,PMPeak,6912,2661,3809,442,446,11,455,1061,1694,1105,1225,308,514,94
562,Earl'sCourt,Evening,5286,1842,2483,961,891,0,201,691,1333,1001,682,292,43,153
562,Earl'sCourt,Late,2934,1207,920,807,735,0,7,443,1095,196,293,163,0,2
562,Earl'sCourt,Totalday,29802,10949,14149,4705,4701,11,1041,4295,7237,4547,4849,1465,1007,651
563,EastActon,Early,129,0,1,129,129,0,0,0,0,0,1,0,0,0
563,EastActon,AMpeak,1332,498,689,145,114,0,53,69,226,354,320,116,17,62
563,EastActon,Midday,1336,450,843,43,33,12,15,241,153,265,375,26,93,123
563,EastActon,PMPeak,1881,610,1091,181,181,46,58,257,443,259,575,42,0,21
563,EastActon,Evening,1177,377,774,26,26,0,0,372,417,138,221,1,1,0
563,EastActon,Late,704,306,285,113,113,0,0,308,175,41,63,0,0,5
563,EastActon,Totalday,6560,2241,3683,636,596,57,127,1247,1413,1056,1555,184,112,212
565,EastFinchley,Early,80,0,0,80,80,0,0,0,0,0,0,0,0,0
565,EastFinchley,AMpeak,1444,449,628,367,352,0,9,33,286,416,214,8,103,23
565,EastFinchley,Midday,1970,622,1310,38,39,0,60,254,280,480,467,87,176,127
565,EastFinchley,PMPeak,4582,2248,2287,46,107,10,90,1490,1290,676,638,153,94,34
565,EastFinchley,Evening,3034,1039,1929,66,57,14,25,680,620,454,1068,95,21,0
565,EastFinchley,Late,1368,384,545,439,496,26,0,283,232,134,184,6,4,4
565,EastFinchley,Totalday,12478,4742,6699,1036,1131,51,184,2740,2710,2159,2570,349,398,187
566,EastHam,Early,266,0,0,265,265,0,0,0,0,0,0,0,0,0
566,EastHam,AMpeak,2151,719,1211,221,238,0,42,249,399,174,808,235,6,0
566,EastHam,Midday,4512,2295,1435,782,863,27,322,912,1162,329,732,89,40,37
566,EastHam,PMPeak,9215,2644,2934,3636,3626,24,612,1222,2134,454,866,124,132,21
566,EastHam,Evening,4955,2115,859,1981,1990,0,65,892,1290,310,407,1,0,0
566,EastHam,Late,2106,470,244,1392,1392,0,5,73,461,43,130,1,0,1
566,EastHam,Totalday,23204,8244,6682,8278,8374,50,1047,3347,5446,1309,2943,450,178,60
567,EastPutney,Early,126,0,0,126,126,0,0,0,0,0,0,0,0,0
567,EastPutney,AMpeak,1798,444,1068,286,250,50,29,243,450,299,345,43,57,32
567,EastPutney,Midday,1563,554,1007,2,58,0,35,246,274,284,464,79,99,24
567,EastPutney,PMPeak,3454,1297,2122,35,41,35,33,205,1175,842,774,239,101,8
567,EastPutney,Evening,2302,860,1325,117,206,0,18,400,730,387,533,16,1,12
567,EastPutney,Late,1010,304,407,299,306,0,33,67,285,163,145,10,0,0
567,EastPutney,Totalday,10254,3460,5928,866,987,85,148,1161,2913,1975,2262,388,259,76
564,Eastcote,Early,39,0,0,39,39,0,0,0,0,0,0,0,0,0
564,Eastcote,AMpeak,415,177,103,136,121,0,19,11,109,92,38,20,0,5
564,Eastcote,Midday,1030,423,605,2,19,0,134,83,136,85,287,79,110,97
564,Eastcote,PMPeak,2187,712,1441,34,8,0,116,202,244,538,883,102,34,61
564,Eastcote,Evening,1006,531,461,14,5,17,21,107,158,226,280,166,26,0
564,Eastcote,Late,287,31,131,125,125,0,0,58,10,26,55,3,6,3
564,Eastcote,Totalday,4963,1874,2739,350,316,17,289,462,656,966,1543,371,176,166
568,Edgware,Early,93,0,0,93,93,0,0,0,0,0,0,0,0,0
568,Edgware,AMpeak,949,260,532,156,149,10,86,81,234,181,115,2,91,0
568,Edgware,Midday,1998,764,1181,52,46,33,112,273,225,248,482,203,77,298
568,Edgware,PMPeak,3159,1445,1638,76,85,0,100,477,363,485,1066,363,130,91
568,Edgware,Evening,1635,949,612,75,95,0,16,363,396,244,382,62,63,15
568,Edgware,Late,533,307,126,100,100,0,0,96,49,84,123,32,50,0
568,Edgware,Totalday,8366,3726,4089,552,568,43,314,1290,1267,1241,2167,661,411,405
774,EdgwareRoad(Bak),Early,177,0,0,177,177,0,0,0,0,0,0,0,0,0
774,EdgwareRoad(Bak),AMpeak,3158,1526,1314,319,335,0,195,389,541,662,723,100,170,43
774,EdgwareRoad(Bak),Midday,2115,1031,1014,70,41,26,81,346,540,340,471,122,48,101
774,EdgwareRoad(Bak),PMPeak,1317,668,446,203,203,0,0,102,245,252,459,52,0,2
774,EdgwareRoad(Bak),Evening,804,326,197,281,281,0,1,88,195,148,90,0,0,0
774,EdgwareRoad(Bak),Late,437,85,88,264,284,0,0,0,67,61,15,1,9,0
774,EdgwareRoad(Bak),Totalday,8008,3636,3058,1314,1321,26,277,924,1589,1463,1759,275,227,147
569,EdgwareRoad(Cir),Early,242,0,0,242,242,0,0,0,0,0,0,0,0,0
569,EdgwareRoad(Cir),AMpeak,4105,1419,2079,607,595,0,70,429,917,963,881,130,97,23
569,EdgwareRoad(Cir),Midday,2844,1083,1611,150,154,0,89,341,629,514,739,97,111,171
569,EdgwareRoad(Cir),PMPeak,2294,894,1400,0,138,18,0,364,692,342,441,130,92,77
569,EdgwareRoad(Cir),Evening,1064,522,481,61,41,0,0,193,393,247,160,7,4,18
569,EdgwareRoad(Cir),Late,407,117,76,214,192,0,0,66,42,68,38,2,0,0
569,EdgwareRoad(Cir),Totalday,10956,4035,5646,1274,1363,18,159,1393,2672,2134,2259,367,303,288
570,Elephant&Castle,Early,591,4,0,587,587,0,0,0,4,0,0,0,0,0
570,Elephant&Castle,AMpeak,7134,2554,3883,697,621,3,205,1457,1812,995,1437,461,82,62
570,Elephant&Castle,Midday,8456,2898,4450,1108,767,0,681,1545,1728,1348,1858,217,262,51
570,Elephant&Castle,PMPeak,6440,1808,3553,1078,1051,0,183,1275,1273,1201,1361,59,26,9
570,Elephant&Castle,Evening,4158,1569,1978,610,610,0,300,407,1517,810,444,37,32,0
570,Elephant&Castle,Late,2517,886,742,890,890,0,78,154,798,342,172,19,64,0
570,Elephant&Castle,Totalday,29297,9720,14606,4971,4525,3,1448,4838,7133,4695,5272,793,466,122
571,ElmPark,Early,39,0,0,39,39,0,0,0,0,0,0,0,0,0
571,ElmPark,AMpeak,255,15,122,118,118,0,0,20,90,12,0,0,15,1
571,ElmPark,Midday,988,122,583,283,290,0,41,20,110,169,269,3,51,37
571,ElmPark,PMPeak,2642,899,672,1071,1084,22,135,280,81,298,643,73,7,20
571,ElmPark,Evening,1000,207,159,633,615,0,0,90,29,39,176,43,7,1
571,ElmPark,Late,464,11,38,415,407,0,0,0,11,26,12,8,0,0
571,ElmPark,Totalday,5388,1254,1575,2559,2553,22,175,410,321,545,1100,127,79,57
542,Embankment,Early,674,0,0,674,674,0,0,0,0,0,0,0,0,0
542,Embankment,AMpeak,10528,4971,4542,1016,899,0,21,831,2877,2105,3064,572,116,44
542,Embankment,Midday,9809,5246,4175,388,598,10,325,1149,1466,1325,2302,807,889,938
542,Embankment,PMPeak,9416,4154,4812,450,569,0,67,892,1432,1551,3089,707,819,289
542,Embankment,Evening,2833,1513,1250,70,44,48,208,309,825,415,715,99,123,46
542,Embankment,Late,1188,355,267,566,560,0,0,170,191,103,109,27,27,0
542,Embankment,Totalday,34448,16238,15046,3164,3344,58,621,3351,6791,5499,9280,2213,1974,1317
572,Epping,Early,141,0,1,140,140,0,0,0,0,1,0,0,0,0
572,Epping,AMpeak,685,95,226,364,272,0,12,89,198,69,12,0,1,33
572,Epping,Midday,967,328,322,318,356,18,11,51,27,61,222,45,39,137
572,Epping,PMPeak,2657,773,1586,298,290,1,139,366,265,599,678,110,170,40
572,Epping,Evening,1222,277,440,505,516,0,0,61,146,259,117,22,82,18
572,Epping,Late,632,157,94,381,357,0,0,11,87,80,72,0,2,22
572,Epping,Totalday,6304,1629,2669,2006,1931,19,162,577,723,1069,1101,177,295,250
574,Euston,Early,1630,8,0,1622,1622,0,0,0,7,0,0,0,0,0
574,Euston,AMpeak,15201,6870,7110,1221,1149,11,176,1493,3088,3109,3337,1813,698,327
574,Euston,Midday,19447,8481,9901,1065,1112,0,1114,3790,2226,2641,4609,1959,1321,675
574,Euston,PMPeak,17684,8840,8393,450,299,57,873,1869,3010,3058,5343,1604,1445,128
574,Euston,Evening,6874,3134,3671,69,103,0,172,756,1201,1573,2488,376,167,38
574,Euston,Late,2703,997,923,783,760,0,516,140,285,363,584,23,17,14
574,Euston,Totalday,63538,28329,29998,5210,5046,67,2850,8048,9817,10744,16362,5774,3648,1182
575,EustonSquare,Early,561,0,0,561,561,0,0,0,0,0,0,0,0,0
575,EustonSquare,AMpeak,9154,4010,4375,769,710,0,125,997,1803,1766,2193,1011,431,118
575,EustonSquare,Midday,7125,3276,3385,463,468,0,578,1594,1204,869,1570,202,333,308
575,EustonSquare,PMPeak,6069,2968,2785,316,490,0,327,619,1081,1155,1909,201,191,96
575,EustonSquare,Evening,1554,694,778,82,82,0,31,225,296,425,353,111,10,21
575,EustonSquare,Late,392,279,46,67,67,0,0,66,72,1,127,48,11,0
575,EustonSquare,Totalday,24855,11227,11370,2258,2378,0,1060,3500,4455,4216,6152,1574,976,542
576,Fairlop,Early,20,0,0,20,20,0,0,0,0,0,0,0,0,0
576,Fairlop,AMpeak,201,1,144,57,57,0,11,0,131,1,2,0,0,0
576,Fairlop,Midday,279,49,58,172,172,0,2,38,44,15,7,0,0,1
576,Fairlop,PMPeak,765,134,584,47,47,0,8,250,153,77,124,100,7,0
576,Fairlop,Evening,403,163,154,85,90,0,0,74,93,4,134,0,8,0
576,Fairlop,Late,123,17,37,70,70,0,0,0,22,23,9,0,0,0
576,Fairlop,Totalday,1792,363,978,450,455,0,22,362,442,120,275,100,15,1
577,Farringdon,Early,729,3,3,723,723,0,0,0,3,0,0,3,0,0
577,Farringdon,AMpeak,14977,6586,7421,971,897,0,107,1786,4368,2779,3578,954,292,217
577,Farringdon,Midday,6406,2876,3094,436,387,5,166,1224,1129,980,1554,525,230,206
577,Farringdon,PMPeak,5628,3272,2262,94,20,14,27,543,1046,1251,2026,494,110,97
577,Farringdon,Evening,1709,893,583,234,215,0,69,74,261,294,655,61,65,15
577,Farringdon,Late,647,295,99,253,246,2,17,223,22,48,14,47,28,0
577,Farringdon,Totalday,30097,13924,13461,2712,2489,21,386,3849,6830,5352,7828,2084,725,534
578,FinchleyCentral,Early,82,0,0,82,82,0,0,0,0,0,0,0,0,0
578,FinchleyCentral,AMpeak,1897,653,1020,223,223,0,31,220,450,354,279,195,144,0
578,FinchleyCentral,Midday,2197,948,1046,203,220,7,327,419,276,246,353,125,123,102
578,FinchleyCentral,PMPeak,4027,1821,2135,70,71,50,265,523,665,783,973,232,412,52
578,FinchleyCentral,Evening,2242,717,1283,242,212,0,91,188,783,290,632,13,13,20
578,FinchleyCentral,Late,1153,457,390,306,306,0,0,245,264,158,171,3,6,0
578,FinchleyCentral,Totalday,11597,4597,5874,1126,1113,57,715,1594,2438,1831,2408,568,697,175
579,FinchleyRoad,Early,356,1,0,355,355,0,0,0,0,1,0,0,0,0
579,FinchleyRoad,AMpeak,3147,1185,1554,408,401,10,55,250,610,459,782,194,226,160
579,FinchleyRoad,Midday,3384,1488,1672,224,195,9,138,639,774,357,517,252,201,303
579,FinchleyRoad,PMPeak,4682,1656,2763,263,236,0,162,699,1007,833,1105,329,98,213
579,FinchleyRoad,Evening,2790,1226,1468,97,98,0,31,407,995,582,565,43,60,9
579,FinchleyRoad,Late,902,355,288,260,279,0,28,123,187,102,160,4,12,8
579,FinchleyRoad,Totalday,15261,5911,7744,1606,1564,19,413,2118,3572,2335,3130,823,596,692
580,FinsburyPark,Early,951,0,6,945,945,0,0,0,6,0,0,0,0,0
580,FinsburyPark,AMpeak,8586,2595,4643,1349,1329,2,174,864,2234,1728,1756,395,57,47
580,FinsburyPark,Midday,11861,4487,6759,614,361,67,592,2225,2735,2045,2771,321,456,288
580,FinsburyPark,PMPeak,20181,7190,12018,973,913,103,799,3298,5133,4208,4071,671,841,144
580,FinsburyPark,Evening,10507,3421,5750,1336,1525,15,284,1531,3143,1704,1863,150,223,68
580,FinsburyPark,Late,4527,1445,1991,1091,1108,0,32,679,1735,406,460,59,24,22
580,FinsburyPark,Totalday,56612,19137,31167,6308,6181,186,1882,8598,14987,10091,10921,1596,1601,569
581,FulhamBroadway,Early,289,0,0,289,289,0,0,0,0,0,0,0,0,0
581,FulhamBroadway,AMpeak,4550,1528,2531,492,491,4,214,582,1216,927,898,123,67,27
581,FulhamBroadway,Midday,3944,1633,2171,141,133,0,520,789,645,520,851,160,211,114
581,FulhamBroadway,PMPeak,4113,1905,2095,114,365,0,159,596,1699,480,508,123,108,75
581,FulhamBroadway,Evening,2597,959,1339,298,319,0,24,616,1016,364,196,51,10,0
581,FulhamBroadway,Late,907,124,366,418,418,0,1,285,164,1,24,0,14,0
581,FulhamBroadway,Totalday,16400,6148,8501,1751,2015,4,919,2868,4741,2292,2477,457,411,217
582,GantsHill,Early,74,0,6,68,68,0,0,6,0,0,0,0,0,0
582,GantsHill,AMpeak,783,307,298,178,173,0,0,43,198,69,197,88,0,14
582,GantsHill,Midday,1915,491,1192,231,150,0,35,428,113,219,735,90,39,105
582,GantsHill,PMPeak,4695,1972,2126,597,547,5,185,717,978,755,960,225,124,199
582,GantsHill,Evening,2625,980,1008,637,637,0,100,272,633,319,508,122,23,12
582,GantsHill,Late,928,311,221,397,397,0,50,85,168,68,160,0,0,0
582,GantsHill,Totalday,11019,4061,4851,2108,1972,5,370,1551,2092,1429,2559,525,186,331
583,GloucesterRoad,Early,401,0,0,401,401,0,0,0,0,0,0,0,0,0
583,GloucesterRoad,AMpeak,5031,1876,2538,617,614,76,116,619,1060,944,1249,258,72,23
583,GloucesterRoad,Midday,5928,2378,3028,522,446,0,373,847,919,813,1432,497,335,266
583,GloucesterRoad,PMPeak,4830,2417,1755,658,647,24,146,500,767,750,1342,247,317,88
583,GloucesterRoad,Evening,3077,1334,1693,49,61,8,15,190,1139,714,606,85,150,107
583,GloucesterRoad,Late,1606,496,671,440,453,0,18,226,233,107,360,147,38,25
583,GloucesterRoad,Totalday,20874,8502,9684,2687,2623,108,669,2383,4118,3329,4989,1234,911,509
584,GoldersGreen,Early,229,8,0,221,221,0,0,8,0,0,0,0,0,0
584,GoldersGreen,AMpeak,2081,818,1008,256,250,21,59,406,403,414,283,228,9,8
584,GoldersGreen,Midday,2849,878,1879,92,155,0,216,585,445,308,576,177,141,245
584,GoldersGreen,PMPeak,4304,1596,2593,115,146,1,275,1018,812,699,904,256,120,73
584,GoldersGreen,Evening,2863,1023,1627,214,198,0,136,443,725,625,582,50,52,52
584,GoldersGreen,Late,1454,421,638,394,395,0,0,187,409,258,108,85,9,2
584,GoldersGreen,Totalday,13781,4745,7745,1291,1365,22,687,2648,2794,2304,2453,797,331,380
585,GoldhawkRoad,Early,40,0,0,40,40,0,0,0,0,0,0,0,0,0
585,GoldhawkRoad,AMpeak,439,138,241,59,59,0,0,69,122,22,83,15,70,0
585,GoldhawkRoad,Midday,812,310,457,45,61,0,6,126,106,200,202,6,0,106
585,GoldhawkRoad,PMPeak,1018,187,702,128,73,0,0,111,325,114,330,53,0,12
585,GoldhawkRoad,Evening,627,152,405,70,67,4,0,21,259,127,142,0,6,0
585,GoldhawkRoad,Late,237,80,36,122,122,0,0,64,43,1,0,2,1,5
585,GoldhawkRoad,Totalday,3173,868,1842,464,422,4,6,391,854,464,756,75,77,123
586,GoodgeStreet,Early,296,0,0,295,295,0,0,0,0,0,0,0,0,0
586,GoodgeStreet,AMpeak,6939,2509,4065,364,302,0,54,1224,1841,1536,1305,430,210,36
586,GoodgeStreet,Midday,4541,2195,2155,191,158,0,394,1266,920,475,838,206,187,98
586,GoodgeStreet,PMPeak,2045,746,1247,51,78,0,43,275,551,337,551,102,74,34
586,GoodgeStreet,Evening,532,285,239,8,8,0,0,31,323,54,55,59,0,0
586,GoodgeStreet,Late,160,76,65,19,19,0,0,10,55,8,5,64,0,0
586,GoodgeStreet,Totalday,14512,5812,7771,929,860,0,490,2807,3690,2410,2754,862,472,168
587,GrangeHill,Early,0,0,0,0,0,0,0,0,0,0,0,0,0,0
587,GrangeHill,AMpeak,101,89,0,12,12,0,0,18,0,0,70,0,0,0
587,GrangeHill,Midday,139,72,56,11,11,0,2,8,3,9,29,1,0,75
587,GrangeHill,PMPeak,549,295,189,65,65,0,0,0,139,6,336,3,0,0
587,GrangeHill,Evening,251,175,33,43,43,0,0,0,25,15,167,1,0,0
587,GrangeHill,Late,91,0,0,91,91,0,0,0,0,0,0,0,0,0
587,GrangeHill,Totalday,1130,631,278,221,221,0,2,27,167,31,603,5,0,75
588,GreatPortlandStree,Early,358,0,1,357,357,0,0,0,0,0,1,0,0,0
588,GreatPortlandStree,AMpeak,7587,3329,3562,696,706,25,61,831,1681,1372,1588,341,445,536
588,GreatPortlandStree,Midday,4028,1933,1579,515,494,0,82,730,626,445,886,321,357,86
588,GreatPortlandStree,PMPeak,1851,912,829,110,177,0,47,26,588,255,406,195,124,32
588,GreatPortlandStree,Evening,710,307,380,24,2,22,20,19,220,205,208,0,0,14
588,GreatPortlandStree,Late,265,124,44,98,98,0,0,0,66,60,11,30,0,1
588,GreatPortlandStree,Totalday,14799,6605,6395,1800,1834,47,210,1606,3182,2338,3099,887,927,669
590,GreenPark,Early,2630,1,2,2627,2628,0,0,0,1,1,0,0,0,0
590,GreenPark,AMpeak,31099,12938,15947,2214,2089,10,295,3274,10072,5284,7123,1625,914,413
590,GreenPark,Midday,22361,11150,10212,999,1090,5,396,3224,3020,3592,5466,1754,2109,1705
590,GreenPark,PMPeak,9958,5127,4235,596,531,0,220,1419,1284,1206,2993,1023,795,486
590,GreenPark,Evening,3231,1678,1408,145,221,0,0,175,961,790,903,111,58,13
590,GreenPark,Late,980,470,221,290,281,0,0,73,378,107,40,78,0,23
590,GreenPark,Totalday,70259,31364,32024,6871,6841,16,911,8164,15716,10980,16525,4591,3877,2639
589,Greenford,Early,166,0,0,166,166,0,0,0,0,0,0,0,0,0
589,Greenford,AMpeak,842,346,278,218,238,0,7,146,126,112,150,61,0,2
589,Greenford,Midday,1266,449,727,90,91,25,14,271,324,221,137,12,1,170
589,Greenford,PMPeak,2945,972,1906,66,81,8,207,620,651,820,395,81,82,0
589,Greenford,Evening,1502,418,1026,58,29,0,50,156,200,582,468,4,0,14
589,Greenford,Late,618,143,340,134,134,0,0,58,164,111,136,0,5,10
589,Greenford,Totalday,7338,2329,4278,732,740,33,277,1251,1464,1845,1286,159,88,196
591,Gunnersbury,Early,123,0,0,123,123,0,0,0,0,0,0,0,0,0
591,Gunnersbury,AMpeak,1080,547,408,125,123,0,0,27,300,558,54,18,0,0
591,Gunnersbury,Midday,202,82,105,14,14,0,41,22,30,85,10,0,0,1
591,Gunnersbury,PMPeak,817,402,393,22,141,0,7,135,93,104,249,64,14,10
591,Gunnersbury,Evening,95,75,20,0,0,0,0,0,20,75,0,0,0,0
591,Gunnersbury,Late,169,89,21,60,60,0,0,9,65,0,28,4,4,0
591,Gunnersbury,Totalday,2486,1195,948,343,461,0,48,193,508,821,341,86,18,10
592,Hainault,Early,26,0,0,26,26,0,0,0,0,0,0,0,0,0
592,Hainault,AMpeak,380,120,177,83,72,61,0,20,64,48,50,40,26,0
592,Hainault,Midday,985,258,664,63,68,32,35,147,136,184,219,20,119,25
592,Hainault,PMPeak,2715,1096,1531,89,103,7,35,315,564,703,834,73,42,41
592,Hainault,Evening,1225,546,594,85,85,0,98,0,241,320,351,128,2,0
592,Hainault,Late,524,71,248,205,205,0,0,3,148,27,133,0,8,0
592,Hainault,Totalday,5855,2090,3213,552,559,101,168,485,1153,1281,1587,261,196,66
593,Hammersmith(Dis),Early,1065,0,0,1065,1065,0,0,0,0,0,0,0,0,0
593,Hammersmith(Dis),AMpeak,14667,5146,7434,2087,1944,124,304,1452,4292,2645,2630,921,275,81
593,Hammersmith(Dis),Midday,9497,4101,5145,251,353,19,686,1641,1768,1283,1929,817,521,480
593,Hammersmith(Dis),PMPeak,9609,3164,6123,322,280,17,434,2016,2479,1190,1990,639,417,148
593,Hammersmith(Dis),Evening,5661,2370,3031,259,275,0,90,1069,1783,1212,954,72,66,139
593,Hammersmith(Dis),Late,2745,853,1034,857,857,0,33,319,776,440,218,44,27,30
593,Hammersmith(Dis),Totalday,43245,15634,22768,4843,4774,161,1548,6497,11098,6769,7722,2492,1306,878
773,Hammersmith(H&C),Early,217,0,0,217,217,0,0,0,0,0,0,0,0,0
773,Hammersmith(H&C),AMpeak,3352,1138,2055,159,183,4,191,269,1227,473,639,269,96,0
773,Hammersmith(H&C),Midday,2716,1301,1348,67,136,0,69,299,524,343,810,284,127,126
773,Hammersmith(H&C),PMPeak,3107,1155,1919,33,34,18,141,564,875,496,712,120,68,79
773,Hammersmith(H&C),Evening,1552,704,745,103,96,0,24,276,486,148,445,64,6,8
773,Hammersmith(H&C),Late,589,186,178,225,225,0,0,211,62,58,10,7,13,3
773,Hammersmith(H&C),Totalday,11533,4484,6245,803,891,21,425,1619,3174,1518,2615,744,310,216
594,Hampstead,Early,108,0,1,107,107,0,0,0,0,0,1,0,0,0
594,Hampstead,AMpeak,1715,549,967,200,170,0,51,110,266,354,596,113,39,17
594,Hampstead,Midday,2038,564,1468,5,41,0,56,298,326,356,537,91,176,157
594,Hampstead,PMPeak,1666,709,956,0,0,0,14,561,380,247,129,189,36,110
594,Hampstead,Evening,1192,501,684,7,30,0,44,183,332,394,110,8,60,32
594,Hampstead,Late,508,214,145,149,149,0,0,13,97,58,130,0,14,48
594,Hampstead,Totalday,7228,2538,4222,468,496,0,166,1165,1401,1409,1503,402,323,363
595,HangerLane,Early,221,0,0,221,221,0,0,0,0,0,0,0,0,0
595,HangerLane,AMpeak,1740,733,758,249,242,0,13,165,662,385,196,76,0,0
595,HangerLane,Midday,1011,387,447,177,123,0,0,213,323,194,126,4,0,28
595,HangerLane,PMPeak,2036,1001,780,255,257,0,0,107,629,573,424,37,8,2
595,HangerLane,Evening,1203,469,497,237,237,0,0,51,321,186,319,64,25,0
595,HangerLane,Late,547,270,149,127,127,0,34,0,201,101,75,0,0,8
595,HangerLane,Totalday,6759,2860,2632,1267,1208,0,47,536,2136,1440,1139,181,34,38
596,Harlesden,Early,185,0,0,185,185,0,0,0,0,0,0,0,0,0
596,Harlesden,AMpeak,943,101,701,142,108,0,5,57,391,76,134,147,27,0
596,Harlesden,Midday,843,466,339,37,37,0,49,79,162,128,344,43,1,0
596,Harlesden,PMPeak,668,205,410,54,54,0,69,95,76,234,133,2,3,1
596,Harlesden,Evening,425,91,310,24,24,0,0,68,75,100,156,2,0,0
596,Harlesden,Late,272,83,71,119,107,13,0,31,51,31,39,0,0,1
596,Harlesden,Totalday,3336,945,1830,561,515,13,123,330,755,568,806,194,31,2
597,Harrow&Wealdstone,Early,89,0,0,89,89,0,0,0,0,0,0,0,0,0
597,Harrow&Wealdstone,AMpeak,1117,468,466,184,170,3,0,44,218,166,253,210,0,52
597,Harrow&Wealdstone,Midday,1196,609,546,40,23,0,63,269,262,186,237,82,1,73
597,Harrow&Wealdstone,PMPeak,2435,1162,1244,30,30,0,461,36,473,512,245,664,4,10
597,Harrow&Wealdstone,Evening,1058,390,614,54,54,0,0,0,423,352,203,24,0,1
597,Harrow&Wealdstone,Late,375,150,45,180,180,0,0,21,37,60,73,3,1,0
597,Harrow&Wealdstone,Totalday,6271,2779,2914,578,547,3,524,369,1414,1277,1012,983,6,136
598,Harrow-on-the-Hill,Early,226,0,3,223,223,0,3,0,0,0,0,0,0,0
598,Harrow-on-the-Hill,AMpeak,2828,1067,1391,369,306,10,83,326,632,346,539,158,270,159
598,Harrow-on-the-Hill,Midday,3763,1472,1745,546,571,0,207,569,411,165,772,271,328,468
598,Harrow-on-the-Hill,PMPeak,5027,1660,2981,386,370,98,503,711,1312,496,986,325,30,196
598,Harrow-on-the-Hill,Evening,2578,1081,1074,422,412,0,78,382,593,426,525,37,83,42
598,Harrow-on-the-Hill,Late,1316,229,336,751,769,0,38,29,251,70,151,7,0,1
598,Harrow-on-the-Hill,Totalday,15737,5509,7530,2698,2650,108,912,2016,3197,1503,2973,800,711,867
779,HattonCross,Early,246,0,0,246,246,0,0,0,0,0,0,0,0,0
779,HattonCross,AMpeak,1251,529,353,369,370,0,32,167,359,165,148,9,0,0
779,HattonCross,Midday,929,458,458,13,9,0,14,124,196,39,451,20,18,59
779,HattonCross,PMPeak,1226,530,674,22,62,0,6,179,108,261,380,148,0,82
779,HattonCross,Evening,788,609,178,0,23,0,0,61,372,175,135,0,21,0
779,HattonCross,Late,414,180,42,193,193,0,0,20,5,39,156,2,0,0
779,HattonCross,Totalday,4854,2306,1705,842,902,0,53,550,1039,680,1269,179,39,142
781,HeathrowTerminal4,Early,108,0,0,108,108,0,0,0,0,0,0,0,0,0
781,HeathrowTerminal4,AMpeak,432,214,116,102,102,0,0,69,93,83,69,8,0,7
781,HeathrowTerminal4,Midday,1012,603,368,40,21,0,0,168,329,75,312,0,21,86
