 RODS report3 created at 13:27:47 on 29-03-2017,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,
  All day,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
 PM Peak,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
1,391832,234932,120127,64102,26442,15755,3946,857135,
2,136116,96657,55649,31791,13100,6014,897,340223,
3,32054,25035,16126,9138,3470,1924,184,87930,
4,14868,14253,7550,4849,5030,1768,119,48436,
5,6086,4340,2084,3905,1387,1865,261,19928,
6,4566,3169,2168,2617,2618,2846,301,18285,
7,790,303,25,341,465,224,374,2522,
Total,586312,378688,203728,116742,52512,30395,6081,1374459,
Percentages,,,,,,,,,
1,28.51%,17.09%,8.74%,4.66%,1.92%,1.15%,0.29%,62.36%,
2,9.90%,7.03%,4.05%,2.31%,0.95%,0.44%,0.07%,24.75%,
3,2.33%,1.82%,1.17%,0.66%,0.25%,0.14%,0.01%,6.40%,
4,1.08%,1.04%,0.55%,0.35%,0.37%,0.13%,0.01%,3.52%,
5,0.44%,0.32%,0.15%,0.28%,0.10%,0.14%,0.02%,1.45%,
6,0.33%,0.23%,0.16%,0.19%,0.19%,0.21%,0.02%,1.33%,
7,0.06%,0.02%,0.00%,0.02%,0.03%,0.02%,0.03%,0.18%,
Total,42.66%,27.55%,14.82%,8.49%,3.82%,2.21%,0.44%,100.00%,
,1,2,3,4/5/6/7,,,,,
1,28.51%,,,,,,,,
2,27.00%,7.03%,,,,,,,
3,11.07%,5.87%,1.17%,,,,,,
4/5/6/7,9.94%,5.37%,1.93%,2.11%,,,,,
,76.51%,18.28%,3.10%,2.11%,100.00%,,,,
 Evening,,,,,,,,,
Zone,1,2,3,4,5,6,7,Total,
1,144455,130983,59188,24231,9929,5256,1554,375597,
2,43653,46300,24437,11681,5352,1785,257,133463,
3,10280,10246,5801,3305,1000,333,12,30978,
4,3905,5155,2264,2221,2428,1028,28,17029,
5,1277,1332,567,1313,630,638,123,5880,
6,1218,1554,882,1442,1123,448,34,6700,
7,31,130,32,44,54,52,152,495,
Total,204818,195700,93171,44237,20515,9540,2160,570141,
Percentages,,,,,,,,,
1,25.34%,22.97%,10.38%,4.25%,1.74%,0.92%,0.27%,65.88%,
2,7.66%,8.12%,4.29%,2.05%,0.94%,0.31%,0.05%,23.41%,
3,1.80%,1.80%,1.02%,0.58%,0.18%,0.06%,0.00%,5.43%,
4,0.68%,0.90%,0.40%,0.39%,0.43%,0.18%,0.00%,2.99%,
5,0.22%,0.23%,0.10%,0.23%,0.11%,0.11%,0.02%,1.03%,
6,0.21%,0.27%,0.15%,0.25%,0.20%,0.08%,0.01%,1.18%,
