NLC,Station,Time period,Ticket Type,Total passengers,Total passenger kilometres,Average journey length (kms),
773,Hammersmith (H&C),Total day,  Total all types,13618,118443.1,8.7,
594,Hampstead, ,Total day,  Total all types,6904,59399.25,8.6,
595,Hanger Lane, ,Total day,  Total all types,6344,84774.23,13.36,
596,Harlesden, ,Total day,  Total all types,4100,39158.57,9.55,
597,Harrow & Wealdstone ,Total day,  Total all types,5458,89978.66,16.49,
598,Harrow-on-the-Hill  ,Total day,  Total all types,15920,212865.23,13.37,
779,Hatton Cross,,Total day,  Total all types,5066,89294.26,17.63,
781,Heathrow Terminal 4 ,Total day,  Total all types,3208,82408.61,25.69,
783,Heathrow Terminal 5 ,Total day,  Total all types,6479,165655.11,25.57,
780,Heathrow Terminals 1,Total day,  Total all types,11047,257953.91,23.35,
601,Hendon Central,Total day,  Total all types,13791,174595.19,12.66,
602,High Barnet, ,Total day,  Total all types,6158,108403.71,17.6,
605,High Street Kensingt,Total day,  Total all types,16825,139084.63,8.27,
603,Highbury & Islington,Total day,  Total all types,67961,487990.13,7.18,
604,Highgate,  ,Total day,  Total all types,9244,90912.23,9.83,
606,Hillingdon,,Total day,  Total all types,3060,68141.58,22.27,
607,Holborn,,Total day,  Total all types,51535,394614.16,7.66,
608,Holland Park,,Total day,  Total all types,5082,45333.23,8.92,
609,Holloway Road ,Total day,  Total all types,10606,81001.04,7.64,
610,Hornchurch,,Total day,  Total all types,3451,69943.75,20.27,
611,Hounslow Central ,Total day,  Total all types,5980,105960.75,17.72,
612,Hounslow East ,Total day,  Total all types,5780,76789.25,13.29,
613,Hounslow West ,Total day,  Total all types,5470,89658.1,16.39,
614,Hyde Park Corner ,Total day,  Total all types,8668,71075.56,8.2,
615,Ickenham,  ,Total day,  Total all types,1908,34623.45,18.15,
616,Kennington,,Total day,  Total all types,9019,58953.79,6.54,
617,Kensal Green,,Total day,  Total all types,3471,33508.05,9.65,
619,Kentish Town,,Total day,  Total all types,14052,102252.68,7.28,
620,Kenton, ,Total day,  Total all types,2447,24316.24,9.94,
621,Kew Gardens, ,Total day,  Total all types,5249,59536.37,11.34,
622,Kilburn,,Total day,  Total all types,13284,137833.89,10.38,
623,Kilburn Park,,Total day,  Total all types,5230,44813.79,8.57,
625,King's Cross St. Pan,Total day,  Total all types,145433,953972.63,6.56,
624,Kingsbury, ,Total day,  Total all types,8318,125528.49,15.09,
626,Knightsbridge ,Total day,  Total all types,27407,218248.73,7.96,
627,Ladbroke Grove,Total day,  Total all types,9029,75087.94,8.32,
628,Lambeth North ,Total day,  Total all types,5273,41456.6,7.86,
629,Lancaster Gate,Total day,  Total all types,10889,73179.38,6.72,
630,Latimer Road,,Total day,  Total all types,4415,40326.76,9.13,
631,Leicester Square ,Total day,  Total all types,51290,357647.16,6.97,
632,Leyton, ,Total day,  Total all types,21677,225366.33,10.4,
633,Leytonstone, ,Total day,  Total all types,17790,198337.45,11.15,
634,Liverpool Street ,Total day,  Total all types,113721,841038.75,7.4,
635,London Bridge ,Total day,  Total all types,117257,860267.94,7.34,
636,Loughton,  ,Total day,  Total all types,5600,109609.22,19.57,
637,Maida Vale,,Total day,  Total all types,5525,44502.32,8.06,
638,Manor House, ,Total day,  Total all types,14182,143008.66,10.08,
639,Mansion House ,Total day,  Total all types,11297,87294.17,7.73,
640,Marble Arch, ,Total day,  Total all types,21523,166654.22,7.74,
641,Marylebone,,Total day,  Total all types,20013,122492.94,6.12,
642,Mile End,  ,Total day,  Total all types,24926,196691.3,7.89,
643,Mill Hill East,Total day,  Total all types,2306,30587.17,13.27,
646,Moor Park, ,Total day,  Total all types,1666,37810.82,22.69,
645,Moorgate,  ,Total day,  Total all types,53794,394508.59,7.33,
647,Morden, ,Total day,  Total all types,16387,229003.41,13.97,
648,Mornington Crescent ,Total day,  Total all types,7739,58647.1,7.58,
649,Neasden,,Total day,  Total all types,6241,75274.08,12.06,
650,Newbury Park,,Total day,  Total all types,8720,152277.02,17.46,
653,North Acton, ,Total day,  Total all types,10764,115606.09,10.74,
654,North Ealing,,Total day,  Total all types,1579,16460.72,10.42,
789,North Greenwich  ,Total day,  Total all types,38588,369607.59,9.58,
656,North Harrow,,Total day,  Total all types,3313,57108.67,17.24,
659,North Wembley ,Total day,  Total all types,2461,21879.56,8.89,
655,Northfields, ,Total day,  Total all types,6279,82052.49,13.07,
657,Northolt,  ,Total day,  Total all types,8292,128008.58,15.44,
660,Northwick Park,Total day,  Total all types,7660,113424.25,14.81,
661,Northwood, ,Total day,  Total all types,4223,85370.79,20.21,
662,Northwood Hills  ,Total day,  Total all types,3022,60741.87,20.1,
663,Notting Hill Gate,Total day,  Total all types,24492,202334.48,8.26,
