 NLC,Station name,Journey Purpose,Total,Not Stated    ,5 or more days per week,1-4 days per week   ,Once a fortnight    ,Once a month  ,Less than once a month,First Time Ever
743,Wanstead,Shop    ,145,12,1,69,7,5,25,27
743,Wanstead,Education     ,331,20,154,158,0,0,0,0
743,Wanstead,Tourist ,81,0,0,53,0,0,23,5
743,Wanstead,Hotel   ,88,0,1,24,1,0,18,43
743,Wanstead,Other   ,560,0,14,273,42,64,95,71
743,Wanstead,Unknown/Not Given   ,325,291,16,14,1,0,0,3
745,Warren Street ,Home    ,22627,215,11349,6066,975,1351,1820,850
745,Warren Street ,Work    ,2314,8,668,642,145,103,348,399
745,Warren Street ,Shop    ,1251,24,34,180,316,159,307,232
745,Warren Street ,Education     ,653,0,94,310,16,20,133,80
745,Warren Street ,Tourist ,194,0,0,0,74,0,107,13
745,Warren Street ,Hotel   ,1497,103,603,161,170,0,193,267
745,Warren Street ,Other   ,3328,46,69,569,300,371,790,1182
745,Warren Street ,Unknown/Not Given   ,3215,2832,103,160,30,8,82,0
746,Warwick Avenue,Home    ,1850,26,897,573,50,49,158,97
746,Warwick Avenue,Work    ,3039,5,1711,693,101,80,225,225
746,Warwick Avenue,Shop    ,167,0,20,60,45,11,26,4
746,Warwick Avenue,Education     ,254,0,126,117,8,0,3,0
746,Warwick Avenue,Tourist ,3,0,0,0,1,0,2,1
746,Warwick Avenue,Hotel   ,2,0,0,0,0,0,0,2
746,Warwick Avenue,Other   ,1212,4,73,384,175,121,248,207
746,Warwick Avenue,Unknown/Not Given   ,647,647,0,0,0,0,0,0
747,Waterloo,Home    ,33368,291,13346,9636,1644,2766,3346,2339
747,Waterloo,Work    ,66123,416,37296,16547,2548,1476,4411,3429
747,Waterloo,Shop    ,1800,1,108,331,251,137,475,498
747,Waterloo,Education     ,2699,19,1151,1201,112,34,66,114
747,Waterloo,Tourist ,2510,76,0,0,5,241,944,1244
747,Waterloo,Hotel   ,5203,28,45,1221,105,348,2159,1297
747,Waterloo,Other   ,19241,387,921,2772,1686,2468,7092,3915
747,Waterloo,Unknown/Not Given   ,14170,10049,807,789,458,249,923,895
748,Watford ,Home    ,721,112,383,92,5,57,9,62
748,Watford ,Work    ,1172,69,716,240,11,13,82,42
748,Watford ,Shop    ,18,0,0,0,0,0,18,0
748,Watford ,Education     ,164,6,135,23,0,0,0,0
748,Watford ,Tourist ,15,0,0,0,0,7,3,4
748,Watford ,Other   ,358,3,0,40,8,81,91,135
748,Watford ,Unknown/Not Given   ,782,780,2,0,0,0,0,0
751,Wembley Central     ,Home    ,1077,38,637,207,126,12,9,49
751,Wembley Central     ,Work    ,2439,29,1561,513,7,143,50,138
751,Wembley Central     ,Shop    ,71,4,0,25,8,3,30,0
751,Wembley Central     ,Education     ,392,2,128,118,0,81,0,63
751,Wembley Central     ,Tourist ,44,0,0,44,0,0,0,0
751,Wembley Central     ,Other   ,892,118,163,126,55,27,45,359
751,Wembley Central     ,Unknown/Not Given   ,1388,1237,93,24,0,0,34,0
752,Wembley Park  ,Home    ,4168,118,2120,843,116,117,380,475
752,Wembley Park  ,Work    ,6304,115,4219,1246,99,197,304,123
752,Wembley Park  ,Shop    ,441,104,0,99,73,107,59,0
752,Wembley Park  ,Education     ,2356,4,1146,991,95,0,0,121
752,Wembley Park  ,Tourist ,204,0,0,0,159,31,0,14
752,Wembley Park  ,Hotel   ,43,0,0,0,0,0,0,43
752,Wembley Park  ,Other   ,2580,140,216,412,220,339,892,360
752,Wembley Park  ,Unknown/Not Given   ,6995,6886,98,0,0,0,6,5
753,West Acton    ,Home    ,522,0,380,61,13,0,26,42
753,West Acton    ,Work    ,1326,12,989,154,89,46,4,31
753,West Acton    ,Shop    ,81,0,14,15,45,2,6,0
753,West Acton    ,Education     ,107,0,32,56,0,19,0,0
753,West Acton    ,Other   ,393,0,179,95,26,24,7,63
753,West Acton    ,Unknown/Not Given   ,384,384,0,0,0,0,0,0
755,West Brompton ,Home    ,2655,0,1350,518,3,156,407,221
755,West Brompton ,Work    ,1717,4,873,374,22,0,179,265
755,West Brompton ,Shop    ,153,0,12,0,24,0,15,102
755,West Brompton ,Education     ,206,71,42,54,0,26,0,12
755,West Brompton ,Tourist ,150,0,0,0,0,0,71,79
755,West Brompton ,Hotel   ,219,0,0,0,0,0,0,219
755,West Brompton ,Other   ,384,0,1,121,60,0,116,86
755,West Brompton ,Unknown/Not Given   ,982,885,97,0,0,0,0,0
756,West Finchley ,Home    ,210,3,90,97,20,0,0,0
756,West Finchley ,Work    ,1754,15,1175,428,17,13,83,23
756,West Finchley ,Shop    ,56,0,34,15,0,0,6,0
756,West Finchley ,Education     ,141,1,49,68,0,1,22,0
756,West Finchley ,Tourist ,35,0,0,0,23,0,9,4
756,West Finchley ,Hotel   ,31,0,0,17,0,0,14,0
756,West Finchley ,Other   ,375,0,33,101,61,7,135,37
756,West Finchley ,Unknown/Not Given   ,228,225,2,1,0,0,0,0
757,West Ham,Home    ,2388,41,1286,742,86,17,63,152
757,West Ham,Work    ,6563,134,4913,1195,16,188,18,100
757,West Ham,Shop    ,344,0,0,161,13,14,82,75
757,West Ham,Education     ,750,47,151,518,13,0,15,6
757,West Ham,Tourist ,1,0,0,0,0,0,1,0
757,West Ham,Hotel   ,30,0,0,0,0,0,30,0
757,West Ham,Other   ,1415,82,31,487,240,64,133,378
757,West Ham,Unknown/Not Given   ,2484,2395,84,0,5,0,0,0
758,West Hampstead,Home    ,2892,0,1405,524,118,314,277,254
758,West Hampstead,Work    ,8710,125,5312,2226,397,116,364,169
758,West Hampstead,Shop    ,598,81,5,199,90,85,60,78
758,West Hampstead,Education     ,834,0,74,700,28,0,0,30
758,West Hampstead,Hotel   ,38,0,0,0,0,0,19,19
758,West Hampstead,Other   ,2445,115,57,934,108,276,578,377
758,West Hampstead,Unknown/Not Given   ,2197,2101,94,0,0,0,0,2
759,West Harrow   ,Home    ,133,3,24,39,34,4,6,22
759,West Harrow   ,Work    ,1133,23,868,172,9,18,38,4
759,West Harrow   ,Shop    ,61,0,9,46,1,4,1,0
759,West Harrow   ,Education     ,135,0,69,62,0,0,4,0
759,West Harrow   ,Tourist ,3,0,0,0,0,0,0,3
759,West Harrow   ,Hotel   ,18,0,11,4,0,0,3,1
759,West Harrow   ,Other   ,311,7,12,46,64,38,114,30
759,West Harrow   ,Unknown/Not Given   ,439,412,26,2,0,0,0,0
760,West Kensington     ,Home    ,1619,45,879,335,35,0,102,223
760,West Kensington     ,Work    ,3069,0,2274,329,166,15,116,170
760,West Kensington     ,Shop    ,247,0,0,57,88,0,69,33
760,West Kensington     ,Education     ,342,0,141,124,78,0,0,0
760,West Kensington     ,Tourist ,88,0,0,0,0,0,5,83
760,West Kensington     ,Hotel   ,277,38,0,0,239,0,0,0
760,West Kensington     ,Other   ,1212,3,152,588,78,8,190,194
760,West Kensington     ,Unknown/Not Given   ,1161,1057,4,0,43,0,0,55
762,West Ruislip  ,Home    ,269,0,78,56,90,0,12,34
762,West Ruislip  ,Work    ,1254,36,783,315,37,2,36,46
762,West Ruislip  ,Shop    ,227,65,0,4,1,11,26,120
762,West Ruislip  ,Education     ,29,0,26,2,0,0,0,0
762,West Ruislip  ,Tourist ,6,0,0,0,0,6,0,0
762,West Ruislip  ,Other   ,198,0,0,17,53,88,26,13
762,West Ruislip  ,Unknown/Not Given   ,420,418,0,1,0,0,0,0
754,Westbourne Park     ,Home    ,2158,90,1243,504,72,53,143,51
754,Westbourne Park     ,Work    ,2792,94,1547,551,32,75,241,253
754,Westbourne Park     ,Shop    ,97,0,48,1,0,0,38,10
754,Westbourne Park     ,Education     ,275,24,144,75,0,0,33,0
754,Westbourne Park     ,Tourist ,51,0,0,0,0,0,0,51
754,Westbourne Park     ,Hotel   ,0,0,0,0,0,0,0,0
754,Westbourne Park     ,Other   ,910,2,24,248,76,217,127,217
754,Westbourne Park     ,Unknown/Not Given   ,463,441,17,5,0,0,0,1
761,Westminster   ,Home    ,19774,339,9250,3836,672,769,2318,2590
761,Westminster   ,Work    ,5121,112,945,689,671,258,1422,1025
761,Westminster   ,Shop    ,1393,10,11,77,217,48,572,457
761,Westminster   ,Education     ,748,0,106,338,0,15,205,84
761,Westminster   ,Tourist ,1854,99,0,0,0,197,295,1263
761,Westminster   ,Hotel   ,1278,13,173,139,0,0,158,794
761,Westminster   ,Other   ,5894,45,131,981,476,932,1116,2214
761,Westminster   ,Unknown/Not Given   ,5907,5644,190,32,0,0,1,39
764,White City    ,Home    ,8322,12,5499,2087,121,44,387,172
764,White City    ,Work    ,2846,113,1542,590,126,66,219,189
764,White City    ,Shop    ,112,0,43,26,9,18,12,3
764,White City    ,Education     ,601,0,279,305,1,0,8,8
764,White City    ,Tourist ,48,0,0,0,0,1,13,34
764,White City    ,Hotel   ,243,0,15,138,0,0,4,86
764,White City    ,Other   ,1186,26,95,247,258,63,281,216
764,White City    ,Unknown/Not Given   ,1138,496,414,177,0,0,7,43
763,Whitechapel   ,Home    ,15994,77,7684,4744,146,327,1610,1405
763,Whitechapel   ,Work    ,8817,184,4868,2507,228,145,436,450
763,Whitechapel   ,Shop    ,765,26,3,110,4,32,246,344
763,Whitechapel   ,Education     ,1946,40,1119,648,5,15,13,106
763,Whitechapel   ,Tourist ,31,0,2,0,0,10,0,18
763,Whitechapel   ,Hotel   ,246,0,110,0,0,0,0,136
763,Whitechapel   ,Other   ,6428,1,309,1571,990,224,1393,1940
763,Whitechapel   ,Unknown/Not Given   ,5111,4686,304,20,0,9,6,86
765,Willesden Green     ,Home    ,1130,16,366,398,82,126,63,79
765,Willesden Green     ,Work    ,7217,125,5421,1127,204,59,201,79
765,Willesden Green     ,Shop    ,289,7,0,26,110,45,39,62
765,Willesden Green     ,Education     ,1348,9,817,457,0,0,25,39
765,Willesden Green     ,Tourist ,111,0,0,0,0,87,8,15
765,Willesden Green     ,Hotel   ,21,0,0,0,0,0,0,21
765,Willesden Green     ,Other   ,1967,24,133,534,98,190,705,284
765,Willesden Green     ,Unknown/Not Given   ,2097,1961,86,28,9,0,14,0
766,Willesden Junction  ,Home    ,3942,133,2691,814,86,3,117,99
766,Willesden Junction  ,Work    ,3992,26,2396,755,119,203,196,298
766,Willesden Junction  ,Shop    ,121,0,23,12,0,0,76,9
766,Willesden Junction  ,Education     ,166,1,86,74,0,5,0,0
766,Willesden Junction  ,Tourist ,122,0,46,15,0,0,44,17
766,Willesden Junction  ,Hotel   ,368,0,4,47,33,89,194,1
766,Willesden Junction  ,Other   ,1104,3,49,229,85,61,474,204
766,Willesden Junction  ,Unknown/Not Given   ,1437,848,202,232,100,0,0,56
767,Wimbledon     ,Home    ,4841,151,2321,1146,181,77,546,419
767,Wimbledon     ,Work    ,7253,50,4728,1564,223,89,263,335
767,Wimbledon     ,Shop    ,328,0,16,59,12,25,188,28
767,Wimbledon     ,Education     ,1180,5,549,377,65,63,1,121
767,Wimbledon     ,Tourist ,103,0,0,24,29,0,18,33
767,Wimbledon     ,Hotel   ,134,0,0,0,11,0,9,114
767,Wimbledon     ,Other   ,2865,24,279,614,186,231,761,770
767,Wimbledon     ,Unknown/Not Given   ,2214,2048,101,64,0,0,0,1
768,Wimbledon Park,Home    ,468,0,152,113,29,32,93,48
768,Wimbledon Park,Work    ,1489,14,769,524,26,18,33,106
768,Wimbledon Park,Shop    ,184,0,1,87,5,89,2,0
768,Wimbledon Park,Education     ,97,0,62,35,0,0,0,0
768,Wimbledon Park,Tourist ,45,0,0,8,5,0,0,32
768,Wimbledon Park,Hotel   ,96,0,31,36,3,15,10,0
768,Wimbledon Park,Other   ,564,0,35,81,82,28,270,67
768,Wimbledon Park,Unknown/Not Given   ,285,214,28,41,0,0,2,0
770,Wood Green    ,Home    ,2601,7,1387,779,79,113,119,117
770,Wood Green    ,Work    ,8315,129,5864,1427,113,77,433,272
770,Wood Green    ,Shop    ,592,0,3,240,60,47,136,106
770,Wood Green    ,Education     ,1948,3,834,896,3,134,50,28
770,Wood Green    ,Hotel   ,4,0,0,0,0,0,0,4
770,Wood Green    ,Other   ,2472,78,85,608,565,267,416,453
770,Wood Green    ,Unknown/Not Given   ,4467,4038,297,104,0,3,1,24
599,Wood Lane     ,Home    ,1886,13,1040,267,109,110,78,268
599,Wood Lane     ,Work    ,932,0,496,196,103,48,6,84
599,Wood Lane     ,Shop    ,211,0,0,0,46,2,0,162
599,Wood Lane     ,Education     ,95,0,31,64,0,0,0,0
599,Wood Lane     ,Other   ,863,0,0,210,15,0,205,432
599,Wood Lane     ,Unknown/Not Given   ,805,732,0,0,0,0,23,51
769,Woodford,Home    ,496,3,118,190,74,20,39,52
769,Woodford,Work    ,4865,46,3145,1303,78,48,126,119
769,Woodford,Shop    ,396,32,0,80,107,80,49,48
769,Woodford,Education     ,369,41,201,78,0,2,44,2
769,Woodford,Tourist ,76,0,0,34,12,13,0,18
769,Woodford,Hotel   ,128,4,0,16,33,10,65,0
769,Woodford,Other   ,1429,7,76,315,360,109,384,178
769,Woodford,Unknown/Not Given   ,1416,1227,4,16,77,0,92,0
771,Woodside Park ,Home    ,473,0,319,104,0,28,15,9
771,Woodside Park ,Work    ,2717,17,1841,526,62,118,87,66
771,Woodside Park ,Shop    ,40,0,0,14,0,3,24,0
771,Woodside Park ,Education     ,135,0,15,99,0,0,19,3
771,Woodside Park ,Other   ,883,35,37,76,39,184,270,241
771,Woodside Park ,Unknown/Not Given   ,587,553,0,16,0,0,18,0
 ,,,,,,,,,,
 ,,,,,,,,,,
 Analysis by journey frequency and journey purpose,,,,,,,,,,
,,,Total,Not Stated    ,5 or more days per w,1-4 days per week   ,Once a fortnight    ,Once a month  ,Less than once a mon,First Time Ever
zone 1,Early ,Home    ,220,0,69,150,0,0,0,0
zone 1,Early ,Work    ,584,3,408,103,41,4,10,15
zone 1,Early ,Education     ,2,0,0,0,0,2,0,0
zone 1,Early ,Hotel   ,4,0,0,4,0,0,0,0
zone 1,Early ,Other   ,39,2,4,7,3,0,0,23
zone 1,Early ,Unknown/Not Given   ,38414,38381,34,0,0,0,0,0
zone 1,AM peak     ,Home    ,25941,366,11745,6543,1147,1549,3315,1277
zone 1,AM peak     ,Work    ,362616,3572,219810,83767,12402,9340,18484,15241
zone 1,AM peak     ,Shop    ,2307,38,65,265,242,227,887,584
zone 1,AM peak     ,Education     ,16167,314,7663,6876,201,62,492,558
zone 1,AM peak     ,Tourist ,3190,55,58,156,22,24,863,2012
zone 1,AM peak     ,Hotel   ,1641,0,208,99,25,679,431,200
zone 1,AM peak     ,Other   ,23787,672,2150,4172,2221,1893,5926,6753
zone 1,AM peak     ,Unknown/Not Given   ,14456,6170,4923,1432,355,162,577,836
zone 1,Midday,Home    ,183897,2688,47301,46119,12819,13148,38849,22971
zone 1,Midday,Work    ,154101,2134,22888,39275,15678,13453,31648,29025
zone 1,Midday,Shop    ,42033,870,1364,4666,5660,4257,13593,11624
zone 1,Midday,Education     ,34521,476,11191,16791,1006,983,1768,2307
zone 1,Midday,Tourist ,24476,404,349,1028,437,1035,5463,15760
zone 1,Midday,Hotel   ,22399,350,1067,2465,1462,1235,6861,8959
zone 1,Midday,Other   ,142992,4229,4183,17195,11743,13742,47366,44533
zone 1,Midday,Unknown/Not Given   ,56856,42826,1951,3253,1089,1569,3589,2578
zone 1,PM Peak     ,Home    ,518216,5250,299201,116447,16930,13976,41595,24817
zone 1,PM Peak     ,Work    ,46689,359,12679,9340,4013,3624,8020,8654
zone 1,PM Peak     ,Shop    ,17440,658,1325,2612,3431,1358,4970,3086
zone 1,PM Peak     ,Education     ,17550,317,3551,8870,327,662,1410,2413
zone 1,PM Peak     ,Tourist ,5266,184,121,292,302,362,1485,2521
zone 1,PM Peak     ,Hotel   ,31760,290,2751,6513,1733,2157,7887,10428
zone 1,PM Peak     ,Other   ,135661,2410,9964,26043,13764,13534,35710,34236
zone 1,PM Peak     ,Unknown/Not Given   ,84554,68301,8417,2506,960,416,1782,2172
zone 1,Evening     ,Home    ,281634,3243,131421,70654,14994,14294,29316,17712
zone 1,Evening     ,Work    ,12118,195,6007,3014,411,608,1046,837
zone 1,Evening     ,Shop    ,2585,46,245,661,284,250,720,378
zone 1,Evening     ,Education     ,2137,7,888,986,98,5,42,111
zone 1,Evening     ,Tourist ,424,29,1,41,2,30,12,310
zone 1,Evening     ,Hotel   ,9230,141,449,1340,832,463,2581,3424
zone 1,Evening     ,Other   ,33188,751,2362,7085,4349,3027,8519,7095
zone 1,Evening     ,Unknown/Not Given   ,34282,29659,2369,745,350,258,452,448
zone 1,Late  ,Home    ,87512,1026,25449,20389,8931,6979,15331,9407
zone 1,Late  ,Work    ,3111,51,1903,297,132,67,234,428
zone 1,Late  ,Shop    ,66,0,0,25,22,0,0,19
zone 1,Late  ,Education     ,317,0,16,173,31,0,20,78
zone 1,Late  ,Tourist ,510,0,0,0,0,1,83,426
zone 1,Late  ,Hotel   ,4212,94,335,701,76,55,928,2024
zone 1,Late  ,Other   ,4460,54,465,651,586,545,863,1296
zone 1,Late  ,Unknown/Not Given   ,56250,55118,413,269,268,43,69,71
zone 1,   Total day,Home    ,1097419,12573,515186,260303,54820,49945,128407,76185
zone 1,   Total day,Work    ,579218,6313,263694,135796,32677,27095,59442,54199
zone 1,   Total day,Shop    ,64430,1612,2999,8228,9638,6092,20170,15690
zone 1,   Total day,Education     ,70695,1114,23310,33695,1662,1715,3732,5467
zone 1,   Total day,Tourist ,33865,672,529,1517,763,1451,7906,21029
zone 1,   Total day,Hotel   ,69246,875,4810,11121,4128,4589,18688,25035
zone 1,   Total day,Other   ,340126,8117,19128,55153,32667,32741,98384,93936
zone 1,   Total day,Unknown/Not Given   ,284812,240454,18106,8204,3023,2449,6470,6105
zone 2,Early ,Home    ,171,0,171,0,0,0,0,0
zone 2,Early ,Work    ,1311,37,1156,74,6,4,3,32
zone 2,Early ,Education     ,0,0,0,0,0,0,0,0
zone 2,Early ,Other   ,13,0,5,2,2,0,4,0
zone 2,Early ,Unknown/Not Given   ,53368,53316,53,0,0,0,0,0
zone 2,AM peak     ,Home    ,8066,260,4569,1719,462,399,271,387
zone 2,AM peak     ,Work    ,338444,3904,239032,69126,6443,3646,7735,8558
zone 2,AM peak     ,Shop    ,2552,138,166,682,373,191,849,154
zone 2,AM peak     ,Education     ,17934,208,10311,6701,154,44,281,236
zone 2,AM peak     ,Tourist ,1488,55,204,74,12,153,342,649
zone 2,AM peak     ,Hotel   ,732,0,31,315,59,74,221,33
zone 2,AM peak     ,Other   ,17334,542,1702,4589,1248,1112,4784,3356
zone 2,AM peak     ,Unknown/Not Given   ,19316,14472,3747,693,138,123,48,95
zone 2,Midday,Home    ,63430,1567,22539,16529,4391,3452,8019,6933
zone 2,Midday,Work    ,88973,1589,31657,23162,6441,4517,10240,11367
zone 2,Midday,Shop    ,24400,597,2004,4193,3343,3636,6645,3981
zone 2,Midday,Education     ,27675,451,11769,12262,658,288,940,1308
zone 2,Midday,Tourist ,5899,117,247,544,94,271,1878,2748
zone 2,Midday,Hotel   ,3575,224,19,873,431,139,980,910
zone 2,Midday,Other   ,67687,1567,3786,14448,7525,7619,16372,16371
zone 2,Midday,Unknown/Not Given   ,29347,22652,2427,1596,489,559,901,723
zone 2,PM Peak     ,Home    ,177899,1684,112863,36589,4434,3404,10588,8337
zone 2,PM Peak     ,Work    ,25666,904,9603,7786,965,1044,2409,2956
zone 2,PM Peak     ,Shop    ,8223,163,184,1779,1625,887,1351,2235
zone 2,PM Peak     ,Education     ,7503,87,1840,4091,83,51,293,1056
zone 2,PM Peak     ,Tourist ,769,34,143,1,0,43,65,483
zone 2,PM Peak     ,Hotel   ,4563,52,341,1059,293,316,913,1590
zone 2,PM Peak     ,Other   ,62624,945,3522,15288,7406,5932,16666,12865
zone 2,PM Peak     ,Unknown/Not Given   ,52977,46548,3021,2375,282,169,299,282
zone 2,Evening     ,Home    ,84903,1540,38834,24161,5201,3123,6350,5695
zone 2,Evening     ,Work    ,9652,268,6079,2590,156,113,257,190
zone 2,Evening     ,Shop    ,1335,2,84,397,427,125,41,260
zone 2,Evening     ,Education     ,1085,7,503,453,0,50,27,44
zone 2,Evening     ,Tourist ,114,0,0,2,1,1,13,97
zone 2,Evening     ,Hotel   ,1645,8,60,414,228,146,262,527
zone 2,Evening     ,Other   ,19444,314,666,5336,2787,1363,4585,4393
zone 2,Evening     ,Unknown/Not Given   ,15285,13846,612,422,148,50,41,166
zone 2,Late  ,Home    ,28113,347,8068,6023,1984,1237,5207,5248
zone 2,Late  ,Work    ,2610,335,1767,431,16,7,19,36
zone 2,Late  ,Shop    ,179,0,0,47,54,47,14,17
zone 2,Late  ,Education     ,364,0,284,26,0,0,1,53
zone 2,Late  ,Tourist ,95,0,0,0,0,1,0,94
zone 2,Late  ,Hotel   ,915,36,56,114,0,0,225,484
zone 2,Late  ,Other   ,2818,111,153,1243,429,227,329,326
zone 2,Late  ,Unknown/Not Given   ,22231,21818,162,60,102,0,59,30
zone 2,   Total day,Home    ,362583,5398,187044,85021,16472,11615,30433,26599
zone 2,   Total day,Work    ,466656,7036,289294,103169,14025,9331,20663,23138
zone 2,   Total day,Shop    ,36688,900,2438,7097,5822,4886,8899,6647
zone 2,   Total day,Education     ,54562,753,24708,23532,894,434,1542,2698
zone 2,   Total day,Tourist ,8366,207,595,620,106,469,2298,4070
zone 2,   Total day,Hotel   ,11431,319,507,2775,1011,675,2601,3542
zone 2,   Total day,Other   ,169920,3479,9834,40906,19397,16253,42740,37311
zone 2,   Total day,Unknown/Not Given   ,192524,172650,10021,5147,1160,902,1347,1296
zone 3,Early ,Home    ,11,3,7,1,0,0,0,0
zone 3,Early ,Work    ,729,12,607,60,17,10,0,22
zone 3,Early ,Education     ,27,0,2,25,0,0,0,0
zone 3,Early ,Other   ,38,0,6,32,0,0,0,0
zone 3,Early ,Unknown/Not Given   ,52354,52313,41,0,0,0,0,0
zone 3,AM peak     ,Home    ,3064,15,1052,1197,34,109,425,232
zone 3,AM peak     ,Work    ,175420,2541,126027,35395,2558,1648,4259,2992
zone 3,AM peak     ,Shop    ,1009,24,131,195,200,166,204,88
zone 3,AM peak     ,Education     ,10684,211,6153,3958,87,29,124,123
zone 3,AM peak     ,Tourist ,984,64,48,152,8,87,324,302
zone 3,AM peak     ,Hotel   ,742,37,32,270,13,89,120,180
zone 3,AM peak     ,Other   ,9022,177,837,1912,875,992,2403,1826
zone 3,AM peak     ,Unknown/Not Given   ,9121,7095,1595,294,15,40,51,30
zone 3,Midday,Home    ,20157,817,6212,6371,1864,1447,1489,1956
zone 3,Midday,Work    ,36409,1104,16996,10403,1518,1113,2581,2694
zone 3,Midday,Shop    ,10000,282,583,2226,2185,1380,2272,1072
zone 3,Midday,Education     ,12935,363,5333,6250,178,284,227,300
zone 3,Midday,Tourist ,2752,42,0,254,181,162,816,1298
zone 3,Midday,Hotel   ,1628,218,18,347,93,86,621,245
zone 3,Midday,Other   ,28533,1466,1855,5819,2863,3551,6484,6495
zone 3,Midday,Unknown/Not Given   ,8118,5338,781,701,336,185,124,653
zone 3,PM Peak     ,Home    ,41303,459,23935,10087,1487,661,2642,2032
zone 3,PM Peak     ,Work    ,10131,290,4201,3161,516,386,710,868
zone 3,PM Peak     ,Shop    ,2386,155,230,375,288,91,936,311
zone 3,PM Peak     ,Education     ,3097,149,727,1508,414,125,113,61
zone 3,PM Peak     ,Tourist ,210,1,0,0,6,30,99,74
zone 3,PM Peak     ,Hotel   ,1502,108,183,389,180,74,312,255
zone 3,PM Peak     ,Other   ,23322,713,1783,4581,2109,2627,6108,5401
zone 3,PM Peak     ,Unknown/Not Given   ,5979,4381,424,650,13,61,156,294
zone 3,Evening     ,Home    ,16953,341,6788,4998,1458,711,1342,1315
zone 3,Evening     ,Work    ,3726,147,2129,1136,36,21,30,227
zone 3,Evening     ,Shop    ,241,0,47,55,55,42,11,31
zone 3,Evening     ,Education     ,442,1,120,254,34,23,9,0
zone 3,Evening     ,Tourist ,17,0,0,0,0,0,17,0
zone 3,Evening     ,Hotel   ,294,0,10,55,31,6,20,172
zone 3,Evening     ,Other   ,6088,208,249,2387,806,471,1134,832
zone 3,Evening     ,Unknown/Not Given   ,3218,2486,419,294,1,15,1,1
zone 3,Late  ,Home    ,3849,203,1070,831,536,236,437,535
zone 3,Late  ,Work    ,430,15,255,126,0,0,0,34
zone 3,Late  ,Shop    ,34,0,0,25,8,0,0,0
zone 3,Late  ,Education     ,54,0,21,33,0,0,0,0
zone 3,Late  ,Hotel   ,122,18,0,50,0,2,24,27
zone 3,Late  ,Other   ,789,1,46,352,186,30,117,58
zone 3,Late  ,Unknown/Not Given   ,4173,4118,2,7,1,0,0,45
zone 3,   Total day,Home    ,85338,1838,39063,23487,5379,3165,6335,6071
zone 3,   Total day,Work    ,226844,4109,150215,50282,4644,3176,7580,6837
zone 3,   Total day,Shop    ,13669,462,992,2876,2737,1679,3423,1501
zone 3,   Total day,Education     ,27240,723,12357,12028,713,462,472,484
zone 3,   Total day,Tourist ,3963,106,48,406,195,279,1256,1674
zone 3,   Total day,Hotel   ,4286,381,243,1111,318,257,1097,879
zone 3,   Total day,Other   ,67793,2565,4776,15083,6840,7670,16246,14611
zone 3,   Total day,Unknown/Not Given   ,82962,75732,3261,1946,366,301,332,1024
zone 4,Early ,Home    ,12,0,12,0,0,0,0,0
zone 4,Early ,Work    ,1889,38,1443,304,36,21,13,35
zone 4,Early ,Education     ,71,0,61,10,0,0,0,0
zone 4,Early ,Other   ,54,0,44,8,0,3,0,0
zone 4,Early ,Unknown/Not Given   ,34336,34331,4,1,0,0,0,0
zone 4,AM peak     ,Home    ,2485,13,1165,656,188,144,184,136
zone 4,AM peak     ,Work    ,93406,1065,69170,17693,1085,828,2109,1455
zone 4,AM peak     ,Shop    ,1334,69,158,525,181,156,182,62
zone 4,AM peak     ,Education     ,7901,154,4326,3101,50,39,132,99
zone 4,AM peak     ,Tourist ,678,0,20,109,37,117,316,80
zone 4,AM peak     ,Hotel   ,393,0,0,41,44,25,195,88
zone 4,AM peak     ,Other   ,5985,232,596,1277,817,489,1734,840
zone 4,AM peak     ,Unknown/Not Given   ,6710,5456,874,286,13,35,16,29
zone 4,Midday,Home    ,10192,302,3771,2663,610,723,1309,813
zone 4,Midday,Work    ,17107,237,8002,4171,940,524,1623,1611
zone 4,Midday,Shop    ,5521,147,293,1404,1056,666,1268,686
zone 4,Midday,Education     ,7606,296,3142,3460,118,181,111,298
zone 4,Midday,Tourist ,964,1,25,273,61,22,162,421
zone 4,Midday,Hotel   ,1287,238,2,343,170,86,196,251
zone 4,Midday,Other   ,15529,832,978,2973,1713,1775,4136,3122
zone 4,Midday,Unknown/Not Given   ,8670,7134,531,340,124,78,334,129
zone 4,PM Peak     ,Home    ,20859,341,12879,5315,581,314,738,690
zone 4,PM Peak     ,Work    ,5634,70,2882,1395,232,498,368,188
zone 4,PM Peak     ,Shop    ,918,69,263,250,47,83,92,114
zone 4,PM Peak     ,Education     ,2165,21,771,1008,157,79,59,70
zone 4,PM Peak     ,Tourist ,294,0,49,40,144,13,40,8
zone 4,PM Peak     ,Hotel   ,742,8,107,313,0,129,99,86
zone 4,PM Peak     ,Other   ,11329,153,1045,2466,1637,1066,2969,1993
zone 4,PM Peak     ,Unknown/Not Given   ,6495,5408,539,279,11,20,238,0
zone 4,Evening     ,Home    ,8021,75,3348,2406,576,241,547,829
zone 4,Evening     ,Work    ,2196,28,1580,414,6,93,39,34
zone 4,Evening     ,Shop    ,13,0,2,6,0,0,6,0
zone 4,Evening     ,Education     ,134,0,0,128,0,0,0,6
zone 4,Evening     ,Tourist ,18,0,0,0,18,0,0,0
zone 4,Evening     ,Hotel   ,370,0,28,74,58,2,129,79
zone 4,Evening     ,Other   ,2884,28,256,832,458,331,608,372
