 RODS report1a created at 13:27:01 on 29-03-2017,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,
 ,,,,
 Report 1a - Analysis of entry by borough,,,,
Borough,Station,,Time Period,Number entering
Barking                       ,514,Barking             ,Early     ,4511
Barking                       ,514,Barking             ,AM peak   ,9205
Barking                       ,514,Barking             ,Midday    ,7348
Barking                       ,514,Barking             ,PM Peak   ,6413
Barking                       ,514,Barking             ,Evening   ,3306
Barking                       ,514,Barking             ,Late      ,876
Barking                       ,514,Barking             , Total day,31660
Barking                       ,518,Becontree           ,Early     ,1246
Barking                       ,518,Becontree           ,AM peak   ,2372
Barking                       ,518,Becontree           ,Midday    ,1269
Barking                       ,518,Becontree           ,PM Peak   ,655
Barking                       ,518,Becontree           ,Evening   ,237
Barking                       ,518,Becontree           ,Late      ,55
Barking                       ,518,Becontree           , Total day,5834
Barking                       ,555,Dagenham East       ,Early     ,1037
Barking                       ,555,Dagenham East       ,AM peak   ,1931
Barking                       ,555,Dagenham East       ,Midday    ,1098
Barking                       ,555,Dagenham East       ,PM Peak   ,659
Barking                       ,555,Dagenham East       ,Evening   ,224
Barking                       ,555,Dagenham East       ,Late      ,57
Barking                       ,555,Dagenham East       , Total day,5006
Barking                       ,556,Dagenham Heathway   ,Early     ,2130
Barking                       ,556,Dagenham Heathway   ,AM peak   ,3488
Barking                       ,556,Dagenham Heathway   ,Midday    ,2425
Barking                       ,556,Dagenham Heathway   ,PM Peak   ,1259
Barking                       ,556,Dagenham Heathway   ,Evening   ,453
Barking                       ,556,Dagenham Heathway   ,Late      ,166
Barking                       ,556,Dagenham Heathway   , Total day,9919
Barking                       ,738,Upney               ,Early     ,903
Barking                       ,738,Upney               ,AM peak   ,1954
Barking                       ,738,Upney               ,Midday    ,1084
Barking                       ,738,Upney               ,PM Peak   ,543
Barking                       ,738,Upney               ,Evening   ,178
Barking                       ,738,Upney               ,Late      ,44
Barking                       ,738,Upney               , Total day,4705
Barking                       ,   Total for borough,,Early     ,9827
Barking                       ,   Total for borough,,AM peak   ,18950
Barking                       ,   Total for borough,,Midday    ,13223
Barking                       ,   Total for borough,,PM Peak   ,9529
Barking                       ,   Total for borough,,Evening   ,4398
Barking                       ,   Total for borough,,Late      ,1198
Barking                       ,   Total for borough,, Total day,57124
Barnet                        ,529,Brent Cross         ,Early     ,334
Barnet                        ,529,Brent Cross         ,AM peak   ,1556
Barnet                        ,529,Brent Cross         ,Midday    ,1069
Barnet                        ,529,Brent Cross         ,PM Peak   ,713
Barnet                        ,529,Brent Cross         ,Evening   ,313
Barnet                        ,529,Brent Cross         ,Late      ,77
Barnet                        ,529,Brent Cross         , Total day,4062
Barnet                        ,532,Burnt Oak           ,Early     ,1478
Barnet                        ,532,Burnt Oak           ,AM peak   ,3147
Barnet                        ,532,Burnt Oak           ,Midday    ,1506
Barnet                        ,532,Burnt Oak           ,PM Peak   ,939
Barnet                        ,532,Burnt Oak           ,Evening   ,316
Barnet                        ,532,Burnt Oak           ,Late      ,83
Barnet                        ,532,Burnt Oak           , Total day,7468
Barnet                        ,551,Colindale           ,Early     ,1019
Barnet                        ,551,Colindale           ,AM peak   ,4152
Barnet                        ,551,Colindale           ,Midday    ,2530
Barnet                        ,551,Colindale           ,PM Peak   ,1904
Barnet                        ,551,Colindale           ,Evening   ,457
Barnet                        ,551,Colindale           ,Late      ,167
Barnet                        ,551,Colindale           , Total day,10229
Barnet                        ,565,East Finchley       ,Early     ,670
Barnet                        ,565,East Finchley       ,AM peak   ,6309
Barnet                        ,565,East Finchley       ,Midday    ,2755
Barnet                        ,565,East Finchley       ,PM Peak   ,1853
Barnet                        ,565,East Finchley       ,Evening   ,524
Barnet                        ,565,East Finchley       ,Late      ,175
Barnet                        ,565,East Finchley       , Total day,12286
Barnet                        ,568,Edgware             ,Early     ,813
Barnet                        ,568,Edgware             ,AM peak   ,3628
Barnet                        ,568,Edgware             ,Midday    ,2112
Barnet                        ,568,Edgware             ,PM Peak   ,1284
Barnet                        ,568,Edgware             ,Evening   ,435
Barnet                        ,568,Edgware             ,Late      ,108
Barnet                        ,568,Edgware             , Total day,8379
Barnet                        ,578,Finchley Central    ,Early     ,670
Barnet                        ,578,Finchley Central    ,AM peak   ,5202
Barnet                        ,578,Finchley Central    ,Midday    ,2637
Barnet                        ,578,Finchley Central    ,PM Peak   ,2174
Barnet                        ,578,Finchley Central    ,Evening   ,615
Barnet                        ,578,Finchley Central    ,Late      ,198
Barnet                        ,578,Finchley Central    , Total day,11496
Barnet                        ,584,Golders Green       ,Early     ,586
Barnet                        ,584,Golders Green       ,AM peak   ,5111
Barnet                        ,584,Golders Green       ,Midday    ,3864
Barnet                        ,584,Golders Green       ,PM Peak   ,2554
Barnet                        ,584,Golders Green       ,Evening   ,1062
Barnet                        ,584,Golders Green       ,Late      ,325
Barnet                        ,584,Golders Green       , Total day,13503
Barnet                        ,601,Hendon Central      ,Early     ,1034
Barnet                        ,601,Hendon Central      ,AM peak   ,4335
Barnet                        ,601,Hendon Central      ,Midday    ,3727
Barnet                        ,601,Hendon Central      ,PM Peak   ,3289
Barnet                        ,601,Hendon Central      ,Evening   ,1128
Barnet                        ,601,Hendon Central      ,Late      ,279
Barnet                        ,601,Hendon Central      , Total day,13791
Barnet                        ,602,High Barnet         ,Early     ,472
Barnet                        ,602,High Barnet         ,AM peak   ,2882
Barnet                        ,602,High Barnet         ,Midday    ,1354
Barnet                        ,602,High Barnet         ,PM Peak   ,1113
Barnet                        ,602,High Barnet         ,Evening   ,253
