 NLC,Station,time period,NR/DLR/Tram,Bus/Coach,Bicycle,Motorcycle,Car/VanParked,Car/Vandrivenaway,Walked,Taxi/Minicab,RiverBus/Ferry,Other,Not Stated,Heathrow Terminal 1,Heathrow Terminal 2,Heathrow Terminal 3,Heathrow Terminal 4,Heathrow Terminal 5,Total all modes,
509,Arnos Grove,Late,0,14,0,0,2,26,35,0,0,0,39,0,0,0,0,0,116,
509,Arnos Grove,Total day,0,1959,11,0,1506,840,2367,0,0,0,590,0,0,0,0,0,7274,
510,Arsenal ,Early ,0,0,0,0,0,0,171,0,0,17,0,0,0,0,0,0,188,
510,Arsenal ,AM peak,0,0,4,0,1,64,2189,14,0,27,8,0,0,0,0,0,2307,
510,Arsenal ,Midday,0,54,5,0,33,65,987,0,0,28,0,0,0,0,0,0,1171,
510,Arsenal ,PM Peak,0,0,0,0,29,1,556,0,0,0,67,0,0,0,0,0,653,
510,Arsenal ,Evening,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,211,
510,Arsenal ,Late,0,0,0,0,0,0,79,0,0,0,1,0,0,0,0,0,80,
510,Arsenal ,Total day,0,54,8,0,63,130,4193,14,0,72,75,0,0,0,0,0,4611,
511,Baker Street,Early ,344,73,0,0,11,0,213,0,0,29,21,0,0,0,0,0,691,
511,Baker Street,AM peak,3213,746,0,0,22,0,3084,45,0,332,333,0,0,0,0,0,7773,
511,Baker Street,Midday,2154,1200,0,0,20,6,5949,62,0,740,2781,0,0,0,0,0,12912,
511,Baker Street,PM Peak,359,2017,44,0,0,0,9139,32,0,626,4430,0,0,0,0,0,16646,
511,Baker Street,Evening,251,431,52,0,0,23,5093,0,0,43,541,0,0,0,0,0,6433,
511,Baker Street,Late,0,131,22,0,0,0,1340,17,0,0,306,0,0,0,0,0,1817,
511,Baker Street,Total day,6320,4597,118,0,53,29,24818,156,0,1770,8412,0,0,0,0,0,46272,
512,Balham,Early ,196,6,9,0,0,31,1134,0,0,0,9,0,0,0,0,0,1385,
512,Balham,AM peak,1930,129,80,0,138,134,8066,24,0,0,983,0,0,0,0,0,11484,
512,Balham,Midday,1119,95,0,0,21,58,2935,0,0,0,343,0,0,0,0,0,4572,
512,Balham,PM Peak,1217,125,0,0,24,38,1758,0,0,0,572,0,0,0,0,0,3733,
512,Balham,Evening,465,14,0,0,26,5,802,0,0,10,206,0,0,0,0,0,1528,
512,Balham,Late,238,30,0,0,0,22,272,0,0,0,6,0,0,0,0,0,567,
512,Balham,Total day,5165,399,89,0,209,288,14967,24,0,10,2119,0,0,0,0,0,23269,
513,Bank / Monument,Early ,701,39,0,0,0,16,107,14,0,0,851,0,0,0,0,0,1729,
513,Bank / Monument,AM peak,6471,317,62,0,10,66,1574,188,0,30,8716,0,0,0,0,0,17435,
513,Bank / Monument,Midday,7873,791,5,26,0,0,14220,114,0,94,7700,0,0,0,0,0,30823,
513,Bank / Monument,PM Peak,8573,1643,0,0,21,0,37103,324,0,24,17014,0,0,0,0,0,64703,
513,Bank / Monument,Evening,4802,552,0,0,0,0,15755,143,0,17,5666,0,0,0,0,0,26934,
513,Bank / Monument,Late,3471,68,5,0,0,0,4615,47,0,58,1168,0,0,0,0,0,9432,
513,Bank / Monument,Total day,31891,3410,73,26,31,82,73374,830,0,222,41116,0,0,0,0,0,151055,
501,Barbican,Early ,0,1,0,0,0,0,78,0,0,20,21,0,0,0,0,0,120,
501,Barbican,AM peak,0,157,10,0,0,20,1019,0,0,154,85,0,0,0,0,0,1446,
501,Barbican,Midday,0,140,0,0,0,0,3922,0,0,131,677,0,0,0,0,0,4870,
501,Barbican,PM Peak,0,397,0,0,0,0,8094,0,0,443,486,0,0,0,0,0,9420,
501,Barbican,Evening,0,150,0,0,0,0,2608,0,0,163,141,0,0,0,0,0,3062,
501,Barbican,Late,0,137,0,0,0,0,933,0,0,81,39,0,0,0,0,0,1191,
501,Barbican,Total day,0,982,10,0,0,20,16655,0,0,992,1450,0,0,0,0,0,20109,
514,Barking,Early ,136,2562,0,0,136,72,542,0,0,0,1063,0,0,0,0,0,4511,
514,Barking,AM peak,1101,3674,154,0,291,143,1868,1,0,0,1972,0,0,0,0,0,9205,
514,Barking,Midday,1201,1694,15,0,0,36,2401,23,0,0,1977,0,0,0,0,0,7348,
514,Barking,PM Peak,1295,1313,0,0,64,120,1547,12,0,0,2062,0,0,0,0,0,6413,
514,Barking,Evening,1379,544,0,0,3,5,381,0,0,0,994,0,0,0,0,0,3306,
514,Barking,Late,348,215,0,0,0,13,105,0,0,0,194,0,0,0,0,0,876,
514,Barking,Total day,5461,10002,170,0,493,390,6846,36,0,0,8263,0,0,0,0,0,31660,
515,Barkingside,Early ,0,29,0,0,77,27,332,0,0,0,19,0,0,0,0,0,483,
515,Barkingside,AM peak,0,45,0,0,247,66,804,0,0,0,140,0,0,0,0,0,1303,
515,Barkingside,Midday,0,69,0,0,25,0,264,0,0,0,173,0,0,0,0,0,531,
515,Barkingside,PM Peak,0,0,0,0,0,0,349,0,0,0,10,0,0,0,0,0,359,
515,Barkingside,Evening,0,0,0,0,0,0,56,0,0,0,20,0,0,0,0,0,77,
515,Barkingside,Late,0,0,0,0,0,0,1,0,0,0,16,0,0,0,0,0,17,
515,Barkingside,Total day,0,143,0,0,349,93,1805,0,0,0,378,0,0,0,0,0,2769,
516,Barons Court,Early ,0,0,9,0,0,15,281,0,0,0,18,0,0,0,0,0,324,
516,Barons Court,AM peak,0,0,26,0,11,51,3443,0,0,0,651,0,0,0,0,0,4183,
516,Barons Court,Midday,0,112,0,0,53,24,2691,0,0,0,295,0,0,0,0,0,3174,
516,Barons Court,PM Peak,0,25,0,0,63,85,2593,0,0,0,751,0,0,0,0,0,3517,
516,Barons Court,Evening,0,0,0,0,6,5,851,0,0,0,116,0,0,0,0,0,978,
516,Barons Court,Late,0,0,0,0,0,0,186,0,0,0,9,0,0,0,0,0,195,
516,Barons Court,Total day,0,137,35,0,133,180,10045,0,0,0,1840,0,0,0,0,0,12370,
517,Bayswater,Early ,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,148,
517,Bayswater,AM peak,0,4,0,0,0,24,1530,0,0,0,78,0,0,0,0,0,1636,
517,Bayswater,Midday,0,24,0,0,0,0,2133,10,0,0,287,0,0,0,0,0,2454,
517,Bayswater,PM Peak,0,16,0,0,0,0,1355,0,0,0,84,0,0,0,0,0,1454,
517,Bayswater,Evening,0,8,0,0,0,0,662,0,0,0,154,0,0,0,0,0,823,
517,Bayswater,Late,0,0,0,0,0,0,414,0,0,0,63,0,0,0,0,0,478,
517,Bayswater,Total day,0,51,0,0,0,24,6242,10,0,0,666,0,0,0,0,0,6993,
518,Becontree,Early,0,23,0,0,63,29,920,0,0,0,211,0,0,0,0,0,1246,
518,Becontree,AM peak,0,227,0,0,287,62,1501,0,0,0,295,0,0,0,0,0,2372,
