NLC,Station,timePeriod,Total,Commuter,Leisure,Tourist,Notknown
500,ActonTown,Early,622,0,0,0,622
500,ActonTown,AMpeak,3219,2361,184,28,646
500,ActonTown,Midday,2436,1341,762,160,173
500,ActonTown,PMPeak,1830,1199,342,161,128
500,ActonTown,Evening,621,244,226,13,138
500,ActonTown,Late,214,28,40,30,116
500,ActonTown,Totalday,8941,5172,1555,392,1822
502,Aldgate,Early,234,0,0,0,234
502,Aldgate,AMpeak,2451,2237,170,20,24
502,Aldgate,Midday,2791,1712,927,152,0
502,Aldgate,PMPeak,6714,5529,700,163,322
502,Aldgate,Evening,1542,1372,106,3,61
502,Aldgate,Late,406,142,77,0,186
502,Aldgate,Totalday,14138,10991,1980,340,827
503,AldgateEast,Early,291,10,0,0,280
503,AldgateEast,AMpeak,3293,2777,220,19,277
503,AldgateEast,Midday,6060,3453,1520,205,881
503,AldgateEast,PMPeak,7755,2936,1046,233,3541
503,AldgateEast,Evening,2897,1485,698,24,691
503,AldgateEast,Late,1157,283,260,2,612
503,AldgateEast,Totalday,21453,10945,3743,483,6281
505,Alperton,Early,543,37,0,0,506
505,Alperton,AMpeak,1824,1545,194,0,84
505,Alperton,Midday,1110,823,262,1,23
505,Alperton,PMPeak,901,650,195,49,6
505,Alperton,Evening,328,246,18,1,64
505,Alperton,Late,112,6,36,2,68
505,Alperton,Totalday,4817,3307,705,54,752
506,Amersham,Early,514,0,0,0,514
506,Amersham,AMpeak,1566,1259,217,23,67
506,Amersham,Midday,408,136,234,21,17
506,Amersham,PMPeak,81,31,20,0,29
506,Amersham,Evening,50,3,35,0,11
506,Amersham,Late,9,0,0,0,9
506,Amersham,Totalday,2627,1431,506,43,647
507,Angel,Early,393,0,0,0,393
507,Angel,AMpeak,4887,4272,346,167,103
507,Angel,Midday,7932,3990,3282,115,545
507,Angel,PMPeak,10300,6375,2784,51,1091
507,Angel,Evening,5029,3218,1475,40,297
507,Angel,Late,3036,469,1451,7,1108
507,Angel,Totalday,31578,18325,9337,379,3537
