 RODS report2c created at 13:27:35 on 29-03-2017,,,,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 Report 2c - Analysis by egress mode and station,,,,,,,,,,,,,,
 NLC, station name, time period,NR/DLR/ Tram         ,Bus/ Coach           ,Bicycle             ,Motorcycle          ,Car/Van Parked      ,Car/Van driven away ,Walked              ,Taxi/ Minicab        ,RiverBus/ Ferry      ,Other               ,Not Stated          ,     Total all modes
510,Arsenal             ,   Total day,0,0,12,0,73,2,4129,0,0,0,266,4483
511,Baker Street        ,Early       ,4,101,0,0,0,0,864,0,0,13,37,1019
511,Baker Street        ,AM peak     ,249,1295,6,0,28,0,14323,2,0,58,621,16583
511,Baker Street        ,Midday      ,167,959,61,11,86,1,12133,145,0,260,1415,15236
511,Baker Street        ,PM Peak     ,1233,745,24,0,183,0,5451,3,0,12,1738,9390
511,Baker Street        ,Evening     ,264,385,10,8,8,31,2208,0,0,27,458,3398
511,Baker Street        ,Late        ,54,163,0,15,8,4,982,1,0,0,153,1381
511,Baker Street        ,   Total day,1972,3649,101,34,314,37,35960,151,0,369,4422,47009
512,Balham              ,Early       ,193,7,0,0,0,0,113,0,0,0,0,313
512,Balham              ,AM peak     ,1478,68,0,0,0,0,1423,0,0,6,59,3033
512,Balham              ,Midday      ,1022,316,19,0,10,53,2406,0,0,52,45,3924
512,Balham              ,PM Peak     ,2220,527,81,0,53,83,5485,17,0,0,150,8616
512,Balham              ,Evening     ,794,29,78,0,103,55,4239,97,0,0,116,5511
512,Balham              ,Late        ,380,50,17,0,60,49,1718,94,0,0,171,2540
512,Balham              ,   Total day,6087,998,195,0,226,241,15384,208,0,58,540,23937
513,Bank / Monument     ,Early       ,1783,162,0,0,24,0,3949,0,0,6,173,6097
513,Bank / Monument     ,AM peak     ,13830,1939,0,0,43,18,53168,1,0,76,2318,71393
513,Bank / Monument     ,Midday      ,8341,430,0,2,4,26,17883,37,0,90,3318,30132
513,Bank / Monument     ,PM Peak     ,6723,908,0,0,90,20,8084,36,0,53,2638,18552
513,Bank / Monument     ,Evening     ,2547,223,0,0,9,0,2159,0,0,100,721,5758
513,Bank / Monument     ,Late        ,1479,92,0,0,0,0,352,0,0,0,552,2475
513,Bank / Monument     ,   Total day,34703,3755,0,2,170,63,85595,74,0,325,9720,134408
501,Barbican            ,Early       ,0,17,0,0,0,0,576,0,0,0,52,645
501,Barbican            ,AM peak     ,0,370,0,0,0,0,9037,0,0,0,942,10349
501,Barbican            ,Midday      ,0,676,0,0,2,0,4730,0,0,0,186,5593
501,Barbican            ,PM Peak     ,0,40,0,0,0,0,2280,0,0,0,515,2834
501,Barbican            ,Evening     ,0,27,0,0,0,0,902,0,0,0,160,1089
501,Barbican            ,Late        ,0,0,0,0,0,0,289,0,0,0,63,352
501,Barbican            ,   Total day,0,1129,0,0,2,0,17814,0,0,0,1916,20861
514,Barking             ,Early       ,428,172,0,0,0,0,296,0,0,23,8,928
514,Barking             ,AM peak     ,2784,728,0,0,0,0,1355,0,0,27,255,5149
514,Barking             ,Midday      ,874,1527,44,0,10,8,1552,0,0,0,1226,5242
514,Barking             ,PM Peak     ,1366,2694,0,0,57,0,1839,44,0,0,3410,9410
514,Barking             ,Evening     ,508,1182,199,0,33,2,1239,2,0,18,1180,4361
514,Barking             ,Late        ,163,541,0,0,0,27,604,0,0,0,310,1645
514,Barking             ,   Total day,6124,6844,243,0,100,38,6886,45,0,68,6389,26736
515,Barkingside         ,Early       ,0,0,0,0,0,0,23,0,0,0,0,23
515,Barkingside         ,AM peak     ,0,0,0,0,0,0,360,0,0,0,0,360
515,Barkingside         ,Midday      ,0,193,0,0,0,0,159,0,0,0,30,381
515,Barkingside         ,PM Peak     ,0,293,0,0,319,71,523,0,0,0,6,1212
515,Barkingside         ,Evening     ,0,0,0,0,27,41,295,51,0,0,12,426
515,Barkingside         ,Late        ,0,98,0,0,0,0,67,0,0,0,0,165
515,Barkingside         ,   Total day,0,584,0,0,347,112,1428,51,0,0,47,2569
516,Barons Court        ,Early       ,0,0,3,0,0,0,109,0,0,0,0,113
516,Barons Court        ,AM peak     ,0,1,19,0,0,0,3397,0,0,0,209,3626
516,Barons Court        ,Midday      ,0,2,2,0,74,0,2021,0,0,37,118,2254
516,Barons Court        ,PM Peak     ,0,57,2,0,2,4,2407,0,0,0,43,2517
516,Barons Court        ,Evening     ,0,0,28,0,28,0,1737,0,0,0,70,1864
516,Barons Court        ,Late        ,0,0,8,0,2,1,879,0,0,0,21,911
516,Barons Court        ,   Total day,0,60,62,0,107,5,10551,0,0,37,461,11284
517,Bayswater           ,Early       ,0,0,0,0,0,0,62,0,0,0,0,62
517,Bayswater           ,AM peak     ,0,13,0,0,0,0,709,0,0,0,12,734
517,Bayswater           ,Midday      ,0,85,0,0,0,0,1583,0,0,0,136,1805
517,Bayswater           ,PM Peak     ,0,1,0,0,0,0,1447,30,0,0,285,1762
517,Bayswater           ,Evening     ,0,0,0,0,7,0,981,0,0,0,231,1219
517,Bayswater           ,Late        ,0,20,0,0,0,0,514,0,0,0,50,584
517,Bayswater           ,   Total day,0,119,0,0,7,0,5296,30,0,0,715,6166
518,Becontree           ,Early       ,0,1,0,0,0,0,79,0,0,0,0,80
518,Becontree           ,AM peak     ,0,111,48,0,0,0,304,0,0,0,1,464
518,Becontree           ,Midday      ,0,245,0,0,10,5,598,0,0,0,293,1151
518,Becontree           ,PM Peak     ,0,339,0,0,94,17,928,0,0,0,1143,2521
518,Becontree           ,Evening     ,0,17,0,0,47,22,658,0,0,0,404,1147
518,Becontree           ,Late        ,0,107,0,0,10,1,193,0,0,0,159,469
518,Becontree           ,   Total day,0,820,48,0,161,45,2760,0,0,0,1999,5833
519,Belsize Park        ,Early       ,0,0,0,0,0,1,143,0,0,0,2,147
519,Belsize Park        ,AM peak     ,0,64,0,0,0,17,2383,0,0,3,156,2625
519,Belsize Park        ,Midday      ,0,79,0,0,3,6,2615,0,0,0,102,2805
519,Belsize Park        ,PM Peak     ,0,100,0,0,53,0,1904,0,0,0,33,2091
519,Belsize Park        ,Evening     ,0,27,0,0,15,0,1518,0,0,0,100,1661
519,Belsize Park        ,Late        ,0,22,0,0,0,0,659,0,0,0,42,723
519,Belsize Park        ,   Total day,0,293,0,0,72,24,9223,0,0,3,437,10051
787,Bermondsey          ,Early       ,0,40,0,0,0,0,626,0,0,0,30,695
787,Bermondsey          ,AM peak     ,0,614,0,0,0,19,2190,0,0,0,862,3684
787,Bermondsey          ,Midday      ,0,430,0,0,57,0,1786,0,0,0,680,2953
787,Bermondsey          ,PM Peak     ,0,591,32,0,0,0,2998,0,0,0,1055,4676
787,Bermondsey          ,Evening     ,0,769,0,0,10,0,2022,0,0,0,417,3218
787,Bermondsey          ,Late        ,0,153,0,0,10,0,927,0,0,0,509,1599
787,Bermondsey          ,   Total day,0,2596,32,0,76,19,10549,0,0,0,3552,16825
520,Bethnal Green       ,Early       ,11,197,0,0,0,0,299,0,0,4,107,618
520,Bethnal Green       ,AM peak     ,405,944,0,9,0,1,2664,0,0,27,252,4304
520,Bethnal Green       ,Midday      ,29,1116,10,0,0,0,3240,0,0,5,953,5354
520,Bethnal Green       ,PM Peak     ,24,841,39,0,2,38,3654,0,0,0,1665,6262
520,Bethnal Green       ,Evening     ,12,1070,5,0,3,4,2837,26,0,0,904,4861
520,Bethnal Green       ,Late        ,0,516,35,0,63,0,1304,0,0,0,614,2532
520,Bethnal Green       ,   Total day,481,4684,89,9,68,42,13999,26,0,37,4496,23931
521,Blackfriars         ,Early       ,43,9,0,0,0,0,693,0,0,0,4,748
521,Blackfriars         ,AM peak     ,327,227,0,0,0,0,12640,22,0,0,341,13557
521,Blackfriars         ,Midday      ,750,109,0,0,1,8,4230,29,0,0,352,5479
521,Blackfriars         ,PM Peak     ,1717,91,0,0,27,0,1289,10,0,12,1287,4432
521,Blackfriars         ,Evening     ,586,20,0,0,9,18,352,0,0,0,121,1105
521,Blackfriars         ,Late        ,113,0,0,0,0,0,197,0,0,0,8,318
521,Blackfriars         ,   Total day,3536,455,0,0,36,26,19400,61,0,12,2112,25639
522,Blackhorse Road     ,Early       ,3,10,0,0,5,0,33,0,0,0,33,84
522,Blackhorse Road     ,AM peak     ,269,305,4,0,1,4,531,1,0,0,58,1174
522,Blackhorse Road     ,Midday      ,255,309,82,0,93,0,830,0,0,32,126,1727
522,Blackhorse Road     ,PM Peak     ,633,425,148,0,482,194,2852,0,0,0,620,5353
522,Blackhorse Road     ,Evening     ,322,601,9,0,62,9,1747,91,0,0,227,3068
522,Blackhorse Road     ,Late        ,0,292,46,0,17,30,784,45,0,0,192,1405
522,Blackhorse Road     ,   Total day,1483,1941,289,0,660,237,6778,137,0,32,1255,12811
524,Bond Street         ,Early       ,0,35,21,0,5,0,1610,0,0,0,112,1783
524,Bond Street         ,AM peak     ,0,474,9,0,279,13,19306,38,0,82,908,21109
524,Bond Street         ,Midday      ,0,691,3,0,17,0,20283,172,0,186,2132,23484
524,Bond Street         ,PM Peak     ,0,227,125,0,32,12,9532,6,0,0,1962,11896
524,Bond Street         ,Evening     ,0,11,0,0,40,0,2819,0,0,110,488,3468
524,Bond Street         ,Late        ,0,120,0,0,0,0,541,0,0,0,25,687
524,Bond Street         ,   Total day,0,1558,158,0,373,25,54091,216,0,379,5627,62427
525,Borough             ,Early       ,0,0,0,0,0,0,147,0,0,0,5,152
525,Borough             ,AM peak     ,0,33,0,0,0,0,3438,0,0,0,97,3567
525,Borough             ,Midday      ,0,14,0,0,3,0,2373,48,0,0,68,2505
525,Borough             ,PM Peak     ,0,25,0,0,8,0,1240,0,0,0,293,1566
525,Borough             ,Evening     ,0,7,0,0,0,0,970,0,0,0,3,980
525,Borough             ,Late        ,0,44,1,0,0,0,473,0,0,0,0,518
525,Borough             ,   Total day,0,123,1,0,11,0,8639,48,0,0,465,9287
526,Boston Manor        ,Early       ,0,38,0,0,0,0,34,0,0,0,0,73
526,Boston Manor        ,AM peak     ,0,324,0,0,0,0,445,0,0,0,41,810
526,Boston Manor        ,Midday      ,0,127,43,0,44,0,429,0,0,0,60,704
526,Boston Manor        ,PM Peak     ,0,357,3,0,44,1,568,25,0,0,16,1013
526,Boston Manor        ,Evening     ,0,184,0,0,78,0,320,23,0,0,30,636
526,Boston Manor        ,Late        ,0,108,0,0,49,0,102,0,0,0,71,330
526,Boston Manor        ,   Total day,0,1139,45,0,216,1,1898,48,0,0,219,3567
527,Bounds Green        ,Early       ,0,70,0,0,3,0,1,0,0,0,0,73
527,Bounds Green        ,AM peak     ,0,498,0,0,4,2,345,0,0,0,73,923
527,Bounds Green        ,Midday      ,0,284,0,0,153,24,1196,0,0,0,19,1676
527,Bounds Green        ,PM Peak     ,0,716,0,0,238,1,2389,0,0,0,341,3684
527,Bounds Green        ,Evening     ,0,463,0,0,92,2,1654,49,0,0,133,2392
527,Bounds Green        ,Late        ,0,264,0,0,44,0,830,0,0,0,125,1264
527,Bounds Green        ,   Total day,0,2295,0,0,533,28,6415,49,0,0,691,10012
528,Bow Road            ,Early       ,8,0,0,0,0,0,140,0,0,0,21,169
528,Bow Road            ,AM peak     ,96,194,0,0,0,0,804,0,0,1,33,1128
528,Bow Road            ,Midday      ,194,55,0,0,17,0,1207,0,0,0,87,1561
528,Bow Road            ,PM Peak     ,85,111,0,0,0,0,1906,0,0,0,625,2727
528,Bow Road            ,Evening     ,20,53,0,0,110,0,1649,0,0,0,297,2130
528,Bow Road            ,Late        ,0,100,0,0,70,0,992,0,0,0,146,1308
528,Bow Road            ,   Total day,404,514,0,0,197,0,6697,0,0,1,1209,9023
529,Brent Cross         ,Early       ,0,5,0,0,0,0,52,0,0,0,0,57
