 RODS report1b created at 13:27:06 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1b - Analysis by ticket type and station,,,,,,,,
 NLC,Station name,Time period,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    ,Total all types
501,Barbican            ,Evening     ,1206,185,1033,394,243,3062
501,Barbican            ,Late        ,632,92,198,167,101,1191
501,Barbican            ,   Total day,8766,2551,4758,1778,2257,20109
514,Barking             ,Early       ,23,17,16,0,4455,4511
514,Barking             ,AM peak     ,2273,2278,2729,320,1605,9205
514,Barking             ,Midday      ,2345,1161,990,542,2310,7348
514,Barking             ,PM Peak     ,1650,1510,1363,244,1645,6413
514,Barking             ,Evening     ,691,940,480,298,897,3306
514,Barking             ,Late        ,230,37,105,57,447,876
514,Barking             ,   Total day,7213,5943,5684,1461,11359,31660
515,Barkingside         ,Early       ,0,0,0,0,483,483
515,Barkingside         ,AM peak     ,423,160,573,35,111,1303
515,Barkingside         ,Midday      ,206,66,25,68,166,531
515,Barkingside         ,PM Peak     ,120,0,192,0,47,359
515,Barkingside         ,Evening     ,0,0,0,1,76,77
515,Barkingside         ,Late        ,0,0,0,0,16,17
515,Barkingside         ,   Total day,749,226,791,104,900,2769
516,Barons Court        ,Early       ,0,0,0,0,324,324
516,Barons Court        ,AM peak     ,810,980,1642,42,709,4183
516,Barons Court        ,Midday      ,1053,619,1001,371,129,3174
516,Barons Court        ,PM Peak     ,845,985,905,209,574,3517
516,Barons Court        ,Evening     ,156,393,294,56,78,978
516,Barons Court        ,Late        ,26,63,17,0,88,195
516,Barons Court        ,   Total day,2890,3041,3859,678,1903,12370
517,Bayswater           ,Early       ,0,2,0,0,146,148
517,Bayswater           ,AM peak     ,928,304,284,49,69,1636
517,Bayswater           ,Midday      ,1164,817,261,47,166,2454
517,Bayswater           ,PM Peak     ,622,403,313,100,16,1454
517,Bayswater           ,Evening     ,368,241,198,4,12,823
517,Bayswater           ,Late        ,90,91,91,1,205,478
517,Bayswater           ,   Total day,3172,1858,1147,201,615,6993
518,Becontree           ,Early       ,0,0,0,0,1246,1246
518,Becontree           ,AM peak     ,841,391,758,95,287,2372
518,Becontree           ,Midday      ,469,175,63,383,178,1269
518,Becontree           ,PM Peak     ,330,0,174,11,139,655
518,Becontree           ,Evening     ,0,0,0,0,237,237
518,Becontree           ,Late        ,0,0,0,0,55,55
518,Becontree           ,   Total day,1641,566,996,489,2143,5834
519,Belsize Park        ,Early       ,0,0,0,0,231,231
519,Belsize Park        ,AM peak     ,1373,321,815,182,504,3194
519,Belsize Park        ,Midday      ,1511,234,418,757,200,3120
519,Belsize Park        ,PM Peak     ,1283,292,618,682,187,3062
519,Belsize Park        ,Evening     ,502,135,156,76,97,966
519,Belsize Park        ,Late        ,0,0,0,1,295,296
519,Belsize Park        ,   Total day,4669,982,2007,1697,1513,10868
787,Bermondsey          ,Early       ,0,0,0,0,866,866
787,Bermondsey          ,AM peak     ,1732,1937,1882,103,227,5881
787,Bermondsey          ,Midday      ,1725,1204,555,298,173,3956
787,Bermondsey          ,PM Peak     ,1789,1270,1104,77,120,4361
787,Bermondsey          ,Evening     ,213,518,517,23,416,1686
787,Bermondsey          ,Late        ,163,51,135,0,229,579
787,Bermondsey          ,   Total day,5622,4981,4194,501,2031,17329
520,Bethnal Green       ,Early       ,17,18,38,0,767,839
520,Bethnal Green       ,AM peak     ,2637,1254,1906,187,914,6899
520,Bethnal Green       ,Midday      ,1027,760,637,576,3629,6628
520,Bethnal Green       ,PM Peak     ,381,37,208,127,4631,5383
520,Bethnal Green       ,Evening     ,386,247,176,113,1432,2355
520,Bethnal Green       ,Late        ,222,0,168,105,588,1082
520,Bethnal Green       ,   Total day,4669,2315,3133,1108,11961,23186
521,Blackfriars         ,Early       ,0,0,0,0,313,313
521,Blackfriars         ,AM peak     ,1721,1117,1946,98,239,5122
