 Purpose,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200
zone 1,Unknown/Not Given : Hotel               ,894,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,19,0,112,78,0,0,0,0,1,2,0,0,0,23,0,0,0,0,34,25,150,0,0,0,0,0,0,0,15,49,0,0,0,50,0,0,157,0,19,66,0,0,61,0,20,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Other               ,4158,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,49,0,36,265,31,8,52,107,43,74,295,48,220,66,61,69,42,90,16,179,88,90,0,7,65,18,128,465,47,115,54,0,1,26,261,24,166,137,92,166,14,31,4,156,44,24,0,1,38,0,2,30,9,0,91,1,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Unknown/Not Given : Unknown/Not Given   ,239193,367,820,1516,2268,3764,6492,9583,13566,648,343,385,244,409,862,377,609,226,188,233,1164,615,1097,633,850,871,1420,946,1969,1229,2191,1229,2445,1470,1749,1799,1919,2589,2068,2838,2189,1630,2528,2614,3505,2696,3768,3509,5699,5464,7689,6213,9394,7467,6669,4997,4518,2774,3392,2994,2373,2999,2289,2383,2281,1935,1887,1751,2548,5438,5533,5315,4986,5366,5281,5177,3939,7299,4518,1842,301,46,3,0,0
zone 2,Home : Home                             ,3095,0,0,0,0,0,0,0,0,43,40,0,131,65,47,50,32,40,41,28,0,0,102,35,23,1,34,40,46,92,81,160,0,0,31,59,81,54,31,21,123,208,50,28,0,14,130,27,256,132,14,20,54,86,20,111,39,0,8,113,15,151,33,0,0,13,9,7,4,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Home : Work                             ,396465,0,0,11,3,0,27,243,952,14464,21981,27019,32551,39714,43613,38473,32055,25675,19262,13225,9248,5548,4631,4001,3283,2707,2810,2219,1989,1700,2129,1945,2054,1930,2175,1544,1898,1661,1827,1477,1592,1291,1511,1684,1439,1461,1275,1396,1420,1079,1020,1376,474,1553,655,1134,1223,1017,860,1145,940,630,409,258,615,360,336,563,231,204,246,270,181,79,84,151,129,85,43,0,0,0,0,0,3
zone 2,Home : Shop                             ,23855,0,0,0,0,0,0,0,0,23,0,0,115,28,94,88,79,181,268,541,528,583,641,971,611,975,1037,579,747,498,811,833,636,467,588,856,781,709,615,1146,699,538,715,424,349,442,276,796,264,708,494,416,129,195,855,136,103,101,2,44,2,38,17,2,0,2,4,18,0,3,0,17,0,28,0,3,0,8,0,0,0,0,0,0,0
zone 2,Home : Education                        ,43258,0,0,0,0,0,0,0,0,309,400,960,1337,1726,1717,2101,1269,1311,2063,1966,1145,1640,1651,1048,1220,1276,988,1198,1048,726,875,1190,578,1010,1438,928,631,1107,321,803,532,663,540,570,455,364,210,393,308,363,455,528,441,220,94,98,112,214,167,51,55,12,46,57,0,0,3,5,0,209,13,53,0,0,0,29,11,6,4,0,0,0,0,0,0
zone 2,Home : Tourist                          ,3613,0,0,0,0,0,0,0,0,4,60,6,142,4,43,81,242,23,52,114,97,70,155,105,102,135,129,105,67,59,28,128,201,69,22,67,8,203,300,77,50,22,75,179,161,7,55,23,9,15,0,0,46,45,17,3,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Home : Hotel                            ,3725,0,0,0,0,0,0,0,0,39,0,0,58,47,39,0,107,130,88,55,75,107,115,29,23,11,99,140,36,234,144,83,24,72,38,23,136,125,28,53,71,162,49,25,109,23,121,29,0,65,161,43,60,87,65,48,92,10,46,17,3,46,38,56,11,46,0,0,36,34,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0
zone 2,Home : Other                            ,108533,0,0,0,0,0,1,1,9,641,773,892,836,1149,1323,1112,1591,1038,1809,1657,1646,2173,2624,2070,2436,2201,1958,2414,1996,2544,2070,1803,2611,1922,1875,2023,1651,1578,1780,1458,2141,2068,1799,1377,1986,1462,1090,1902,2221,2052,3155,4006,2764,3097,4096,3680,2896,1837,1845,1810,1155,1030,1025,843,460,353,385,720,215,287,377,195,162,160,81,74,30,25,10,0,0,0,0,0,0
zone 2,Home : Unknown/Not Given                ,15860,0,0,0,0,0,0,32,21,501,269,304,270,359,489,612,618,403,145,239,131,269,127,228,217,401,225,161,68,166,257,296,92,469,174,425,265,150,176,104,265,53,117,245,328,417,193,99,347,440,383,514,648,292,204,585,541,162,124,95,107,209,123,103,6,45,16,100,25,20,21,1,25,35,102,101,72,30,4,1,0,0,0,0,0
zone 2,Work : Home                             ,237794,0,0,0,0,0,0,21,150,757,437,399,588,381,224,335,345,356,223,403,270,316,68,217,248,160,298,296,530,742,540,731,707,1205,864,505,834,1139,1187,1617,1548,2594,3455,3904,4434,5730,7645,7261,10117,13929,15564,15804,16820,16176,13139,10398,7875,9191,8190,6653,5374,4591,3385,3657,3702,3105,2492,1886,1965,1448,1712,1490,1461,1477,873,853,631,99,69,1,0,0,0,0,0
zone 2,Work : Work                             ,48144,0,0,0,0,0,0,0,35,836,423,596,513,842,691,860,771,668,839,943,962,1055,666,1042,751,726,1238,1301,1052,1423,1145,1084,1300,1349,1757,1075,1259,1585,1573,885,836,1002,997,1232,1174,747,1217,975,865,893,860,680,782,776,278,242,575,252,247,140,189,216,194,99,88,90,122,248,61,216,135,100,89,127,8,55,60,21,11,0,0,0,0,0,0
zone 2,Work : Shop                             ,4303,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,23,0,0,0,1,0,16,1,8,5,1,23,180,46,126,49,262,99,34,21,38,8,64,187,42,112,335,150,90,199,38,105,146,133,268,216,229,92,212,48,173,63,143,43,96,60,84,0,0,0,2,0,0,0,0,0,6,0,5,1,1,0,0,0,0,0,0,0
zone 2,Work : Education                        ,4112,0,0,0,0,0,0,0,0,0,0,136,3,21,1,70,33,33,5,4,2,1,18,64,1,5,1,4,0,1,41,48,30,78,32,16,5,113,220,332,358,133,105,133,36,50,121,215,185,240,347,320,231,134,61,45,2,34,24,1,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
zone 2,Work : Tourist                          ,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,21,0,0,0,24,0,33,0,0,0,0,0,0,0,65,0,0,0,21,0,19,44,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Work : Hotel                            ,3111,0,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,2,0,80,0,2,42,0,133,90,53,115,123,35,125,15,226,17,295,39,186,149,228,237,189,1,30,94,52,76,9,72,8,2,1,15,6,3,25,77,88,1,65,77,12,0,0,0,0,0,0,0,0,0,0
zone 2,Work : Other                            ,28705,0,0,0,0,0,0,0,0,103,0,0,2,0,0,0,12,25,67,21,57,17,59,88,55,94,174,200,111,156,274,253,303,245,224,237,227,251,315,319,145,135,203,365,732,383,732,824,1214,1643,2938,2054,2427,1750,2206,1288,1376,953,791,716,635,387,327,83,65,93,96,62,35,18,7,15,0,74,10,29,2,0,0,0,0,0,0,0,0
zone 2,Work : Unknown/Not Given                ,1634,0,0,0,0,0,0,0,0,0,4,0,8,2,1,31,13,16,5,4,8,0,5,0,0,0,1,4,9,15,0,2,0,0,21,17,5,36,34,2,2,3,8,6,79,10,0,20,28,133,290,74,115,265,181,6,13,17,8,1,10,1,43,13,2,36,16,4,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
zone 2,Shop : Home                             ,16700,0,0,0,0,0,0,0,0,1,0,0,0,15,0,3,2,7,7,68,70,220,101,65,63,157,140,177,218,428,164,113,213,171,210,249,444,452,540,537,603,487,550,635,276,637,531,701,408,709,146,252,395,297,336,136,277,285,373,356,390,333,678,468,374,266,178,260,86,89,146,163,5,1,2,22,11,0,0,0,0,0,0,0,0
zone 2,Shop : Work                             ,556,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,5,21,1,4,27,0,8,0,7,5,3,63,8,0,7,11,14,11,45,87,10,35,24,14,3,9,12,0,0,0,0,0,39,0,27,29,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
zone 2,Shop : Shop                             ,2701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,32,1,0,0,108,105,52,206,63,13,69,104,80,44,94,74,99,97,70,105,120,66,52,93,158,40,93,128,75,11,58,0,0,55,148,0,7,0,5,0,34,9,21,12,0,0,0,0,16,21,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Shop : Education                        ,343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,73,6,20,68,90,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Shop : Tourist                          ,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,25,1,3,1,0,0,3,17,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Shop : Hotel                            ,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,51,36,0,0,0,0,0,0,0,12,35,12,0,0,0,11,15,0,0,77,0,0,0,0,4,0,0,0,0,0,16,84,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
zone 2,Shop : Other                            ,3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,45,129,3,52,22,1,28,6,16,118,71,82,197,57,141,284,154,208,294,135,2,110,198,49,98,45,0,119,0,81,0,124,66,0,21,61,54,30,0,0,7,0,16,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Shop : Unknown/Not Given                ,974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,10,0,0,0,0,0,0,0,0,1,2,9,0,0,0,0,0,0,26,158,221,70,68,243,0,0,0,4,45,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Education : Home                        ,27716,0,0,0,0,0,0,0,0,0,0,34,2,51,40,75,67,136,91,60,11,102,98,47,88,114,46,46,180,264,515,346,557,412,576,350,289,381,756,629,712,824,887,1124,1519,1561,1599,1079,1233,933,717,820,570,547,655,507,659,883,462,194,257,466,364,387,447,582,352,80,239,119,135,48,92,100,74,42,52,13,20,0,0,0,0,0,0
zone 2,Education : Work                        ,2897,0,0,0,0,0,0,0,0,9,0,32,28,52,214,138,278,510,369,95,117,135,7,19,22,77,2,0,0,59,34,18,32,57,104,62,41,15,2,20,39,60,2,0,6,0,4,6,100,25,4,52,13,24,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Education : Shop                        ,548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,5,0,0,0,0,0,0,18,35,0,32,19,0,57,34,24,0,14,57,9,0,0,40,70,36,33,0,0,0,10,0,0,16,0,0,9,0,9,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
zone 2,Education : Education                   ,4027,0,0,0,0,0,0,0,0,0,7,25,93,104,114,236,23,69,59,80,69,33,18,91,19,33,74,147,44,103,87,181,122,187,27,20,10,11,0,79,68,135,115,95,215,51,35,149,11,65,49,25,102,364,0,0,38,0,1,30,0,38,119,42,3,0,17,36,18,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Education : Tourist                     ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Education : Hotel                       ,671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,63,0,28,103,1,49,0,0,76,0,0,0,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Education : Other                       ,3082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,71,32,165,68,2,29,0,41,146,18,102,45,139,126,217,58,50,82,42,0,46,83,25,26,110,103,234,160,48,63,31,69,45,126,25,29,103,90,8,46,0,12,10,16,34,2,0,0,0,1,0,1,0,13,0,4,14,24,43,0,0,0,0,0,0,0,0
zone 2,Education : Unknown/Not Given           ,896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,4,0,0,0,0,58,1,0,0,0,82,0,51,0,0,0,0,0,0,0,0,9,10,20,0,0,53,53,33,10,0,422,0,0,51,0,14,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Tourist : Home                          ,2321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,97,15,2,0,47,0,1,0,188,72,12,220,258,166,2,1,10,13,31,17,290,167,121,107,11,7,0,92,53,0,0,0,224,0,0,0,6,0,3,0,58,5,2,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0
zone 2,Tourist : Work                          ,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,17,15,35,13,0,0,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Tourist : Shop                          ,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,16,0,0,7,11,34,38,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Tourist : Education                     ,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Tourist : Tourist                       ,1203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,109,24,57,21,38,22,0,18,0,13,112,33,5,8,14,11,90,12,0,0,0,0,0,0,316,0,0,6,0,180,0,4,7,0,0,0,0,0,0,0,0,5,42,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,30,0,0,0,0,0,0
zone 2,Tourist : Hotel                         ,1017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,25,0,71,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,27,311,171,155,25,0,0,0,0,0,113,0,0,0,0,0,0,0,0,0,0,0,19,48,23,0,0,0,0,1,8,4,0,0,0,0,0,0,0,0
zone 2,Tourist : Other                         ,1431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,17,0,0,9,10,4,0,8,31,13,22,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,136,275,244,197,172,131,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Hotel : Home                            ,3457,0,0,0,0,0,0,0,0,15,16,0,0,53,0,62,0,42,53,0,17,77,86,50,123,152,10,69,122,3,184,6,31,15,0,0,0,0,44,62,0,28,14,104,31,98,54,10,36,9,67,23,88,32,110,79,30,78,75,97,1,7,130,69,5,37,106,178,92,65,35,14,89,187,79,9,2,0,0,0,0,0,0,0,0
zone 2,Hotel : Work                            ,4249,0,0,0,0,0,0,0,0,392,85,198,264,269,466,558,368,219,107,256,175,20,86,33,28,0,11,3,13,20,119,103,2,32,1,66,0,0,0,25,0,0,0,0,0,117,7,2,0,0,79,0,0,0,24,0,68,0,0,0,1,2,15,0,1,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0
zone 2,Hotel : Shop                            ,491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,16,12,23,27,56,25,3,0,50,0,19,0,32,0,8,7,0,0,0,34,0,0,0,0,0,1,0,0,96,0,42,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Hotel : Education                       ,230,0,0,0,0,0,0,0,0,0,5,0,0,105,2,3,12,0,0,0,0,54,0,1,0,14,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Hotel : Tourist                         ,1095,0,0,0,0,0,0,0,0,0,0,0,0,25,0,20,0,19,113,12,44,96,173,105,28,16,106,76,18,39,4,11,0,0,27,0,0,0,46,39,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,18,17,12,3,4,0,0,0,0,0,0,0,0,0,0
zone 2,Hotel : Hotel                           ,724,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,33,22,22,0,0,19,8,11,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,10,0,0,0,0,251,4,26,0,16,0,0,0,15,5,0,0,21,0,0,0,8,0,0,25,0,0,0,0,14,8,51,11,0,0,0,0,0,0,0,0
zone 2,Hotel : Other                           ,2949,0,0,0,0,0,0,0,0,0,0,10,15,0,0,13,17,108,135,112,166,92,77,102,112,154,132,58,94,22,155,0,68,3,19,113,0,0,0,18,101,105,0,0,56,108,90,10,21,184,0,40,182,83,8,19,27,5,110,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Hotel : Unknown/Not Given               ,188,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,17,18,3,4,4,0,0,26,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,26,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Other : Home                            ,65778,0,0,0,0,0,0,0,0,91,4,146,34,26,20,40,162,208,140,229,160,157,243,422,218,319,144,340,319,611,491,775,368,355,382,625,865,712,599,586,435,1093,726,1041,770,1341,1658,1828,1813,1187,1101,761,1206,1259,1720,1435,1220,1486,780,1197,1883,1190,2100,1537,1602,1800,1898,2027,2095,2065,1733,2792,2493,2409,2079,1216,837,96,70,2,0,0,0,0,0
zone 2,Other : Work                            ,11035,0,0,0,0,0,6,21,14,288,405,241,311,451,547,691,648,835,512,318,134,162,303,270,173,149,313,173,151,138,232,121,119,87,213,116,264,104,118,166,243,177,153,115,164,38,303,203,20,27,53,202,96,154,62,16,22,53,24,12,0,0,19,7,40,1,3,18,16,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Other : Shop                            ,4159,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,71,19,68,47,41,36,122,33,55,161,13,84,161,68,97,177,33,149,140,218,58,222,97,8,53,149,317,99,222,78,84,4,72,66,15,27,2,20,104,164,131,0,0,0,0,33,0,0,37,128,59,58,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Other : Education                       ,2276,0,0,0,0,0,0,0,0,0,0,11,11,5,29,6,7,22,58,18,9,0,58,23,50,83,74,12,52,12,137,43,51,9,9,59,40,48,33,37,49,27,9,8,17,15,185,23,19,176,184,406,3,21,0,32,3,0,14,25,0,0,1,1,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Other : Tourist                         ,1833,0,0,0,0,0,0,0,0,5,0,1,0,9,0,0,0,24,21,8,184,12,61,121,56,93,12,12,136,13,19,84,17,52,33,85,0,31,55,42,104,22,36,171,85,0,0,0,0,110,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,4,7,0,33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Other : Hotel                           ,1665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,4,0,0,0,8,0,0,0,0,35,0,8,53,10,104,31,10,43,52,17,0,49,6,23,111,0,0,0,0,31,66,13,13,2,27,215,56,58,30,66,73,51,138,112,35,24,10,46,2,1,4,0,0,0,0,0,0
zone 2,Other : Other                           ,20649,0,0,0,0,0,0,2,0,65,53,5,194,69,0,132,110,107,140,342,308,368,385,192,329,293,385,328,419,276,307,420,360,408,329,221,155,199,194,46,149,297,366,873,241,918,452,571,358,617,475,827,749,681,714,743,351,288,185,202,235,232,217,173,368,427,281,307,137,127,251,223,95,73,94,103,67,8,30,7,0,0,0,0,0
zone 2,Other : Unknown/Not Given               ,476,0,0,0,0,0,0,0,0,0,7,6,11,24,0,12,0,0,1,4,13,16,13,21,0,16,0,6,7,1,1,0,1,0,0,0,12,21,4,1,11,7,9,0,0,0,37,0,6,0,0,7,0,1,0,0,0,0,0,68,0,78,0,25,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Home                ,5721,0,0,0,0,0,0,0,0,57,44,0,0,150,84,0,0,22,120,38,58,29,24,2,66,5,25,15,1,1,3,0,4,0,20,10,15,12,49,17,135,5,110,43,59,151,115,118,345,278,62,315,494,440,245,89,237,61,225,32,106,96,79,44,82,105,61,84,79,31,72,77,235,40,37,8,60,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Work                ,3159,0,0,0,0,0,0,0,0,465,69,16,96,97,127,163,202,166,57,50,62,48,51,5,0,23,2,9,3,8,0,5,15,0,28,2,44,0,2,0,0,8,0,0,46,6,0,0,0,100,17,0,60,178,208,170,140,0,0,0,0,61,0,0,0,0,2,15,35,20,0,0,278,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Shop                ,287,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,85,32,0,23,0,9,0,1,16,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,17,12,0,0,0,0,0,0
zone 2,Unknown/Not Given : Education           ,275,0,0,0,0,0,0,0,0,0,8,0,1,40,6,0,0,50,13,15,7,19,0,1,3,3,0,0,0,0,21,3,31,15,9,26,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Tourist             ,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,90,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Hotel               ,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,33,16,0,0,0,0,0,0,32,0,0,0,0,15,0,0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Other               ,1395,0,0,0,0,0,0,0,0,0,0,1,2,0,0,8,0,137,5,20,30,155,15,7,41,18,13,0,68,18,74,19,51,3,2,1,99,0,16,4,0,18,87,27,40,3,0,0,53,17,55,37,12,23,62,57,9,0,3,9,0,17,0,0,0,0,0,6,9,8,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 2,Unknown/Not Given : Unknown/Not Given   ,172496,1016,2162,3300,4416,6722,9340,11737,14623,1848,1388,1502,1674,1768,1911,1323,829,618,657,647,513,848,683,893,559,634,919,830,1232,635,767,332,758,659,1156,1374,1092,818,868,1322,907,917,1584,1067,1683,3030,3320,3614,4542,4101,4441,3904,4503,4005,4473,3728,2702,1625,1574,1054,774,1102,1203,975,1086,804,1181,863,1572,1754,1932,2214,2558,2822,2423,2157,1509,1985,1213,743,403,73,0,0,0
zone 3,Home : Home                             ,1975,0,0,0,0,0,0,0,0,77,2,14,50,68,12,155,35,34,9,19,16,38,33,256,16,94,18,84,45,57,9,0,1,209,15,0,0,22,16,1,1,0,0,47,23,5,2,11,2,0,1,76,46,36,0,19,30,0,0,0,16,0,6,30,55,59,5,2,0,78,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
zone 3,Home : Work                             ,204849,0,0,0,1,8,7,251,446,13032,14151,16157,18856,21271,20920,17922,14379,11111,8732,6243,4001,2670,2170,1610,1198,1252,1298,1039,880,871,1302,1181,866,1157,1095,1303,758,590,604,656,960,526,1269,753,966,806,635,350,550,593,461,657,628,709,399,500,436,642,455,177,198,308,268,242,181,193,235,304,82,99,76,29,49,12,41,57,14,2,0,0,0,0,0,0,0
zone 3,Home : Shop                             ,10294,0,0,0,0,0,0,0,0,0,25,21,0,4,103,16,31,48,163,147,267,169,525,317,436,448,375,280,475,322,309,202,272,178,297,225,378,341,207,251,395,488,479,156,234,341,157,353,158,133,76,16,97,58,102,41,33,4,53,0,0,11,0,0,0,0,0,1,41,6,1,4,9,9,4,0,0,0,0,0,0,0,0,0,0
