 Purpose,Total,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200
zone 1,Work : Hotel                            ,21976,0,0,0,0,0,0,0,0,40,0,0,0,0,0,609,23,5,2,0,22,34,0,54,0,142,0,106,318,22,15,67,63,108,225,99,35,0,175,53,215,221,460,121,858,792,511,1163,1396,1037,1506,1827,1834,697,1776,1396,1295,202,347,307,165,242,85,246,151,194,131,152,76,22,48,112,53,16,48,43,16,0,0,0,0,0,0,0,0
zone 1,Work : Other                            ,89252,0,0,0,0,0,0,2,3,165,131,16,153,169,32,94,212,112,537,78,137,205,249,257,188,170,273,407,638,764,1217,1045,1118,669,630,836,959,514,901,747,876,1148,654,961,1234,1629,2005,2554,3501,3925,5261,7475,6567,7650,7246,5502,4350,3459,2631,1916,1269,513,848,444,254,446,149,443,97,179,45,126,37,58,5,41,127,0,0,0,0,0,0,0,0
zone 1,Work : Unknown/Not Given                ,5981,0,0,0,0,0,0,0,0,5,44,32,18,17,14,83,60,13,38,84,165,52,19,5,19,57,61,20,19,22,28,65,14,53,31,57,60,9,19,76,12,84,14,9,180,201,89,272,450,289,190,574,216,251,267,214,119,165,251,104,7,83,44,106,7,76,58,84,73,23,35,72,51,0,48,0,1,0,0,0,0,0,0,0,0
zone 1,Shop : Home                             ,38931,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,10,6,10,17,54,121,86,162,191,433,196,385,340,689,691,657,454,729,128,923,936,1114,1011,607,1314,1484,1885,1136,2066,1013,1961,1029,660,1269,1097,1875,1546,2206,1603,816,728,727,608,699,525,745,382,177,112,204,450,67,129,189,27,2,73,15,12,0,8,0,0,0,0,0,0
zone 1,Shop : Work                             ,3857,0,0,0,0,0,0,0,0,0,0,21,16,3,14,1,3,1,7,18,19,4,89,67,57,24,49,3,25,116,39,185,111,120,412,366,686,242,149,110,137,36,22,40,47,113,55,150,20,21,9,44,55,12,0,38,63,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Shop : Shop                             ,8242,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,6,3,76,115,196,216,101,183,311,362,225,207,235,185,447,225,505,488,335,76,504,191,194,359,152,315,261,684,47,144,28,11,0,173,230,21,0,115,65,50,0,14,48,36,2,0,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Shop : Education                        ,1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,73,6,0,71,0,0,42,37,122,64,0,20,117,2,14,15,16,119,27,199,38,14,6,283,0,0,2,2,16,17,5,7,0,105,78,11,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Shop : Tourist                          ,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,136,0,76,0,2,0,0,112,40,18,88,81,0,39,108,0,20,0,63,0,0,0,0,83,54,0,32,9,16,0,79,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Shop : Hotel                            ,4421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,12,29,6,0,0,0,0,0,9,204,211,69,28,132,3,44,150,0,110,171,176,123,144,71,62,414,79,245,40,249,77,0,125,20,270,28,75,69,7,50,155,8,363,100,29,174,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Shop : Other                            ,8074,0,0,0,0,0,0,0,0,0,0,0,15,23,0,0,0,0,0,0,5,0,122,23,10,61,117,26,327,279,341,350,71,172,31,87,162,121,94,324,220,345,417,263,176,322,68,155,441,346,234,164,311,346,529,234,184,181,87,36,5,82,15,0,72,20,0,2,0,13,11,0,0,1,33,0,0,0,0,0,0,0,0,0,0
zone 1,Shop : Unknown/Not Given                ,623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,43,54,6,2,8,9,22,41,71,0,0,34,44,66,15,38,0,0,0,0,0,0,0,0,39,0,38,0,8,0,66,0,0,0,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Education : Home                        ,98201,0,0,0,0,0,0,0,1,1,1,6,35,50,38,114,107,288,156,80,122,297,184,479,192,360,477,352,470,855,988,868,856,1341,1682,1047,1525,1423,1250,1469,1338,2959,2983,2207,3178,3940,4706,2628,4145,4441,4142,3442,2962,3272,3544,2254,2207,1359,1920,2041,1737,2487,2299,1836,2796,2145,2557,1310,1060,734,678,396,454,190,392,67,265,5,2,4,0,0,0,0,0
zone 1,Education : Work                        ,4521,0,0,0,0,0,0,0,0,0,9,0,15,70,56,84,233,201,144,97,49,27,81,69,35,95,18,119,59,74,108,68,69,195,56,99,9,117,319,4,337,77,164,51,101,69,80,214,298,98,5,124,117,49,79,2,0,0,0,6,0,0,10,9,28,17,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Education : Shop                        ,4611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,4,0,90,0,22,0,22,50,13,27,229,69,36,16,65,484,285,258,14,34,16,2,59,569,49,317,353,327,65,226,22,0,387,187,3,0,12,0,0,189,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zone 1,Education : Education                   ,10517,0,0,0,0,0,0,0,0,20,9,3,18,45,183,203,278,310,190,172,138,208,159,316,27,271,118,164,226,142,207,52,49,322,268,151,34,115,118,301,264,152,327,257,295,202,424,73,193,691,356,127,249,627,470,165,26,142,47,42,55,30,115,42,10,124,0,0,39,0,151,2,0,3,0,0,0,0,0,0,0,0,0,0,0
zone 1,Education : Tourist                     ,1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,104,0,0,25,0,0,0,83,0,82,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,97,51,81,28,1,0,0,0,0,0,0,0,0
zone 1,Education : Hotel                       ,1564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,15,47,0,171,0,0,0,0,0,0,0,5,63,122,4,101,92,192,552,0,13,84,0,1,7,0,4,0,0,17,31,1,0,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
