 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,,,,
,,,,,,,,,,,
 Report 1a - Analysis by origin purpose for Heathrow Terminals 123,,,,,,,,,,,
,Total,Passenger  ,Work       ,Meeting    ,Crew       ,Business   ,Seeing off ,Hotel      ,Sightseeing,Other      ,Not stated
Early       ,Passenger  ,12,1,0,0,0,0,0,0,14,
Early       ,Work       ,0,0,0,0,0,0,0,22,22,
Early       ,Meeting    ,2,0,0,0,0,0,0,0,2,
Early       ,Crew       ,0,0,0,0,0,0,0,0,0,
Early       ,Business   ,0,7,0,0,0,0,0,0,7,
Early       ,Seeing off ,0,0,0,0,0,0,0,0,0,
Early       ,Hotel      ,0,0,0,0,0,0,0,0,0,
Early       ,Sightseeing,0,0,0,0,0,0,0,0,0,
Early       ,Other      ,0,0,0,0,0,0,0,0,0,
Early       ,Not stated ,0,0,0,0,0,0,0,89,89,
AM peak     ,Passenger  ,237,51,0,0,0,30,60,4,382,
AM peak     ,Work       ,12,0,0,0,0,0,0,11,23,
AM peak     ,Meeting    ,1,0,0,0,0,0,0,0,1,
AM peak     ,Crew       ,15,0,0,0,0,0,0,0,15,
AM peak     ,Business   ,0,25,0,0,0,0,0,0,25,
AM peak     ,Seeing off ,27,0,0,0,0,0,16,0,43,
AM peak     ,Hotel      ,0,5,0,0,0,4,11,0,20,
AM peak     ,Sightseeing,0,0,0,0,0,0,0,0,0,
AM peak     ,Other      ,0,0,0,0,0,0,24,0,24,
AM peak     ,Not stated ,0,0,0,0,0,0,0,0,0,
Midday      ,Passenger  ,298,23,0,0,0,137,37,0,496,
Midday      ,Work       ,98,67,0,0,0,0,12,0,177,
Midday      ,Meeting    ,0,0,0,32,0,0,0,0,32,
Midday      ,Crew       ,25,0,0,0,0,0,0,0,25,
Midday      ,Business   ,0,13,0,0,0,0,0,0,13,
Midday      ,Seeing off ,50,0,0,0,0,6,0,0,56,
Midday      ,Hotel      ,0,0,0,0,0,0,0,0,0,
Midday      ,Sightseeing,0,0,0,0,0,0,0,0,0,
Midday      ,Other      ,0,32,37,0,0,0,8,20,97,
Midday      ,Not stated ,0,0,0,0,0,0,0,119,119,
PM Peak     ,Passenger  ,206,0,0,0,0,105,0,0,311,
PM Peak     ,Work       ,83,12,0,0,0,0,14,0,108,
PM Peak     ,Meeting    ,6,0,0,0,0,0,0,0,6,
PM Peak     ,Crew       ,0,0,0,0,0,0,0,0,0,
PM Peak     ,Business   ,0,85,0,0,0,0,0,0,85,
PM Peak     ,Seeing off ,54,0,0,0,85,0,97,0,236,
PM Peak     ,Hotel      ,0,0,0,0,0,0,0,0,0,
PM Peak     ,Sightseeing,0,0,0,0,0,0,0,0,0,
PM Peak     ,Other      ,0,0,0,0,0,0,27,0,27,
PM Peak     ,Not stated ,0,0,0,0,0,0,0,24,24,
Evening     ,Passenger  ,215,0,0,0,0,0,34,0,249,
Evening     ,Work       ,162,0,0,0,0,0,0,0,162,
Evening     ,Meeting    ,0,0,0,0,0,51,0,0,51,
Evening     ,Crew       ,0,0,0,0,0,0,0,0,0,
Evening     ,Business   ,0,0,0,0,0,0,0,0,0,
Evening     ,Seeing off ,37,0,0,0,0,0,0,0,37,
Evening     ,Hotel      ,0,0,0,0,0,0,0,0,0,
Evening     ,Sightseeing,0,0,0,0,0,0,0,0,0,
Evening     ,Other      ,0,0,0,0,0,0,50,0,50,
Evening     ,Not stated ,0,0,0,0,0,0,0,9,9,
Late        ,Passenger  ,5,0,0,0,0,0,0,0,5,
Late        ,Work       ,55,0,0,0,0,0,0,0,55,
Late        ,Meeting    ,0,0,0,0,0,0,0,0,0,
