 RODS report1a created at 13:27:01 on 29-03-2017,,,,,,,,
 based on survey data up to 2016 and reconciled to Autumn 2016 counts,,,,,,,,
 ,,,,,,,,
 Report 1a - Analysis by journey purpose and ticket type,,,,,,,,
,Time period,Origin Journey Purpose :                 Destination Journey Purpose,Total all types,Daily (inc T/Card)  ,Weekly              ,Periods             ,All Permits         ,Not Stated /Other    
zone 1,AM peak     ,Unknown/Not Given : Hotel               ,9,9,0,0,0,0
zone 1,AM peak     ,Unknown/Not Given : Other               ,395,191,47,153,4,0
zone 1,AM peak     ,Unknown/Not Given : Unknown/Not Given   ,5688,5,21,30,0,5632
zone 1,Midday      ,Home : Home                             ,3097,2188,139,634,123,15
zone 1,Midday      ,Home : Work                             ,53465,32968,10473,7847,1057,1119
zone 1,Midday      ,Home : Shop                             ,14386,9548,741,1654,2154,288
zone 1,Midday      ,Home : Education                        ,22136,7363,5653,8199,402,518
zone 1,Midday      ,Home : Tourist                          ,8625,7173,4,270,626,552
zone 1,Midday      ,Home : Hotel                            ,6735,5978,37,340,345,35
zone 1,Midday      ,Home : Other                            ,73700,55752,5051,4698,6323,1877
zone 1,Midday      ,Home : Unknown/Not Given                ,10305,5659,1602,1700,732,613
zone 1,Midday      ,Work : Home                             ,73830,39845,14777,15775,2283,1150
zone 1,Midday      ,Work : Work                             ,81263,45756,13439,18832,1793,1443
zone 1,Midday      ,Work : Shop                             ,7080,2455,1721,2760,102,42
zone 1,Midday      ,Work : Education                        ,3625,1555,914,1041,37,78
zone 1,Midday      ,Work : Tourist                          ,1318,498,332,365,123,0
zone 1,Midday      ,Work : Hotel                            ,3390,2745,51,355,144,95
zone 1,Midday      ,Work : Other                            ,16661,7555,3021,5174,332,579
zone 1,Midday      ,Work : Unknown/Not Given                ,987,486,174,130,9,188
zone 1,Midday      ,Shop : Home                             ,14608,7656,2086,2454,2149,262
zone 1,Midday      ,Shop : Work                             ,3137,1095,736,1070,188,49
zone 1,Midday      ,Shop : Shop                             ,5892,3225,844,1306,517,1
zone 1,Midday      ,Shop : Education                        ,1000,447,237,267,32,17
zone 1,Midday      ,Shop : Tourist                          ,783,258,396,69,61,0
zone 1,Midday      ,Shop : Hotel                            ,1691,1257,423,0,11,0
zone 1,Midday      ,Shop : Other                            ,4139,2990,337,347,431,33
