NLC,Station name,Time period,all modes,Work,Home,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given   ,Home    ,Work    ,Shop    ,Education     ,Tourist ,Hotel   ,Other   ,Unknown/Not Given
508,Archway ,   Total day,16392,5992,2514,9498,3226,37,342,83,708,1441,1055,4155,7008,390,655,350,443,2387,1004
509,Arnos Grove   ,Early ,653,0,0,0,0,0,0,0,0,0,653,0,0,0,0,0,0,0,653
509,Arnos Grove   ,AM peak     ,3023,2147,0,2624,44,0,73,0,22,8,253,57,2239,52,207,0,15,192,262
509,Arnos Grove   ,Midday,1849,390,79,1333,152,17,106,0,0,207,34,294,460,232,99,47,0,614,103
509,Arnos Grove   ,PM Peak     ,1233,79,149,597,342,0,118,0,0,22,154,289,166,4,10,0,0,598,166
509,Arnos Grove   ,Evening     ,400,74,19,127,19,0,0,0,0,145,109,164,74,0,0,0,0,53,109
509,Arnos Grove   ,Late  ,116,0,0,0,0,0,0,0,0,30,86,28,0,0,0,0,0,2,86
509,Arnos Grove   ,   Total day,7274,2689,247,4680,558,17,296,0,22,412,1289,831,2939,288,316,47,15,1460,1379
510,Arsenal ,Early ,188,0,0,0,0,0,0,0,0,0,188,0,0,0,0,0,0,0,188
510,Arsenal ,AM peak     ,2307,1721,1,2067,1,0,15,0,178,46,0,12,1937,20,71,13,47,208,0
510,Arsenal ,Midday,1171,408,125,813,204,0,0,39,5,55,55,160,475,12,77,90,45,282,30
510,Arsenal ,PM Peak     ,653,7,72,424,75,0,0,0,54,59,41,121,52,17,124,13,0,326,0
510,Arsenal ,Evening     ,211,28,16,141,16,0,37,0,16,1,0,67,28,0,0,0,11,105,0
510,Arsenal ,Late  ,80,0,14,6,14,1,0,0,4,18,36,37,0,0,0,0,6,1,36
510,Arsenal ,   Total day,4611,2164,227,3451,309,1,51,39,258,180,321,398,2491,49,272,116,108,922,255
511,Baker Street  ,Early ,691,0,1,0,1,0,0,0,0,0,690,1,0,0,0,0,0,0,690
511,Baker Street  ,AM peak     ,7773,5134,67,6432,237,0,22,23,231,232,597,654,5415,27,238,69,21,904,445
511,Baker Street  ,Midday,12912,1201,1300,4020,2532,87,1014,400,90,1621,3147,3294,2123,592,488,516,505,2584,2809
511,Baker Street  ,PM Peak     ,16646,171,6657,911,8187,160,766,565,86,1096,4875,9565,403,148,138,0,264,1675,4452
511,Baker Street  ,Evening     ,6433,106,1817,206,1860,100,534,0,61,1064,2608,3604,171,62,17,0,2,103,2474
511,Baker Street  ,Late  ,1817,0,268,0,268,0,143,0,0,171,1235,571,0,0,0,0,11,0,1235
511,Baker Street  ,   Total day,46272,6611,10110,11569,13086,347,2478,988,468,4184,13152,17688,8111,829,881,586,804,5267,12106
512,Balham  ,Early ,1385,0,0,0,0,0,0,0,0,0,1385,0,0,0,0,0,0,0,1385
512,Balham  ,AM peak     ,11484,9642,0,10513,77,0,136,0,0,89,669,1,9822,6,359,131,0,326,840
512,Balham  ,Midday,4572,1193,217,3460,455,152,74,0,0,372,58,645,1430,516,138,115,0,1534,193
512,Balham  ,PM Peak     ,3733,278,1157,1450,1350,169,0,0,0,314,450,1507,571,57,38,0,0,1199,362
512,Balham  ,Evening     ,1528,84,277,366,422,14,23,0,0,654,49,762,170,0,2,0,10,491,93
512,Balham  ,Late  ,567,55,65,55,65,0,0,0,0,241,206,264,55,0,0,0,18,24,206
512,Balham  ,   Total day,23269,11251,1716,15845,2368,335,234,0,0,1671,2816,3179,12048,579,537,246,28,3573,3079
